,sequence_index,entry_point,entry_datetime,exit_point,exit_datetime,station_id,station_name,station_lat,station_lon,min_distance_km,model_name,window,split,pc
0,307,[ -5.718  -17.9327],2006-03-15 11:24:32.210,[ -5.718  -17.9327],2006-03-15 11:24:32.210,AS00Q,ASCENSION ISLAND,-7.95,-14.399999999999977,462.2748254111778,tw48-30dBG_A,0,val,98
1,316,[38.3141 18.3801],2006-03-18 09:28:16.610,[38.3141 18.3801],2006-03-18 09:28:16.610,AT138,ATHENS,38.0,23.5,448.9602777860198,tw48-30dBG_A,0,val,98
2,326,[37.7826 19.7498],2006-03-21 09:22:19.443,[37.7826 19.7498],2006-03-21 09:22:19.443,AT138,ATHENS,38.0,23.5,329.9539551743945,tw48-30dBG_A,0,val,98
3,377,[37.2528 17.8384],2006-03-31 09:34:46.792,[37.2528 17.8384],2006-03-31 09:34:46.792,AT138,ATHENS,38.0,23.5,505.3933582156534,tw48-30dBG_A,0,val,98
4,318,[ 28.1519 -82.4466],2006-03-18 16:03:15.188,[ 28.1519 -82.4466],2006-03-18 16:03:15.188,EG931,EGLIN AFB,30.5,-86.5,471.73063429047187,tw48-30dBG_A,0,val,98
5,307,[38.9184 -7.4746],2006-03-15 11:12:14.930,[38.9184 -7.4746],2006-03-15 11:12:14.930,EA036,EL ARENOSILLO,37.1,-6.699999999999989,213.2794144676818,tw48-30dBG_A,0,val,98
6,41,[  6.8148 165.2254],2006-01-08 23:18:29.243,[  6.8148 165.2254],2006-01-08 23:18:29.243,KJ609,KWAJALEIN,9.0,167.2,326.0851883137788,tw48-30dBG_A,0,val,98
7,316,[-17.7318  30.0074],2006-03-18 08:05:39.723,[-25.1602  28.2757],2006-03-18 08:07:42.603,MU12K,MADIMBO,-22.39,30.88,406.3134287149447,tw48-30dBG_A,0,val,98
8,326,[-18.0172  31.4727],2006-03-21 07:59:38.461,[-25.4452  29.7364],2006-03-21 08:01:41.341,MU12K,MADIMBO,-22.39,30.88,359.0531530450196,tw48-30dBG_A,0,val,98
9,377,[-24.1588  28.2619],2006-03-31 08:13:38.690,[-24.1588  28.2619],2006-03-31 08:13:38.690,MU12K,MADIMBO,-22.39,30.88,331.9509802489064,tw48-30dBG_A,0,val,98
10,352,[32.7947 29.0578],2006-03-26 08:40:50.872,[32.7947 29.0578],2006-03-26 08:40:50.872,NI135,NICOSIA,35.03,33.16,452.7891166741249,tw48-30dBG_A,0,val,98
11,86,[  31.9879 -118.07  ],2006-01-21 18:28:13.707,[  31.9879 -118.07  ],2006-01-21 18:28:13.707,PA836,PT ARGUELLO,34.8,-120.5,385.5429053589383,tw48-30dBG_A,0,val,98
12,90,[  32.5739 -125.5763],2006-01-22 18:58:43.996,[  32.5739 -125.5763],2006-01-22 18:58:43.996,PA836,PT ARGUELLO,34.8,-120.5,530.8087886523931,tw48-30dBG_A,0,val,98
13,99,[  32.2984 -124.1304],2006-01-25 18:52:45.759,[  32.2984 -124.1304],2006-01-25 18:52:45.759,PA836,PT ARGUELLO,34.8,-120.5,436.47509587685704,tw48-30dBG_A,0,val,98
14,305,[  31.4418 -116.8262],2006-03-13 18:23:13.987,[  31.4418 -116.8262],2006-03-13 18:23:13.987,PA836,PT ARGUELLO,34.8,-120.5,506.36572293287537,tw48-30dBG_A,0,val,98
