index,time_window,label,matched_eqs,total_eq
0,2008-04-01 01:22:50.280,1,"[{'lat': -7.046, 'long': 129.203, 'Time': Timestamp('2008-04-02 19:10:19'), 'mag': 5.7}, {'lat': -7.046, 'long': 129.203, 'Time': Timestamp('2008-04-02 19:10:19'), 'mag': 5.7}]",2
1,2008-04-01 04:40:01.071,0,[],0
2,2008-04-01 06:17:53.341,0,[],0
3,2008-04-01 07:56:20.823,0,[],0
4,2008-04-01 09:33:51.854,0,[],0
5,2008-04-01 11:13:23.320,0,[],0
6,2008-04-01 12:52:53.482,0,[],0
7,2008-04-01 14:31:50.596,1,"[{'lat': -28.64, 'long': -71.465, 'Time': Timestamp('2008-04-03 01:00:21'), 'mag': 5.1}]",1
8,2008-04-01 16:10:23.067,0,[],0
9,2008-04-01 17:48:23.563,0,[],0
10,2008-04-01 19:25:23.589,1,"[{'lat': 44.364, 'long': -129.351, 'Time': Timestamp('2008-04-02 05:55:41'), 'mag': 5.2}]",1
11,2008-04-01 21:02:20.925,0,[],0
12,2008-04-01 22:38:53.641,0,[],0
13,2008-04-02 00:16:23.668,1,"[{'lat': -5.951, 'long': 149.872, 'Time': Timestamp('2008-04-03 09:22:35'), 'mag': 5.1}]",1
14,2008-04-02 01:54:03.405,1,"[{'lat': 0.027, 'long': 127.466, 'Time': Timestamp('2008-04-03 21:41:25'), 'mag': 5.0}, {'lat': -7.046, 'long': 129.203, 'Time': Timestamp('2008-04-02 19:10:19'), 'mag': 5.7}]",2
15,2008-04-02 03:32:55.463,1,"[{'lat': -4.346, 'long': 102.717, 'Time': Timestamp('2008-04-02 08:48:49'), 'mag': 5.7}, {'lat': -0.159, 'long': 99.191, 'Time': Timestamp('2008-04-02 19:09:06'), 'mag': 5.3}, {'lat': -4.346, 'long': 102.717, 'Time': Timestamp('2008-04-02 08:48:49'), 'mag': 5.7}]",3
16,2008-04-02 05:11:02.678,0,[],0
17,2008-04-02 06:48:54.746,0,[],0
18,2008-04-02 08:27:26.983,0,[],0
19,2008-04-02 10:04:51.044,0,[],0
20,2008-04-02 11:44:23.973,0,[],0
21,2008-04-02 13:23:54.000,0,[],0
22,2008-04-02 15:02:53.001,1,"[{'lat': -28.64, 'long': -71.465, 'Time': Timestamp('2008-04-03 01:00:21'), 'mag': 5.1}]",1
23,2008-04-02 19:55:53.107,0,[],0
24,2008-04-04 09:27:23.475,0,[],0
25,2008-04-04 11:06:50.846,0,[],0
26,2008-04-04 12:46:53.775,0,[],0
