index,time_window,label,matched_eqs,total_eq
0,2005-01-01 07:14:56.282,0,[],0
1,2005-01-01 15:33:51.988,0,[],0
2,2005-01-01 18:51:22.823,0,[],0
3,2005-01-01 22:07:22.531,1,"[{'lat': -50.659, 'long': 161.866, 'Time': Timestamp('2005-01-03 17:59:28'), 'mag': 6.1}]",1
4,2005-01-02 01:23:19.939,1,"[{'lat': 3.242, 'long': 95.462, 'Time': Timestamp('2005-01-02 08:27:41'), 'mag': 5.9}, {'lat': 5.39, 'long': 94.465, 'Time': Timestamp('2005-01-02 12:12:11'), 'mag': 5.3}, {'lat': 6.36, 'long': 92.787, 'Time': Timestamp('2005-01-02 15:35:56'), 'mag': 6.4}, {'lat': 2.162, 'long': 126.743, 'Time': Timestamp('2005-01-02 18:23:18'), 'mag': 5.2}, {'lat': 5.348, 'long': 94.343, 'Time': Timestamp('2005-01-02 19:35:25'), 'mag': 5.1}, {'lat': 10.576, 'long': 92.22, 'Time': Timestamp('2005-01-03 09:14:03'), 'mag': 5.1}, {'lat': 49.05, 'long': 156.182, 'Time': Timestamp('2005-01-03 17:00:10'), 'mag': 5.0}, {'lat': 4.603, 'long': 96.677, 'Time': Timestamp('2005-01-03 17:45:15'), 'mag': 5.1}]",8
5,2005-01-06 12:42:22.825,1,"[{'lat': -55.328, 'long': -28.098, 'Time': Timestamp('2005-01-08 07:14:35'), 'mag': 5.0}]",1
6,2005-01-06 16:02:09.788,0,[],0
7,2005-01-06 19:18:48.814,1,"[{'lat': -26.851, 'long': -107.262, 'Time': Timestamp('2005-01-08 16:08:18'), 'mag': 5.1}]",1
8,2005-01-06 22:34:49.739,1,"[{'lat': -55.328, 'long': -28.098, 'Time': Timestamp('2005-01-08 07:14:35'), 'mag': 5.0}, {'lat': -26.851, 'long': -107.262, 'Time': Timestamp('2005-01-08 16:08:18'), 'mag': 5.1}, {'lat': -55.299, 'long': -27.956, 'Time': Timestamp('2005-01-08 18:45:03'), 'mag': 6.0}]",3
9,2005-01-07 01:50:51.131,1,"[{'lat': -6.583, 'long': 154.672, 'Time': Timestamp('2005-01-07 05:37:33'), 'mag': 5.0}, {'lat': -10.128, 'long': 160.928, 'Time': Timestamp('2005-01-07 13:53:43'), 'mag': 5.0}, {'lat': -7.603, 'long': 127.975, 'Time': Timestamp('2005-01-07 14:17:12'), 'mag': 5.2}, {'lat': -7.203, 'long': 130.043, 'Time': Timestamp('2005-01-09 01:07:51'), 'mag': 5.0}]",4
10,2005-01-07 06:48:54.197,1,"[{'lat': 10.641, 'long': 91.925, 'Time': Timestamp('2005-01-08 05:31:31'), 'mag': 5.1}, {'lat': 7.59, 'long': 92.4, 'Time': Timestamp('2005-01-09 01:59:13'), 'mag': 5.3}]",2
11,2005-01-07 10:06:51.818,0,[],0
12,2005-01-07 13:28:22.230,1,"[{'lat': -55.328, 'long': -28.098, 'Time': Timestamp('2005-01-08 07:14:35'), 'mag': 5.0}, {'lat': -55.299, 'long': -27.956, 'Time': Timestamp('2005-01-08 18:45:03'), 'mag': 6.0}]",2
13,2005-01-07 16:47:27.128,1,"[{'lat': -26.851, 'long': -107.262, 'Time': Timestamp('2005-01-08 16:08:18'), 'mag': 5.1}]",1
14,2005-01-08 00:57:16.971,1,"[{'lat': 10.641, 'long': 91.925, 'Time': Timestamp('2005-01-08 05:31:31'), 'mag': 5.1}, {'lat': 4.866, 'long': 94.783, 'Time': Timestamp('2005-01-08 05:58:21'), 'mag': 5.1}, {'lat': 3.542, 'long': 92.876, 'Time': Timestamp('2005-01-08 14:59:36'), 'mag': 5.2}, {'lat': -7.203, 'long': 130.043, 'Time': Timestamp('2005-01-09 01:07:51'), 'mag': 5.0}, {'lat': 7.59, 'long': 92.4, 'Time': Timestamp('2005-01-09 01:59:13'), 'mag': 5.3}, {'lat': 51.535, 'long': -176.135, 'Time': Timestamp('2005-01-09 16:27:09'), 'mag': 5.2}, {'lat': 3.318, 'long': 94.276, 'Time': Timestamp('2005-01-09 17:16:45'), 'mag': 5.3}, {'lat': 4.926, 'long': 95.108, 'Time': Timestamp('2005-01-09 22:12:56'), 'mag': 6.1}, {'lat': -24.842, 'long': 69.922, 'Time': Timestamp('2005-01-09 23:18:01'), 'mag': 5.1}, {'lat': 10.528, 'long': 92.282, 'Time': Timestamp('2005-01-09 23:20:37'), 'mag': 5.5}]",10
15,2005-01-08 05:55:24.576,1,"[{'lat': 4.866, 'long': 94.783, 'Time': Timestamp('2005-01-08 05:58:21'), 'mag': 5.1}, {'lat': 3.542, 'long': 92.876, 'Time': Timestamp('2005-01-08 14:59:36'), 'mag': 5.2}, {'lat': 7.59, 'long': 92.4, 'Time': Timestamp('2005-01-09 01:59:13'), 'mag': 5.3}, {'lat': 3.318, 'long': 94.276, 'Time': Timestamp('2005-01-09 17:16:45'), 'mag': 5.3}, {'lat': 4.926, 'long': 95.108, 'Time': Timestamp('2005-01-09 22:12:56'), 'mag': 6.1}, {'lat': -24.842, 'long': 69.922, 'Time': Timestamp('2005-01-09 23:18:01'), 'mag': 5.1}, {'lat': 10.528, 'long': 92.282, 'Time': Timestamp('2005-01-09 23:20:37'), 'mag': 5.5}]",7
16,2005-01-08 09:12:17.977,0,[],0
17,2005-01-08 12:33:22.608,1,"[{'lat': -55.299, 'long': -27.956, 'Time': Timestamp('2005-01-08 18:45:03'), 'mag': 6.0}]",1
18,2005-01-08 15:53:19.091,0,[],0
19,2005-01-08 19:10:22.582,0,[],0
20,2005-01-08 22:26:19.523,1,"[{'lat': 51.535, 'long': -176.135, 'Time': Timestamp('2005-01-09 16:27:09'), 'mag': 5.2}, {'lat': -24.842, 'long': 69.922, 'Time': Timestamp('2005-01-09 23:18:01'), 'mag': 5.1}]",2
21,2005-01-09 01:42:22.355,1,"[{'lat': -6.176, 'long': 154.546, 'Time': Timestamp('2005-01-10 16:58:23'), 'mag': 5.1}]",1
22,2005-01-09 11:38:52.986,1,"[{'lat': 37.017, 'long': 27.804, 'Time': Timestamp('2005-01-10 23:48:50'), 'mag': 5.5}, {'lat': 37.018, 'long': 27.919, 'Time': Timestamp('2005-01-10 23:50:25'), 'mag': 5.0}, {'lat': 36.917, 'long': 27.867, 'Time': Timestamp('2005-01-11 04:36:00'), 'mag': 5.1}]",3
23,2005-01-09 14:59:21.902,0,[],0
24,2005-01-10 00:48:48.295,1,"[{'lat': -6.176, 'long': 154.546, 'Time': Timestamp('2005-01-10 16:58:23'), 'mag': 5.1}, {'lat': 37.103, 'long': 54.574, 'Time': Timestamp('2005-01-10 18:47:30'), 'mag': 5.4}, {'lat': 37.017, 'long': 27.804, 'Time': Timestamp('2005-01-10 23:48:50'), 'mag': 5.5}, {'lat': 37.018, 'long': 27.919, 'Time': Timestamp('2005-01-10 23:50:25'), 'mag': 5.0}, {'lat': 36.917, 'long': 27.867, 'Time': Timestamp('2005-01-11 04:36:00'), 'mag': 5.1}, {'lat': -4.629, 'long': 153.548, 'Time': Timestamp('2005-01-11 10:29:40'), 'mag': 5.1}, {'lat': 5.062, 'long': 94.792, 'Time': Timestamp('2005-01-11 21:46:34'), 'mag': 5.0}]",7
25,2005-01-10 05:46:24.359,1,"[{'lat': 5.062, 'long': 94.792, 'Time': Timestamp('2005-01-11 21:46:34'), 'mag': 5.0}]",1
26,2005-01-10 09:05:21.969,1,"[{'lat': 37.103, 'long': 54.574, 'Time': Timestamp('2005-01-10 18:47:30'), 'mag': 5.4}, {'lat': 37.017, 'long': 27.804, 'Time': Timestamp('2005-01-10 23:48:50'), 'mag': 5.5}, {'lat': 37.018, 'long': 27.919, 'Time': Timestamp('2005-01-10 23:50:25'), 'mag': 5.0}, {'lat': 36.917, 'long': 27.867, 'Time': Timestamp('2005-01-11 04:36:00'), 'mag': 5.1}]",4
27,2005-01-10 12:24:52.391,1,"[{'lat': -0.878, 'long': -21.194, 'Time': Timestamp('2005-01-12 08:40:03'), 'mag': 6.8}]",1
28,2005-01-10 15:44:48.875,1,"[{'lat': -23.889, 'long': -67.058, 'Time': Timestamp('2005-01-11 17:28:49'), 'mag': 5.0}, {'lat': 11.519, 'long': -86.372, 'Time': Timestamp('2005-01-11 19:19:48'), 'mag': 5.1}]",2
29,2005-01-10 19:01:52.366,0,[],0
30,2005-01-10 22:17:53.401,1,"[{'lat': -23.889, 'long': -67.058, 'Time': Timestamp('2005-01-11 17:28:49'), 'mag': 5.0}, {'lat': 11.519, 'long': -86.372, 'Time': Timestamp('2005-01-11 19:19:48'), 'mag': 5.1}, {'lat': -0.878, 'long': -21.194, 'Time': Timestamp('2005-01-12 08:40:03'), 'mag': 6.8}, {'lat': -18.589, 'long': -177.74, 'Time': Timestamp('2005-01-12 10:26:14'), 'mag': 5.0}, {'lat': -60.384, 'long': -27.682, 'Time': Timestamp('2005-01-12 14:46:41'), 'mag': 5.2}]",5
31,2005-01-11 01:33:48.042,1,"[{'lat': 36.917, 'long': 27.867, 'Time': Timestamp('2005-01-11 04:36:00'), 'mag': 5.1}, {'lat': -4.629, 'long': 153.548, 'Time': Timestamp('2005-01-11 10:29:40'), 'mag': 5.1}, {'lat': 5.062, 'long': 94.792, 'Time': Timestamp('2005-01-11 21:46:34'), 'mag': 5.0}, {'lat': 5.549, 'long': 94.625, 'Time': Timestamp('2005-01-12 13:58:18'), 'mag': 5.4}, {'lat': 34.089, 'long': 141.561, 'Time': Timestamp('2005-01-12 18:41:48'), 'mag': 5.1}, {'lat': 5.123, 'long': 94.738, 'Time': Timestamp('2005-01-12 18:44:41'), 'mag': 5.1}, {'lat': 6.041, 'long': 126.297, 'Time': Timestamp('2005-01-13 00:07:22'), 'mag': 5.5}]",7
32,2005-01-11 06:31:52.766,1,"[{'lat': 5.062, 'long': 94.792, 'Time': Timestamp('2005-01-11 21:46:34'), 'mag': 5.0}, {'lat': 5.549, 'long': 94.625, 'Time': Timestamp('2005-01-12 13:58:18'), 'mag': 5.4}, {'lat': 5.123, 'long': 94.738, 'Time': Timestamp('2005-01-12 18:44:41'), 'mag': 5.1}]",3
33,2005-01-11 09:49:22.384,0,[],0
34,2005-01-11 13:10:52.797,1,"[{'lat': -0.878, 'long': -21.194, 'Time': Timestamp('2005-01-12 08:40:03'), 'mag': 6.8}, {'lat': -60.384, 'long': -27.682, 'Time': Timestamp('2005-01-12 14:46:41'), 'mag': 5.2}]",2
35,2005-01-11 16:29:49.503,1,"[{'lat': -23.889, 'long': -67.058, 'Time': Timestamp('2005-01-11 17:28:49'), 'mag': 5.0}, {'lat': 11.519, 'long': -86.372, 'Time': Timestamp('2005-01-11 19:19:48'), 'mag': 5.1}, {'lat': 12.688, 'long': -88.221, 'Time': Timestamp('2005-01-13 09:56:20'), 'mag': 5.3}]",3
36,2005-01-11 19:46:49.009,0,[],0
37,2005-01-11 23:02:22.958,1,"[{'lat': -0.878, 'long': -21.194, 'Time': Timestamp('2005-01-12 08:40:03'), 'mag': 6.8}, {'lat': -18.589, 'long': -177.74, 'Time': Timestamp('2005-01-12 10:26:14'), 'mag': 5.0}, {'lat': -60.384, 'long': -27.682, 'Time': Timestamp('2005-01-12 14:46:41'), 'mag': 5.2}, {'lat': -16.883, 'long': -173.581, 'Time': Timestamp('2005-01-13 03:05:29'), 'mag': 5.2}, {'lat': 12.688, 'long': -88.221, 'Time': Timestamp('2005-01-13 09:56:20'), 'mag': 5.3}, {'lat': -27.05, 'long': -176.477, 'Time': Timestamp('2005-01-13 17:14:05'), 'mag': 5.1}]",6
38,2005-01-12 02:18:55.970,1,"[{'lat': 34.089, 'long': 141.561, 'Time': Timestamp('2005-01-12 18:41:48'), 'mag': 5.1}, {'lat': 6.041, 'long': 126.297, 'Time': Timestamp('2005-01-13 00:07:22'), 'mag': 5.5}, {'lat': 51.804, 'long': 175.487, 'Time': Timestamp('2005-01-13 20:47:56'), 'mag': 5.4}]",3
39,2005-01-12 05:37:53.925,1,"[{'lat': 5.549, 'long': 94.625, 'Time': Timestamp('2005-01-12 13:58:18'), 'mag': 5.4}, {'lat': 5.123, 'long': 94.738, 'Time': Timestamp('2005-01-12 18:44:41'), 'mag': 5.1}]",2
40,2005-01-12 08:54:52.969,0,[],0
41,2005-01-12 12:15:52.181,1,"[{'lat': -60.384, 'long': -27.682, 'Time': Timestamp('2005-01-12 14:46:41'), 'mag': 5.2}]",1
42,2005-01-12 15:36:24.088,0,[],0
43,2005-01-13 01:25:19.271,1,"[{'lat': 51.804, 'long': 175.487, 'Time': Timestamp('2005-01-13 20:47:56'), 'mag': 5.4}, {'lat': -4.238, 'long': 152.717, 'Time': Timestamp('2005-01-14 08:33:14'), 'mag': 6.1}, {'lat': 8.861, 'long': 93.251, 'Time': Timestamp('2005-01-14 16:22:03'), 'mag': 5.1}, {'lat': 4.801, 'long': 95.196, 'Time': Timestamp('2005-01-14 17:08:36'), 'mag': 5.1}, {'lat': 3.135, 'long': 93.922, 'Time': Timestamp('2005-01-14 21:38:16'), 'mag': 5.6}]",5
44,2005-01-13 06:23:22.444,1,"[{'lat': 8.861, 'long': 93.251, 'Time': Timestamp('2005-01-14 16:22:03'), 'mag': 5.1}, {'lat': 4.801, 'long': 95.196, 'Time': Timestamp('2005-01-14 17:08:36'), 'mag': 5.1}, {'lat': 3.135, 'long': 93.922, 'Time': Timestamp('2005-01-14 21:38:16'), 'mag': 5.6}]",3
45,2005-01-13 09:40:50.724,1,"[{'lat': -5.991, 'long': 39.221, 'Time': Timestamp('2005-01-15 05:13:10'), 'mag': 5.0}]",1
46,2005-01-13 13:01:52.587,0,[],0
47,2005-01-13 16:21:19.292,1,"[{'lat': -3.582, 'long': -80.688, 'Time': Timestamp('2005-01-15 11:40:37'), 'mag': 5.1}, {'lat': -3.726, 'long': -80.793, 'Time': Timestamp('2005-01-15 14:02:14'), 'mag': 5.0}]",2
48,2005-01-13 19:38:20.127,0,[],0
49,2005-01-13 22:53:52.748,1,"[{'lat': -3.582, 'long': -80.688, 'Time': Timestamp('2005-01-15 11:40:37'), 'mag': 5.1}, {'lat': -3.726, 'long': -80.793, 'Time': Timestamp('2005-01-15 14:02:14'), 'mag': 5.0}]",2
50,2005-01-14 07:08:24.959,1,"[{'lat': -5.991, 'long': 39.221, 'Time': Timestamp('2005-01-15 05:13:10'), 'mag': 5.0}]",1
51,2005-01-14 10:26:22.580,0,[],0
52,2005-01-14 13:47:52.991,0,[],0
53,2005-01-14 17:06:22.465,1,"[{'lat': -3.582, 'long': -80.688, 'Time': Timestamp('2005-01-15 11:40:37'), 'mag': 5.1}, {'lat': -3.726, 'long': -80.793, 'Time': Timestamp('2005-01-15 14:02:14'), 'mag': 5.0}]",2
54,2005-01-15 01:16:46.945,1,"[{'lat': -0.061, 'long': 123.45, 'Time': Timestamp('2005-01-15 05:00:30'), 'mag': 5.4}, {'lat': -5.991, 'long': 39.221, 'Time': Timestamp('2005-01-15 05:13:10'), 'mag': 5.0}, {'lat': 14.57, 'long': 92.387, 'Time': Timestamp('2005-01-15 07:46:53'), 'mag': 5.5}, {'lat': -6.462, 'long': 105.236, 'Time': Timestamp('2005-01-15 13:47:05'), 'mag': 6.0}, {'lat': 10.934, 'long': 140.842, 'Time': Timestamp('2005-01-16 20:17:52'), 'mag': 6.6}, {'lat': 8.662, 'long': 93.616, 'Time': Timestamp('2005-01-16 22:47:29'), 'mag': 5.0}]",6
55,2005-01-15 06:14:27.105,1,"[{'lat': 14.57, 'long': 92.387, 'Time': Timestamp('2005-01-15 07:46:53'), 'mag': 5.5}, {'lat': 8.662, 'long': 93.616, 'Time': Timestamp('2005-01-16 22:47:29'), 'mag': 5.0}, {'lat': 14.57, 'long': 92.594, 'Time': Timestamp('2005-01-17 02:45:14'), 'mag': 5.0}, {'lat': 3.869, 'long': 95.919, 'Time': Timestamp('2005-01-17 02:53:40'), 'mag': 5.0}]",4
56,2005-01-15 09:31:51.835,0,[],0
57,2005-01-15 12:53:22.369,0,[],0
58,2005-01-15 16:12:48.964,0,[],0
59,2005-01-15 19:29:49.800,0,[],0
60,2005-01-15 22:45:22.531,1,"[{'lat': -25.528, 'long': -176.299, 'Time': Timestamp('2005-01-16 08:25:04'), 'mag': 6.2}, {'lat': -34.164, 'long': -179.718, 'Time': Timestamp('2005-01-16 16:20:16'), 'mag': 5.0}, {'lat': -15.504, 'long': -173.177, 'Time': Timestamp('2005-01-17 00:50:04'), 'mag': 5.2}]",3
61,2005-01-16 06:59:54.742,0,[],0
62,2005-01-16 10:17:51.035,0,[],0
63,2005-01-16 13:38:52.775,1,"[{'lat': 57.035, 'long': -33.958, 'Time': Timestamp('2005-01-18 05:50:38'), 'mag': 5.0}, {'lat': 57.049, 'long': -33.811, 'Time': Timestamp('2005-01-18 06:59:03'), 'mag': 5.7}]",2
64,2005-01-16 16:57:55.017,0,[],0
65,2005-01-16 23:29:52.936,1,"[{'lat': -15.504, 'long': -173.177, 'Time': Timestamp('2005-01-17 00:50:04'), 'mag': 5.2}, {'lat': -19.948, 'long': 168.514, 'Time': Timestamp('2005-01-18 04:26:54'), 'mag': 5.1}, {'lat': -41.46, 'long': 175.78, 'Time': Timestamp('2005-01-18 08:36:04'), 'mag': 5.2}, {'lat': -41.45, 'long': 175.78, 'Time': Timestamp('2005-01-18 09:26:00'), 'mag': 5.0}]",4
66,2005-01-17 07:45:22.714,1,"[{'lat': 35.531, 'long': 67.965, 'Time': Timestamp('2005-01-18 15:30:19'), 'mag': 5.3}, {'lat': 41.921, 'long': 79.169, 'Time': Timestamp('2005-01-19 06:28:19'), 'mag': 5.1}]",2
67,2005-01-17 11:03:50.441,0,[],0
68,2005-01-17 14:24:46.276,1,"[{'lat': 57.035, 'long': -33.958, 'Time': Timestamp('2005-01-18 05:50:38'), 'mag': 5.0}, {'lat': 57.049, 'long': -33.811, 'Time': Timestamp('2005-01-18 06:59:03'), 'mag': 5.7}]",2
69,2005-01-17 17:42:51.766,0,[],0
70,2005-01-17 20:58:51.373,0,[],0
71,2005-01-18 00:14:52.342,1,"[{'lat': 10.622, 'long': 92.019, 'Time': Timestamp('2005-01-18 02:36:45'), 'mag': 5.0}, {'lat': -19.948, 'long': 168.514, 'Time': Timestamp('2005-01-18 04:26:54'), 'mag': 5.1}, {'lat': 57.035, 'long': -33.958, 'Time': Timestamp('2005-01-18 05:50:38'), 'mag': 5.0}, {'lat': 57.049, 'long': -33.811, 'Time': Timestamp('2005-01-18 06:59:03'), 'mag': 5.7}, {'lat': -41.46, 'long': 175.78, 'Time': Timestamp('2005-01-18 08:36:04'), 'mag': 5.2}, {'lat': -41.45, 'long': 175.78, 'Time': Timestamp('2005-01-18 09:26:00'), 'mag': 5.0}, {'lat': 42.946, 'long': 144.866, 'Time': Timestamp('2005-01-18 14:09:06'), 'mag': 6.3}, {'lat': 35.531, 'long': 67.965, 'Time': Timestamp('2005-01-18 15:30:19'), 'mag': 5.3}, {'lat': -22.905, 'long': 179.037, 'Time': Timestamp('2005-01-18 21:20:32'), 'mag': 5.8}, {'lat': 34.064, 'long': 141.491, 'Time': Timestamp('2005-01-19 06:11:36'), 'mag': 6.6}, {'lat': 34.174, 'long': 141.542, 'Time': Timestamp('2005-01-19 06:17:07'), 'mag': 5.3}, {'lat': 41.921, 'long': 79.169, 'Time': Timestamp('2005-01-19 06:28:19'), 'mag': 5.1}, {'lat': 33.826, 'long': 141.531, 'Time': Timestamp('2005-01-19 13:51:53'), 'mag': 5.0}, {'lat': 3.547, 'long': 92.7, 'Time': Timestamp('2005-01-19 16:09:17'), 'mag': 5.0}, {'lat': 4.705, 'long': 95.157, 'Time': Timestamp('2005-01-19 17:32:30'), 'mag': 5.0}]",15
72,2005-01-18 05:11:55.938,1,"[{'lat': 41.921, 'long': 79.169, 'Time': Timestamp('2005-01-19 06:28:19'), 'mag': 5.1}, {'lat': 3.547, 'long': 92.7, 'Time': Timestamp('2005-01-19 16:09:17'), 'mag': 5.0}, {'lat': 4.705, 'long': 95.157, 'Time': Timestamp('2005-01-19 17:32:30'), 'mag': 5.0}]",3
73,2005-01-18 08:30:52.779,1,"[{'lat': 35.531, 'long': 67.965, 'Time': Timestamp('2005-01-18 15:30:19'), 'mag': 5.3}]",1
74,2005-01-18 11:49:52.532,0,[],0
75,2005-01-18 15:10:21.559,0,[],0
76,2005-01-18 18:27:52.639,0,[],0
77,2005-01-18 21:43:51.778,1,"[{'lat': -32.593, 'long': -178.785, 'Time': Timestamp('2005-01-20 13:58:13'), 'mag': 5.4}, {'lat': -41.223, 'long': 175.21, 'Time': Timestamp('2005-01-20 18:56:30'), 'mag': 5.3}, {'lat': -30.948, 'long': -178.126, 'Time': Timestamp('2005-01-20 20:20:21'), 'mag': 5.3}]",3
78,2005-01-19 00:59:20.068,1,"[{'lat': 34.064, 'long': 141.491, 'Time': Timestamp('2005-01-19 06:11:36'), 'mag': 6.6}, {'lat': 34.174, 'long': 141.542, 'Time': Timestamp('2005-01-19 06:17:07'), 'mag': 5.3}, {'lat': 41.921, 'long': 79.169, 'Time': Timestamp('2005-01-19 06:28:19'), 'mag': 5.1}, {'lat': 33.826, 'long': 141.531, 'Time': Timestamp('2005-01-19 13:51:53'), 'mag': 5.0}, {'lat': 3.547, 'long': 92.7, 'Time': Timestamp('2005-01-19 16:09:17'), 'mag': 5.0}, {'lat': 4.705, 'long': 95.157, 'Time': Timestamp('2005-01-19 17:32:30'), 'mag': 5.0}, {'lat': 49.825, 'long': 156.176, 'Time': Timestamp('2005-01-20 02:59:10'), 'mag': 5.4}, {'lat': 33.859, 'long': 141.509, 'Time': Timestamp('2005-01-20 14:16:26'), 'mag': 5.4}, {'lat': -11.102, 'long': 161.531, 'Time': Timestamp('2005-01-20 16:23:05'), 'mag': 5.0}, {'lat': 3.739, 'long': 126.814, 'Time': Timestamp('2005-01-20 16:47:01'), 'mag': 5.2}, {'lat': 6.437, 'long': 93.348, 'Time': Timestamp('2005-01-20 19:26:40'), 'mag': 5.2}]",11
