index,time_window,label,matched_eqs,total_eq
0,2007-10-01 07:39:23.134,1,"[{'lat': 13.439, 'long': 40.828, 'Time': Timestamp('2007-10-02 09:06:31'), 'mag': 5.0}, {'lat': 13.439, 'long': 40.828, 'Time': Timestamp('2007-10-02 09:06:31'), 'mag': 5.0}, {'lat': 13.439, 'long': 40.828, 'Time': Timestamp('2007-10-02 09:06:31'), 'mag': 5.0}]",3
1,2007-10-01 10:55:50.766,0,[],0
2,2007-10-01 14:14:53.722,1,"[{'lat': 57.487, 'long': -33.03, 'Time': Timestamp('2007-10-02 16:34:46'), 'mag': 5.3}, {'lat': -25.85, 'long': -70.555, 'Time': Timestamp('2007-10-02 15:33:01'), 'mag': 5.0}, {'lat': -25.847, 'long': -70.574, 'Time': Timestamp('2007-10-02 15:38:26'), 'mag': 5.2}, {'lat': -25.85, 'long': -70.555, 'Time': Timestamp('2007-10-02 15:33:01'), 'mag': 5.0}, {'lat': -25.847, 'long': -70.574, 'Time': Timestamp('2007-10-02 15:38:26'), 'mag': 5.2}]",5
3,2007-10-01 17:31:23.775,0,[],0
4,2007-10-02 08:09:46.784,1,"[{'lat': 13.439, 'long': 40.828, 'Time': Timestamp('2007-10-02 09:06:31'), 'mag': 5.0}, {'lat': 13.439, 'long': 40.828, 'Time': Timestamp('2007-10-02 09:06:31'), 'mag': 5.0}, {'lat': 13.439, 'long': 40.828, 'Time': Timestamp('2007-10-02 09:06:31'), 'mag': 5.0}]",3
5,2007-10-02 11:26:54.069,0,[],0
6,2007-10-02 14:45:22.979,1,"[{'lat': 57.487, 'long': -33.03, 'Time': Timestamp('2007-10-02 16:34:46'), 'mag': 5.3}, {'lat': 57.487, 'long': -33.03, 'Time': Timestamp('2007-10-02 16:34:46'), 'mag': 5.3}, {'lat': -25.85, 'long': -70.555, 'Time': Timestamp('2007-10-02 15:33:01'), 'mag': 5.0}, {'lat': -25.847, 'long': -70.574, 'Time': Timestamp('2007-10-02 15:38:26'), 'mag': 5.2}, {'lat': -25.85, 'long': -70.555, 'Time': Timestamp('2007-10-02 15:33:01'), 'mag': 5.0}, {'lat': -25.847, 'long': -70.574, 'Time': Timestamp('2007-10-02 15:38:26'), 'mag': 5.2}]",6
7,2007-10-02 18:01:23.176,0,[],0
8,2007-10-02 21:15:21.868,1,"[{'lat': 58.2824, 'long': -151.2868, 'Time': Timestamp('2007-10-03 14:06:12'), 'mag': 5.2}, {'lat': 58.2824, 'long': -151.2868, 'Time': Timestamp('2007-10-03 14:06:12'), 'mag': 5.2}]",2
9,2007-10-03 00:29:20.704,1,"[{'lat': 51.519, 'long': -178.402, 'Time': Timestamp('2007-10-03 02:25:50'), 'mag': 5.0}, {'lat': 51.675, 'long': -175.521, 'Time': Timestamp('2007-10-03 09:15:11'), 'mag': 5.0}, {'lat': 51.519, 'long': -178.402, 'Time': Timestamp('2007-10-03 02:25:50'), 'mag': 5.0}, {'lat': 51.675, 'long': -175.521, 'Time': Timestamp('2007-10-03 09:15:11'), 'mag': 5.0}, {'lat': 51.519, 'long': -178.402, 'Time': Timestamp('2007-10-03 02:25:50'), 'mag': 5.0}, {'lat': 51.675, 'long': -175.521, 'Time': Timestamp('2007-10-03 09:15:11'), 'mag': 5.0}, {'lat': -21.538, 'long': 168.28, 'Time': Timestamp('2007-10-03 23:36:09'), 'mag': 5.3}, {'lat': -21.538, 'long': 168.28, 'Time': Timestamp('2007-10-03 23:36:09'), 'mag': 5.3}, {'lat': -48.635, 'long': 164.658, 'Time': Timestamp('2007-10-03 01:43:25'), 'mag': 5.1}, {'lat': -48.724, 'long': 164.698, 'Time': Timestamp('2007-10-03 03:32:56'), 'mag': 5.1}, {'lat': -48.655, 'long': 164.622, 'Time': Timestamp('2007-10-03 18:03:03'), 'mag': 5.2}, {'lat': -42.16, 'long': 172.88, 'Time': Timestamp('2007-10-03 19:15:10'), 'mag': 5.4}, {'lat': -48.635, 'long': 164.658, 'Time': Timestamp('2007-10-03 01:43:25'), 'mag': 5.1}, {'lat': -48.724, 'long': 164.698, 'Time': Timestamp('2007-10-03 03:32:56'), 'mag': 5.1}, {'lat': -48.655, 'long': 164.622, 'Time': Timestamp('2007-10-03 18:03:03'), 'mag': 5.2}, {'lat': -42.16, 'long': 172.88, 'Time': Timestamp('2007-10-03 19:15:10'), 'mag': 5.4}, {'lat': -48.635, 'long': 164.658, 'Time': Timestamp('2007-10-03 01:43:25'), 'mag': 5.1}, {'lat': -48.724, 'long': 164.698, 'Time': Timestamp('2007-10-03 03:32:56'), 'mag': 5.1}, {'lat': -48.655, 'long': 164.622, 'Time': Timestamp('2007-10-03 18:03:03'), 'mag': 5.2}]",19
