Time,lat,long,depth,mag
2005-01-01T01:42:24.850Z,7.293,93.919,30,5
2005-01-01T01:43:40.140Z,7.034,92.462,35.5,5.2
2005-01-01T01:55:28.460Z,2.91,95.623,24.5,5.7
2005-01-01T04:03:10.990Z,5.465,94.398,36,5.7
2005-01-01T06:25:44.820Z,5.099,92.304,11.7,6.7
2005-01-01T06:34:46.470Z,8.782,93.057,30,5
2005-01-01T10:15:24.580Z,4.93,94.811,28.9,5.2
2005-01-01T11:53:12.710Z,10.843,91.782,22.6,5
2005-01-01T14:29:11.220Z,8.115,93.218,27,5.5
2005-01-01T19:08:07.800Z,7.336,94.455,55.4,6.1
2005-01-01T22:23:18.980Z,7.136,92.7,48.7,5.1
2005-01-01T22:28:13.780Z,7.192,92.765,10,5.5
2005-01-01T22:40:51.430Z,9.026,92.626,30,5.2
2005-01-02T00:24:39.020Z,56.626,117.804,13.8,5.1
2005-01-02T08:27:41.890Z,3.242,95.462,8.4,5.9
2005-01-02T12:12:11.080Z,5.39,94.465,21,5.3
2005-01-02T15:35:56.720Z,6.36,92.787,30,6.4
2005-01-02T18:23:18.040Z,2.162,126.743,31.8,5.2
2005-01-02T19:35:25.910Z,5.348,94.343,47.5,5.1
2005-01-03T09:14:03.470Z,10.576,92.22,25.1,5.1
2005-01-03T17:00:10.950Z,49.05,156.182,41.4,5
2005-01-03T17:45:15.960Z,4.603,96.677,52.2,5.1
2005-01-03T17:59:28.890Z,-50.659,161.866,10,6.1
2005-01-04T02:04:46.540Z,4.509,93.104,30,5
2005-01-04T09:13:12.250Z,10.672,92.362,23.2,6.1
2005-01-04T09:17:53.660Z,10.609,92.385,44.1,5.2
2005-01-04T09:58:59.710Z,4.047,94.775,29.7,5
2005-01-04T12:34:01.400Z,4.01,94.443,30,5
2005-01-04T15:18:28.560Z,4.581,93.784,24.8,5
2005-01-04T18:26:44.660Z,4.924,94.789,44.2,5.3
2005-01-04T19:08:02.980Z,5.118,94.599,29.5,5.2
2005-01-04T19:14:49.130Z,10.556,91.727,10,5.7
2005-01-04T19:44:12.020Z,-10.354,41.012,10,5
2005-01-04T19:58:06.890Z,-10.407,41.494,29.4,5
2005-01-05T05:32:38.540Z,3.527,93.655,30,5.5
2005-01-05T12:31:38.430Z,6.725,93.03,30,5.1
2005-01-05T14:34:31.320Z,5.588,94.759,30,5.3
2005-01-05T14:54:04.810Z,5.489,94.392,48.8,5.9
2005-01-06T00:02:21.110Z,19.573,-109.111,10,5.7
2005-01-06T00:04:09.640Z,19.638,-109.108,10,5.5
2005-01-06T00:11:17.100Z,5.604,93.249,30,5.5
2005-01-06T00:29:08.820Z,6.938,91.908,6.7,5.4
2005-01-06T00:56:29.910Z,5.323,94.835,49.5,5.7
2005-01-06T01:04:22.390Z,1.414,125.768,35,5.5
2005-01-06T03:28:51.000Z,-52.57,27.612,10,5.6
2005-01-06T04:52:42.940Z,6.974,91.963,30,5.3
2005-01-06T07:54:25.250Z,10.804,93.606,107,5.3
2005-01-06T10:14:43.710Z,51.417,-174.265,41.3,5
2005-01-06T10:38:44.340Z,14.105,93.123,30,5
2005-01-06T11:55:43.710Z,10.906,91.795,10.5,5.5
2005-01-06T13:00:40.220Z,41.456,142.065,65.5,5.4
2005-01-06T13:35:16.460Z,-21.851,-68.452,125.2,5.4
2005-01-07T05:27:32.990Z,-30.936,-177.646,18,5.3
2005-01-07T05:37:33.680Z,-6.583,154.672,44.3,5
2005-01-07T10:49:14.330Z,8.765,93.564,30,5.3
2005-01-07T13:53:43.480Z,-10.128,160.928,69.6,5
2005-01-07T14:17:12.710Z,-7.603,127.975,109.7,5.2
2005-01-08T05:31:31.400Z,10.641,91.925,30,5.1
2005-01-08T05:58:21.850Z,4.866,94.783,30,5.1
2005-01-08T07:14:35.900Z,-55.328,-28.098,33.4,5
2005-01-08T14:59:36.650Z,3.542,92.876,30.1,5.2
2005-01-08T16:08:18.190Z,-26.851,-107.262,10,5.1
2005-01-08T18:45:03.820Z,-55.299,-27.956,10,6
2005-01-09T01:07:51.410Z,-7.203,130.043,76.8,5
2005-01-09T01:59:13.150Z,7.59,92.4,30,5.3
2005-01-09T16:27:09.250Z,51.535,-176.135,41.2,5.2
2005-01-09T17:16:45.990Z,3.318,94.276,26.1,5.3
2005-01-09T22:12:56.510Z,4.926,95.108,40,6.1
2005-01-09T23:18:01.720Z,-24.842,69.922,10,5.1
2005-01-09T23:20:37.050Z,10.528,92.282,22.5,5.5
2005-01-10T16:58:23.060Z,-6.176,154.546,418.4,5.1
2005-01-10T18:47:30.180Z,37.103,54.574,31.9,5.4
2005-01-10T23:48:50.020Z,37.017,27.804,15.9,5.5
2005-01-10T23:50:25.680Z,37.018,27.919,10,5
2005-01-11T04:36:00.970Z,36.917,27.867,34.9,5.1
2005-01-11T10:29:40.540Z,-4.629,153.548,75.8,5.1
2005-01-11T17:28:49.910Z,-23.889,-67.058,165.4,5
2005-01-11T19:19:48.520Z,11.519,-86.372,39.1,5.1
2005-01-11T21:46:34.670Z,5.062,94.792,30,5
2005-01-12T08:40:03.650Z,-0.878,-21.194,10,6.8
2005-01-12T10:26:14.590Z,-18.589,-177.74,556.7,5
2005-01-12T13:58:18.180Z,5.549,94.625,29.9,5.4
2005-01-12T14:46:41.850Z,-60.384,-27.682,45,5.2
2005-01-12T18:41:48.950Z,34.089,141.561,20.1,5.1
2005-01-12T18:44:41.230Z,5.123,94.738,35.9,5.1
2005-01-13T00:07:22.100Z,6.041,126.297,45.3,5.5
2005-01-13T03:05:29.130Z,-16.883,-173.581,15,5.2
2005-01-13T04:50:35.280Z,-35.397,179.98,74.7,5
2005-01-13T09:56:20.640Z,12.688,-88.221,49.3,5.3
2005-01-13T17:14:05.300Z,-27.05,-176.477,10,5.1
2005-01-13T20:47:56.490Z,51.804,175.487,29.4,5.4
2005-01-14T08:33:14.460Z,-4.238,152.717,10,6.1
2005-01-14T16:22:03.200Z,8.861,93.251,4.9,5.1
2005-01-14T17:08:36.030Z,4.801,95.196,47.4,5.1
2005-01-14T21:38:16.710Z,3.135,93.922,22,5.6
2005-01-15T05:00:30.260Z,-0.061,123.45,110.5,5.4
2005-01-15T05:13:10.670Z,-5.991,39.221,10,5
2005-01-15T07:46:53.260Z,14.57,92.387,25.7,5.5
2005-01-15T11:40:37.250Z,-3.582,-80.688,34,5.1
2005-01-15T13:47:05.130Z,-6.462,105.236,58.7,6
2005-01-15T14:02:14.700Z,-3.726,-80.793,38.6,5
2005-01-16T08:25:04.470Z,-25.528,-176.299,16,6.2
2005-01-16T16:20:16.390Z,-34.164,-179.718,70.1,5
2005-01-16T20:17:52.760Z,10.934,140.842,24.9,6.6
2005-01-16T22:47:29.060Z,8.662,93.616,30,5
2005-01-17T00:50:04.190Z,-15.504,-173.177,10,5.2
2005-01-17T02:45:14.840Z,14.57,92.594,18.6,5
2005-01-17T02:53:40.570Z,3.869,95.919,42.5,5
2005-01-17T05:43:53.370Z,10.922,140.799,10,5
2005-01-17T10:50:32.560Z,10.986,140.682,12,6.1
2005-01-18T02:36:45.530Z,10.622,92.019,27.9,5
2005-01-18T04:26:54.620Z,-19.948,168.514,44.5,5.1
2005-01-18T05:50:38.570Z,57.035,-33.958,10,5
2005-01-18T06:59:03.740Z,57.049,-33.811,10,5.7
2005-01-18T08:36:04.400Z,-41.46,175.78,20,5.2
2005-01-18T09:26:00.500Z,-41.45,175.78,24,5
2005-01-18T14:09:06.220Z,42.946,144.866,42,6.3
2005-01-18T15:30:19.920Z,35.531,67.965,10,5.3
2005-01-18T21:20:32.450Z,-22.905,179.037,588.9,5.8
2005-01-19T06:11:36.400Z,34.064,141.491,27.8,6.6
2005-01-19T06:17:07.330Z,34.174,141.542,10,5.3
2005-01-19T06:28:19.810Z,41.921,79.169,38.8,5.1
2005-01-19T13:51:53.340Z,33.826,141.531,16.2,5
2005-01-19T16:09:17.820Z,3.547,92.7,30,5
2005-01-19T17:32:30.670Z,4.705,95.157,30,5
2005-01-20T02:59:10.500Z,49.825,156.176,38.4,5.4
2005-01-20T13:58:13.090Z,-32.593,-178.785,10,5.4
2005-01-20T14:16:26.820Z,33.859,141.509,51.3,5.4
2005-01-20T16:23:05.210Z,-11.102,161.531,43.6,5
2005-01-20T16:47:01.860Z,3.739,126.814,10,5.2
2005-01-20T18:56:30.700Z,-41.223,175.21,39,5.3
2005-01-20T19:26:40.690Z,6.437,93.348,30.4,5.2
2005-01-20T20:20:21.240Z,-30.948,-178.126,35,5.3
2005-01-20T22:18:38.550Z,-22.142,-68.731,102.1,5.1
2005-01-21T01:16:33.980Z,-20.272,168.849,10,5
2005-01-21T04:30:29.010Z,-1.188,-80.841,10,5.4
2005-01-21T12:45:31.520Z,34.021,141.553,10,5.7
2005-01-21T13:45:14.060Z,-1.134,-80.829,10,6
2005-01-21T14:28:22.510Z,24.696,122.46,103.6,5.2
2005-01-21T16:47:00.550Z,-1.178,-80.869,10,5
2005-01-21T17:54:34.930Z,5.186,125.245,175.4,5.9
2005-01-21T17:58:56.410Z,34.003,141.367,10,5.8
2005-01-21T18:10:35.180Z,33.892,141.52,10,5
2005-01-21T20:48:59.850Z,-32.78,-178.762,10,5.5
2005-01-22T01:12:14.480Z,-1.2,-80.792,26.1,5.2
2005-01-22T02:57:07.190Z,-22.27,-63.649,526.8,5.3
2005-01-22T09:18:05.980Z,3.633,94.136,30,5
2005-01-22T10:48:45.710Z,-10.73,123.948,41.7,5.2
2005-01-22T11:27:43.160Z,-31.61,-177.929,23.5,5.7
2005-01-22T12:30:18.830Z,-31.555,-177.759,10,5
2005-01-22T18:38:14.000Z,14.554,92.938,30,5.5
2005-01-22T20:30:17.350Z,-7.727,159.475,29,6.4
2005-01-23T01:03:55.450Z,-5.849,151.582,25.2,5.5
2005-01-23T03:32:27.070Z,-13.882,66.191,10,5.5
2005-01-23T06:16:03.680Z,2.596,94.387,27.7,5
2005-01-23T10:06:07.740Z,-1.202,-80.796,15.9,5
2005-01-23T16:55:49.340Z,13.635,93.011,28.4,5.1
2005-01-23T19:59:45.370Z,-1.097,120.145,28.9,5.3
2005-01-23T20:10:12.150Z,-1.198,119.933,11,6.3
2005-01-23T20:36:08.120Z,2.71,94.337,26.4,5.2
2005-01-23T21:02:34.450Z,-1.103,120.164,22.9,5.3
2005-01-23T22:36:05.530Z,35.796,29.641,10,5.8
2005-01-23T23:15:52.920Z,-42.717,-82.681,10,5.3
2005-01-24T00:39:20.350Z,4.701,96.134,19.5,5.3
2005-01-24T04:16:47.440Z,7.33,92.482,30,6.3
2005-01-24T06:11:52.300Z,-2.332,-80.646,28.5,5.6
2005-01-24T17:45:41.200Z,9.388,-84.753,9,5.3
2005-01-24T17:59:23.580Z,4.748,94.809,48.1,5
2005-01-24T19:07:15.670Z,-29.399,-71.715,42.6,5.1
2005-01-24T23:23:26.120Z,-1.364,-80.785,16.9,6.1
2005-01-24T23:26:50.320Z,-1.398,-80.91,10,5.8
2005-01-24T23:59:32.100Z,-1.427,-80.874,15,5.1
2005-01-25T09:54:22.420Z,5.447,94.67,30,5
2005-01-25T11:00:19.390Z,52.115,173.294,13.8,5.1
2005-01-25T11:39:20.910Z,33.388,45.872,45.2,5
2005-01-25T16:44:16.130Z,37.622,43.703,41.2,5.9
2005-01-25T18:54:27.040Z,49.311,154.359,133.9,5.3
2005-01-25T22:21:58.500Z,69.656,138.833,10,5.1
2005-01-26T17:30:28.820Z,8.25,94.038,23.3,5.6
2005-01-26T17:49:56.780Z,-6.764,129.568,33.9,5.6
2005-01-26T22:00:42.570Z,2.699,94.602,22.2,6.2
2005-01-26T22:46:59.070Z,8.018,94.063,23.3,5.5
2005-01-26T23:03:04.820Z,7.842,94.01,17.5,5.1
2005-01-26T23:43:28.670Z,5.336,94.327,47.2,5.1
2005-01-27T03:56:42.850Z,27.219,140.44,174.6,5.2
2005-01-27T03:58:44.620Z,7.942,93.99,30,5.4
2005-01-27T04:02:47.570Z,7.87,94.251,30,5.1
2005-01-27T05:22:18.670Z,7.828,94,30,5.4
2005-01-27T05:35:23.160Z,13.285,92.84,30,5
2005-01-27T05:48:12.650Z,7.964,94.094,30,5.3
2005-01-27T05:51:00.290Z,10.783,91.777,30,5.2
2005-01-27T06:14:29.060Z,7.821,94.179,30,5
2005-01-27T06:56:59.170Z,7.944,94.059,38.1,5.7
2005-01-27T07:20:24.310Z,7.933,94.052,30,5.2
