Orbit Number,Down Orbits,Up Orbits,Labels,EQtime,,,
2655,1137_026550_20050101_000537_20050101_003925.pkl,1137_026551_20050101_005437_20050101_012853.pkl,1,01-01-2005 01:42,,,
2656,1137_026560_20050101_014337_20050101_021752.pkl,1137_026561_20050101_023307_20050101_030756.pkl,1,01-01-2005 04:03,,,
2657,1137_026570_20050101_032207_20050101_035724.pkl,1137_026571_20050101_041137_20050101_044723.pkl,1,01-01-2005 04:03,,Count of label 1,8767
2658,1137_026580_20050101_050107_20050101_053753.pkl,1137_026581_20050101_055037_20050101_062822.pkl,1,01-01-2005 06:25,,Count of label 0,17557
2659,1137_026590_20050101_064007_20050101_071826.pkl,1137_026591_20050101_073007_20050101_080854.pkl,0,,,,
2660,1137_026600_20050101_082007_20050101_085855.pkl,1137_026601_20050101_091007_20050101_094924.pkl,1,01-01-2005 10:15,,,
2662,1137_026620_20050101_114107_20050101_121824.pkl,1137_026621_20050101_123137_20050101_130756.pkl,0,,,,
2663,1137_026630_20050101_132137_20050101_135724.pkl,1137_026631_20050101_141137_20050101_144656.pkl,1,01-01-2005 14:29,,,
2664,1137_026640_20050101_150107_20050101_153555.pkl,1137_026641_20050101_155107_20050101_162526.pkl,0,,,,
2665,1137_026650_20050101_164007_20050101_171423.pkl,1137_026651_20050101_172937_20050101_180323.pkl,0,,,,
2666,1137_026660_20050101_181837_20050101_185225.pkl,1137_026661_20050101_190737_20050101_194124.pkl,1,01-01-2005 19:08,,,
2667,1137_026670_20050101_195637_20050101_203023.pkl,1137_026671_20050101_204537_20050101_211926.pkl,0,,,,
2668,1137_026680_20050101_213437_20050101_220756.pkl,1137_026681_20050101_222337_20050101_225656.pkl,1,01-01-2005 22:23,,,
2669,1137_026690_20050101_231207_20050101_234555.pkl,1137_026691_20050102_000137_20050102_003525.pkl,1,02-01-2005 00:24,,,
2670,1137_026700_20050102_005037_20050102_012426.pkl,1137_026701_20050102_013937_20050102_021354.pkl,0,,,,
2671,1137_026710_20050102_022837_20050102_030322.pkl,1137_026711_20050102_031807_20050102_035323.pkl,0,,,,
2672,1137_026720_20050102_040737_20050102_044322.pkl,1137_026721_20050102_045707_20050102_053322.pkl,0,,,,
2733,1137_027330_20050106_084807_20050106_092723.pkl,1137_027331_20050106_093837_20050106_101724.pkl,1,06-01-2005 10:14,,,
2734,1137_027340_20050106_102837_20050106_110723.pkl,1137_027341_20050106_111907_20050106_115655.pkl,1,06-01-2005 11:55,,,
2735,1137_027350_20050106_120937_20050106_124625.pkl,1137_027351_20050106_130007_20050106_133554.pkl,1,06-01-2005 13:00,,,
2736,1137_027360_20050106_134937_20050106_142523.pkl,1137_027361_20050106_144007_20050106_151426.pkl,0,,,,
2737,1137_027370_20050106_152937_20050106_160353.pkl,1137_027371_20050106_161907_20050106_165256.pkl,0,,,,
2738,1137_027380_20050106_170807_20050106_174153.pkl,1137_027381_20050106_175737_20050106_183056.pkl,0,,,,
2739,1137_027390_20050106_184607_20050106_191955.pkl,1137_027391_20050106_193537_20050106_200856.pkl,0,,,,
2740,1137_027400_20050106_202407_20050106_205754.pkl,1137_027401_20050106_211307_20050106_214656.pkl,0,,,,
2741,1137_027410_20050106_220207_20050106_223556.pkl,1137_027411_20050106_225107_20050106_232455.pkl,0,,,,
2742,1137_027420_20050106_234007_20050107_001355.pkl,1137_027421_20050107_002907_20050107_010255.pkl,0,,,,
2743,1137_027430_20050107_011807_20050107_015226.pkl,1137_027431_20050107_020737_20050107_024153.pkl,0,,,,
2744,1137_027440_20050107_025637_20050107_033123.pkl,1137_027441_20050107_034608_20050107_042124.pkl,0,,,,
2745,1137_027450_20050107_043507_20050107_051122.pkl,1137_027451_20050107_052507_20050107_060153.pkl,1,07-01-2005 05:27,,,
2746,1137_027460_20050107_061407_20050107_065224.pkl,1137_027461_20050107_070407_20050107_074224.pkl,0,,,,
2747,1137_027470_20050107_075407_20050107_083255.pkl,1137_027471_20050107_084407_20050107_092255.pkl,0,,,,
2748,1137_027480_20050107_093407_20050107_101253.pkl,1137_027481_20050107_102437_20050107_110252.pkl,1,07-01-2005 10:49,,,
2749,1137_027490_20050107_111437_20050107_115222.pkl,1137_027491_20050107_120507_20050107_124154.pkl,0,,,,
2750,1137_027500_20050107_125537_20050107_133123.pkl,1137_027501_20050107_134537_20050107_142055.pkl,1,07-01-2005 13:53,,,
2751,1137_027510_20050107_143537_20050107_151025.pkl,1137_027511_20050107_152507_20050107_155923.pkl,0,,,,
2752,1137_027520_20050107_161437_20050107_164854.pkl,1137_027521_20050107_170407_20050107_173753.pkl,0,,,,
2753,1137_027530_20050107_175307_20050107_182654.pkl,1137_027531_20050107_184207_20050107_191553.pkl,0,,,,
2754,1137_027540_20050107_193107_20050107_200113.pkl,1137_027541_20050107_202007_20050107_205354.pkl,0,,,,
2755,1137_027550_20050107_210907_20050107_214225.pkl,1137_027551_20050107_215811_20050107_223123.pkl,0,,,,
2756,1137_027560_20050107_224637_20050107_232024.pkl,1137_027561_20050107_233537_20050108_000924.pkl,0,,,,
2757,1137_027570_20050108_002437_20050108_005823.pkl,1137_027571_20050108_011407_20050108_014754.pkl,0,,,,
2758,1137_027580_20050108_020307_20050108_023723.pkl,1137_027581_20050108_025237_20050108_032726.pkl,0,,,,
2759,1137_027590_20050108_034137_20050108_041652.pkl,1137_027591_20050108_043107_20050108_050726.pkl,1,08-01-2005 05:31,,,
2760,1137_027600_20050108_052037_20050108_055724.pkl,1137_027601_20050108_061007_20050108_064752.pkl,1,08-01-2005 05:58,,,
2761,1137_027610_20050108_065937_20050108_073824.pkl,1137_027611_20050108_074937_20050108_082824.pkl,0,,,,
2762,1137_027620_20050108_083937_20050108_091856.pkl,1137_027621_20050108_093007_20050108_100854.pkl,0,,,,
