index,time_window,label,matched_eqs,total_eq,random_offset_days
0,2008-04-07 07:56:20.823,0,[],0,6
1,2008-05-01 11:13:23.320,0,[],0,30
2,2008-04-19 14:31:50.596,0,[],0,18
3,2008-04-13 17:48:23.563,1,"[{'lat': 13.564, 'long': -90.599, 'Time': Timestamp('2008-04-15 03:03:04'), 'mag': 6.1}]",1,12
4,2008-04-19 21:02:20.925,1,"[{'lat': -31.583, 'long': -177.854, 'Time': Timestamp('2008-04-21 18:08:10'), 'mag': 5.1}]",1,18
5,2008-04-24 00:16:23.668,1,"[{'lat': -20.059, 'long': 168.72, 'Time': Timestamp('2008-04-24 01:19:15'), 'mag': 5.7}, {'lat': -20.0, 'long': 169.013, 'Time': Timestamp('2008-04-24 14:38:34'), 'mag': 5.1}, {'lat': 37.819, 'long': 29.256, 'Time': Timestamp('2008-04-25 04:48:54'), 'mag': 5.0}, {'lat': 35.62, 'long': 140.46, 'Time': Timestamp('2008-04-25 09:52:47'), 'mag': 5.1}, {'lat': 32.625, 'long': 85.227, 'Time': Timestamp('2008-04-25 12:03:51'), 'mag': 5.0}]",5,22
6,2008-04-26 03:32:55.463,1,"[{'lat': -3.266, 'long': 101.407, 'Time': Timestamp('2008-04-27 01:16:12'), 'mag': 5.2}, {'lat': -7.782, 'long': 107.876, 'Time': Timestamp('2008-04-27 05:02:39'), 'mag': 5.0}, {'lat': 24.812, 'long': 125.047, 'Time': Timestamp('2008-04-27 17:32:11'), 'mag': 5.2}]",3,24
7,2008-05-01 06:48:54.746,0,[],0,29
8,2008-04-17 10:04:51.044,1,"[{'lat': -52.864, 'long': 21.081, 'Time': Timestamp('2008-04-18 15:31:54'), 'mag': 5.4}]",1,15
9,2008-04-19 13:23:54.000,1,"[{'lat': -55.44, 'long': -28.025, 'Time': Timestamp('2008-04-21 03:47:24'), 'mag': 5.0}]",1,17
10,2008-04-11 11:06:50.846,0,[],0,7
11,2008-05-01 14:25:43.915,1,"[{'lat': -42.766, 'long': -72.266, 'Time': Timestamp('2008-05-02 05:51:24'), 'mag': 5.2}, {'lat': -42.784, 'long': -72.246, 'Time': Timestamp('2008-05-03 02:36:12'), 'mag': 5.0}]",2,27
12,2008-04-22 17:42:23.856,0,[],0,18
13,2008-05-02 20:56:23.909,1,"[{'lat': 43.155, 'long': -126.369, 'Time': Timestamp('2008-05-04 02:51:12'), 'mag': 5.1}]",1,28
14,2008-04-29 00:10:23.962,1,"[{'lat': 11.715, 'long': 42.808, 'Time': Timestamp('2008-04-29 01:07:31'), 'mag': 5.0}, {'lat': 41.452, 'long': 142.03, 'Time': Timestamp('2008-04-29 05:26:04'), 'mag': 5.8}, {'lat': -6.108, 'long': 127.484, 'Time': Timestamp('2008-04-29 19:10:02'), 'mag': 5.9}, {'lat': -8.066, 'long': 121.812, 'Time': Timestamp('2008-04-30 08:02:09'), 'mag': 5.0}]",4,24
15,2008-04-14 08:21:23.398,0,[],0,9
16,2008-04-20 11:38:23.149,1,"[{'lat': -55.44, 'long': -28.025, 'Time': Timestamp('2008-04-21 03:47:24'), 'mag': 5.0}]",1,15
17,2008-04-12 14:56:48.081,1,"[{'lat': 13.387, 'long': -44.872, 'Time': Timestamp('2008-04-13 23:29:52'), 'mag': 5.1}]",1,7
18,2008-05-03 18:12:23.257,0,[],0,28
19,2008-04-30 21:26:23.310,1,"[{'lat': -42.766, 'long': -72.266, 'Time': Timestamp('2008-05-02 05:51:24'), 'mag': 5.2}]",1,25
20,2008-05-05 00:40:15.361,1,"[{'lat': -22.754, 'long': 173.431, 'Time': Timestamp('2008-05-05 02:50:36'), 'mag': 5.2}, {'lat': 28.37, 'long': 54.05, 'Time': Timestamp('2008-05-05 21:57:53'), 'mag': 5.2}, {'lat': 53.248, 'long': -35.231, 'Time': Timestamp('2008-05-06 08:39:51'), 'mag': 5.1}, {'lat': 53.475, 'long': -35.129, 'Time': Timestamp('2008-05-06 08:47:10'), 'mag': 5.2}, {'lat': -20.398, 'long': 168.827, 'Time': Timestamp('2008-05-06 10:06:35'), 'mag': 5.3}, {'lat': -20.457, 'long': 168.836, 'Time': Timestamp('2008-05-06 12:42:17'), 'mag': 5.5}, {'lat': 71.479, 'long': -12.582, 'Time': Timestamp('2008-05-06 19:51:11'), 'mag': 5.0}, {'lat': -7.863, 'long': 123.147, 'Time': Timestamp('2008-05-06 23:27:37'), 'mag': 5.4}]",8,29
21,2008-04-29 07:13:26.763,0,[],0,23
22,2008-04-18 10:29:53.390,1,"[{'lat': -3.668, 'long': 26.073, 'Time': Timestamp('2008-04-20 07:30:44'), 'mag': 5.2}]",1,12
23,2008-04-11 13:48:53.578,0,[],0,5
24,2008-05-05 23:33:53.737,0,[],0,29
25,2008-04-24 07:44:23.068,0,[],0,17
26,2008-05-03 11:00:51.023,0,[],0,26
27,2008-04-30 14:19:46.748,1,"[{'lat': -42.766, 'long': -72.266, 'Time': Timestamp('2008-05-02 05:51:24'), 'mag': 5.2}]",1,23
28,2008-05-04 17:36:24.033,0,[],0,27
29,2008-04-30 20:50:23.086,0,[],0,23
