index,time_window,label,matched_eqs,total_eq,first_eq_time,fname,delta_t_hours
1012,2007-05-28 01:54:21.462,1,"[{'lat': 21.836, 'long': 143.049, 'Time': Timestamp('2007-05-28 09:15:00'), 'mag': 5.0}, {'lat': -4.587, 'long': 151.841, 'Time': Timestamp('2007-05-29 01:03:27'), 'mag': 6.1}, {'lat': -1.065, 'long': 127.343, 'Time': Timestamp('2007-05-29 09:36:05'), 'mag': 6.1}, {'lat': -1.066, 'long': 127.419, 'Time': Timestamp('2007-05-29 09:42:58'), 'mag': 5.5}, {'lat': -1.074, 'long': 127.465, 'Time': Timestamp('2007-05-29 12:00:22'), 'mag': 5.1}, {'lat': -0.011, 'long': 122.796, 'Time': Timestamp('2007-05-29 20:12:39'), 'mag': 5.5}]",6,2007-05-28 09:15:00,RDM_df_train_30D-20SW_full-tw48_w7.csv,7.344038333333334
1607,2007-08-25 21:10:22.218,1,"[{'lat': -17.457, 'long': -174.335, 'Time': Timestamp('2007-08-26 12:37:31'), 'mag': 6.1}, {'lat': -17.311, 'long': -172.249, 'Time': Timestamp('2007-08-27 17:11:59'), 'mag': 5.7}]",2,2007-08-26 12:37:31,RDM_df_train_30D-20SW_full-tw48_w7.csv,15.452439444444444
129,2006-11-20 07:57:19.807,1,"[{'lat': -21.133, 'long': 33.112, 'Time': Timestamp('2006-11-20 20:16:06'), 'mag': 5.1}]",1,2006-11-20 20:16:06,RDM_df_train_30D-20SW_full-tw48_w7.csv,12.312831388888888
1550,2007-08-31 08:23:21.402,1,"[{'lat': 12.606, 'long': 47.989, 'Time': Timestamp('2007-08-31 21:09:44'), 'mag': 5.1}]",1,2007-08-31 21:09:44,RDM_df_train_30D-20SW_full-tw48_w7.csv,12.772943888888888
458,2007-01-30 22:39:52.208,1,"[{'lat': -19.206, 'long': 169.564, 'Time': Timestamp('2007-01-31 02:14:26'), 'mag': 5.4}, {'lat': -11.424, 'long': 166.202, 'Time': Timestamp('2007-01-31 06:51:25'), 'mag': 5.5}, {'lat': -11.49, 'long': 166.278, 'Time': Timestamp('2007-01-31 06:55:49'), 'mag': 5.1}, {'lat': -37.654, 'long': 78.066, 'Time': Timestamp('2007-02-01 00:14:26'), 'mag': 5.5}]",4,2007-01-31 02:14:26,RDM_df_train_30D-20SW_full-tw48_w7.csv,3.5760533333333333
1441,2007-08-01 10:06:23.529,1,"[{'lat': -52.444, 'long': 17.647, 'Time': Timestamp('2007-08-02 07:19:23'), 'mag': 5.5}]",1,2007-08-02 07:19:23,RDM_df_train_30D-20SW_full-tw48_w7.csv,21.216519722222223
1619,2007-09-16 07:58:27.604,1,"[{'lat': -11.812, 'long': 42.082, 'Time': Timestamp('2007-09-16 14:01:47'), 'mag': 5.0}]",1,2007-09-16 14:01:47,RDM_df_train_30D-20SW_full-tw48_w7.csv,6.055387777777778
928,2007-05-11 17:12:23.389,1,"[{'lat': -49.75, 'long': -116.75, 'Time': Timestamp('2007-05-12 10:16:56'), 'mag': 5.2}, {'lat': -41.4, 'long': -89.066, 'Time': Timestamp('2007-05-13 03:23:53'), 'mag': 5.0}]",2,2007-05-12 10:16:56,RDM_df_train_30D-20SW_full-tw48_w7.csv,17.075725277777778
1310,2007-07-14 08:09:48.652,1,"[{'lat': -2.933, 'long': 36.241, 'Time': Timestamp('2007-07-15 11:24:21'), 'mag': 5.3}, {'lat': -2.88, 'long': 36.161, 'Time': Timestamp('2007-07-15 20:42:11'), 'mag': 5.4}]",2,2007-07-15 11:24:21,RDM_df_train_30D-20SW_full-tw48_w7.csv,27.24231888888889
378,2007-01-04 12:16:21.517,1,"[{'lat': 0.548, 'long': -25.37, 'Time': Timestamp('2007-01-05 02:30:01'), 'mag': 5.0}, {'lat': -59.723, 'long': -26.682, 'Time': Timestamp('2007-01-06 08:32:20'), 'mag': 5.0}]",2,2007-01-05 02:30:01,RDM_df_train_30D-20SW_full-tw48_w7.csv,14.227634166666666
594,2007-02-21 15:15:51.884,1,"[{'lat': -1.436, 'long': -77.97, 'Time': Timestamp('2007-02-23 14:12:28'), 'mag': 5.0}]",1,2007-02-23 14:12:28,RDM_df_train_30D-20SW_full-tw48_w7.csv,46.94336555555556
543,2007-02-18 16:41:57.795,1,"[{'lat': 6.336, 'long': -82.706, 'Time': Timestamp('2007-02-18 21:37:44'), 'mag': 5.7}, {'lat': -23.05, 'long': -70.473, 'Time': Timestamp('2007-02-19 19:24:10'), 'mag': 5.5}]",2,2007-02-18 21:37:44,RDM_df_train_30D-20SW_full-tw48_w7.csv,4.929501388888889
