index,time_window,label,matched_eqs,total_eq,first_eq_time,fname,delta_t_hours
690,2005-06-09 22:45:22.810,1,"[{'lat': -30.133, 'long': -177.965, 'Time': Timestamp('2005-06-10 03:22:33'), 'mag': 5.2}]",1,2005-06-10 03:22:33,RDM_df_train_30D-20_22SW-tw48_w0.csv,4.619497222222222
1252,2005-11-25 08:55:22.554,1,"[{'lat': 38.26, 'long': 38.814, 'Time': Timestamp('2005-11-26 15:56:55'), 'mag': 5.1}, {'lat': 35.02, 'long': 23.32, 'Time': Timestamp('2005-11-25 09:30:56'), 'mag': 5.2}, {'lat': 38.26, 'long': 38.814, 'Time': Timestamp('2005-11-26 15:56:55'), 'mag': 5.1}, {'lat': 35.02, 'long': 23.32, 'Time': Timestamp('2005-11-25 09:30:56'), 'mag': 5.2}, {'lat': 38.26, 'long': 38.814, 'Time': Timestamp('2005-11-26 15:56:55'), 'mag': 5.1}, {'lat': 35.02, 'long': 23.32, 'Time': Timestamp('2005-11-25 09:30:56'), 'mag': 5.2}]",6,2005-11-26 15:56:55,RDM_df_train_30D-20_22SW-tw48_w0.csv,31.025679444444442
1358,2005-12-05 09:38:50.979,1,"[{'lat': -6.224, 'long': 29.83, 'Time': Timestamp('2005-12-05 12:19:56'), 'mag': 6.8}, {'lat': -6.081, 'long': 29.642, 'Time': Timestamp('2005-12-06 05:53:08'), 'mag': 5.2}, {'lat': -6.224, 'long': 29.83, 'Time': Timestamp('2005-12-05 12:19:56'), 'mag': 6.8}, {'lat': -6.081, 'long': 29.642, 'Time': Timestamp('2005-12-06 05:53:08'), 'mag': 5.2}]",4,2005-12-05 12:19:56,RDM_df_train_30D-20_22SW-tw48_w0.csv,2.684728055555556
1492,2006-01-04 15:17:50.655,1,"[{'lat': 6.956, 'long': -34.468, 'Time': Timestamp('2006-01-06 06:27:59'), 'mag': 5.4}, {'lat': -15.642, 'long': -73.944, 'Time': Timestamp('2006-01-05 23:16:49'), 'mag': 5.0}, {'lat': -15.642, 'long': -73.944, 'Time': Timestamp('2006-01-05 23:16:49'), 'mag': 5.0}, {'lat': -15.642, 'long': -73.944, 'Time': Timestamp('2006-01-05 23:16:49'), 'mag': 5.0}, {'lat': -36.399, 'long': -73.224, 'Time': Timestamp('2006-01-05 22:51:15'), 'mag': 5.2}, {'lat': -36.399, 'long': -73.224, 'Time': Timestamp('2006-01-05 22:51:15'), 'mag': 5.2}, {'lat': -36.399, 'long': -73.224, 'Time': Timestamp('2006-01-05 22:51:15'), 'mag': 5.2}]",7,2006-01-06 06:27:59,RDM_df_train_30D-20_22SW-tw48_w0.csv,39.16898472222222
936,2005-08-24 04:06:24.827,1,"[{'lat': 38.48, 'long': 143.154, 'Time': Timestamp('2005-08-24 10:14:47'), 'mag': 5.9}, {'lat': 38.564, 'long': 142.987, 'Time': Timestamp('2005-08-24 10:15:28'), 'mag': 6.1}]",2,2005-08-24 10:14:47,RDM_df_train_30D-20_22SW-tw48_w0.csv,6.139492499999999
704,2005-06-20 01:48:50.754,1,"[{'lat': 26.081, 'long': 128.448, 'Time': Timestamp('2005-06-20 07:16:16'), 'mag': 5.3}, {'lat': 26.081, 'long': 128.448, 'Time': Timestamp('2005-06-20 07:16:16'), 'mag': 5.3}, {'lat': 26.081, 'long': 128.448, 'Time': Timestamp('2005-06-20 07:16:16'), 'mag': 5.3}]",3,2005-06-20 07:16:16,RDM_df_train_30D-20_22SW-tw48_w0.csv,5.457012777777778
755,2005-07-17 01:06:21.444,1,"[{'lat': 19.589, 'long': 146.078, 'Time': Timestamp('2005-07-18 02:43:48'), 'mag': 5.0}, {'lat': 19.589, 'long': 146.078, 'Time': Timestamp('2005-07-18 02:43:48'), 'mag': 5.0}, {'lat': -4.844, 'long': 129.609, 'Time': Timestamp('2005-07-18 01:59:37'), 'mag': 5.2}, {'lat': -4.844, 'long': 129.609, 'Time': Timestamp('2005-07-18 01:59:37'), 'mag': 5.2}]",4,2005-07-18 02:43:48,RDM_df_train_30D-20_22SW-tw48_w0.csv,25.624043333333333
1224,2005-11-16 01:05:51.165,1,"[{'lat': 33.319, 'long': 141.388, 'Time': Timestamp('2005-11-17 21:59:29'), 'mag': 5.7}, {'lat': 23.324, 'long': 142.205, 'Time': Timestamp('2005-11-16 23:48:35'), 'mag': 5.1}, {'lat': 33.319, 'long': 141.388, 'Time': Timestamp('2005-11-17 21:59:29'), 'mag': 5.7}, {'lat': 23.324, 'long': 142.205, 'Time': Timestamp('2005-11-16 23:48:35'), 'mag': 5.1}, {'lat': 33.319, 'long': 141.388, 'Time': Timestamp('2005-11-17 21:59:29'), 'mag': 5.7}, {'lat': 23.324, 'long': 142.205, 'Time': Timestamp('2005-11-16 23:48:35'), 'mag': 5.1}]",6,2005-11-17 21:59:29,RDM_df_train_30D-20_22SW-tw48_w0.csv,44.89384305555555
1382,2005-12-12 15:54:21.688,1,"[{'lat': -31.048, 'long': -71.611, 'Time': Timestamp('2005-12-14 10:52:08'), 'mag': 5.3}, {'lat': -31.048, 'long': -71.611, 'Time': Timestamp('2005-12-14 10:52:08'), 'mag': 5.3}]",2,2005-12-14 10:52:08,RDM_df_train_30D-20_22SW-tw48_w0.csv,42.96286444444445
576,2005-05-18 03:35:25.326,1,"[{'lat': 35.432, 'long': 140.827, 'Time': Timestamp('2005-05-19 01:14:28'), 'mag': 5.3}, {'lat': 35.432, 'long': 140.827, 'Time': Timestamp('2005-05-19 01:14:28'), 'mag': 5.3}, {'lat': 35.432, 'long': 140.827, 'Time': Timestamp('2005-05-19 01:14:28'), 'mag': 5.3}, {'lat': 6.456, 'long': 125.709, 'Time': Timestamp('2005-05-19 14:17:28'), 'mag': 5.4}, {'lat': 6.456, 'long': 125.709, 'Time': Timestamp('2005-05-19 14:17:28'), 'mag': 5.4}, {'lat': -6.959, 'long': 129.564, 'Time': Timestamp('2005-05-18 09:02:10'), 'mag': 5.0}, {'lat': 6.456, 'long': 125.709, 'Time': Timestamp('2005-05-19 14:17:28'), 'mag': 5.4}, {'lat': -6.959, 'long': 129.564, 'Time': Timestamp('2005-05-18 09:02:10'), 'mag': 5.0}, {'lat': 1.989, 'long': 97.041, 'Time': Timestamp('2005-05-19 01:54:52'), 'mag': 6.9}, {'lat': 5.593, 'long': 93.271, 'Time': Timestamp('2005-05-18 11:37:29'), 'mag': 5.7}, {'lat': 5.439, 'long': 93.357, 'Time': Timestamp('2005-05-18 11:37:41'), 'mag': 6.1}, {'lat': 1.989, 'long': 97.041, 'Time': Timestamp('2005-05-19 01:54:52'), 'mag': 6.9}]",12,2005-05-19 01:14:28,RDM_df_train_30D-20_22SW-tw48_w0.csv,21.65074277777778
