index,time_window,label,matched_eqs,total_eq,random_offset_days
0,2009-04-11 05:08:53.477,0,[],0,10
1,2009-04-28 08:23:50.996,0,[],0,27
2,2009-04-17 11:42:23.259,0,[],0,16
3,2009-04-09 15:00:48.190,0,[],0,8
4,2009-04-23 21:30:23.420,1,"[{'lat': -31.669, 'long': -177.613, 'Time': Timestamp('2009-04-24 05:37:35'), 'mag': 5.1}, {'lat': -31.669, 'long': -177.613, 'Time': Timestamp('2009-04-24 05:37:35'), 'mag': 5.1}, {'lat': -31.669, 'long': -177.613, 'Time': Timestamp('2009-04-24 05:37:35'), 'mag': 5.1}]",3,22
5,2009-04-11 00:44:23.472,0,[],0,9
6,2009-04-17 05:38:55.964,0,[],0,15
7,2009-04-11 08:53:51.921,0,[],0,9
8,2009-04-21 12:13:23.660,0,[],0,19
9,2009-04-28 15:30:48.815,1,"[{'lat': 52.666, 'long': -35.028, 'Time': Timestamp('2009-04-28 19:54:35'), 'mag': 5.6}, {'lat': 52.666, 'long': -35.028, 'Time': Timestamp('2009-04-28 19:54:35'), 'mag': 5.6}]",2,26
10,2009-04-23 18:46:18.321,0,[],0,21
11,2009-04-29 21:59:52.012,1,"[{'lat': 58.9929, 'long': -151.3109, 'Time': Timestamp('2009-04-30 04:54:57'), 'mag': 5.0}, {'lat': 58.9929, 'long': -151.3109, 'Time': Timestamp('2009-04-30 04:54:57'), 'mag': 5.0}]",2,27
12,2009-04-10 01:13:50.860,1,"[{'lat': -3.346, 'long': 148.68, 'Time': Timestamp('2009-04-10 04:09:42'), 'mag': 5.2}, {'lat': -3.346, 'long': 148.68, 'Time': Timestamp('2009-04-10 04:09:42'), 'mag': 5.2}, {'lat': -3.346, 'long': 148.68, 'Time': Timestamp('2009-04-10 04:09:42'), 'mag': 5.2}, {'lat': -3.121, 'long': 127.5, 'Time': Timestamp('2009-04-10 05:40:32'), 'mag': 5.4}, {'lat': -3.121, 'long': 127.5, 'Time': Timestamp('2009-04-10 05:40:32'), 'mag': 5.4}, {'lat': -3.121, 'long': 127.5, 'Time': Timestamp('2009-04-10 05:40:32'), 'mag': 5.4}]",6,7
13,2009-04-20 06:08:56.689,0,[],0,17
14,2009-04-13 09:24:22.433,1,"[{'lat': 42.504, 'long': 13.363, 'Time': Timestamp('2009-04-13 21:14:24'), 'mag': 5.0}, {'lat': 42.504, 'long': 13.363, 'Time': Timestamp('2009-04-13 21:14:24'), 'mag': 5.0}]",2,10
15,2009-04-20 12:43:54.062,0,[],0,17
16,2009-04-17 16:01:21.318,0,[],0,14
17,2009-04-28 19:15:53.168,0,[],0,25
18,2009-04-26 00:06:23.437,0,[],0,22
19,2009-05-02 08:15:52.354,0,[],0,28
20,2009-04-25 11:34:53.436,1,"[{'lat': 45.654, 'long': 26.606, 'Time': Timestamp('2009-04-25 17:18:48'), 'mag': 5.2}]",1,21
21,2009-05-02 21:22:23.596,0,[],0,28
22,2009-04-22 00:36:20.970,1,"[{'lat': -13.65, 'long': 167.212, 'Time': Timestamp('2009-04-22 01:48:26'), 'mag': 5.3}, {'lat': -13.65, 'long': 167.212, 'Time': Timestamp('2009-04-22 01:48:26'), 'mag': 5.3}, {'lat': -13.65, 'long': 167.212, 'Time': Timestamp('2009-04-22 01:48:26'), 'mag': 5.3}]",3,17
23,2009-04-15 10:25:20.907,0,[],0,10
24,2009-04-23 13:44:23.863,0,[],0,18
25,2009-04-25 23:28:54.023,0,[],0,20
26,2009-04-20 07:39:20.579,0,[],0,14
27,2009-04-22 10:17:20.282,0,[],0,14
28,2009-05-06 13:36:23.238,0,[],0,28
29,2009-04-21 23:21:23.397,1,"[{'lat': -13.65, 'long': 167.212, 'Time': Timestamp('2009-04-22 01:48:26'), 'mag': 5.3}, {'lat': -13.65, 'long': 167.212, 'Time': Timestamp('2009-04-22 01:48:26'), 'mag': 5.3}, {'lat': -13.65, 'long': 167.212, 'Time': Timestamp('2009-04-22 01:48:26'), 'mag': 5.3}]",3,13
30,2009-05-07 07:31:22.728,0,[],0,28
31,2009-05-04 10:47:50.683,0,[],0,25
32,2009-04-19 14:06:50.950,0,[],0,10
33,2009-04-21 17:23:23.693,0,[],0,12
34,2009-04-19 20:37:23.746,0,[],0,10
35,2009-04-30 23:50:53.798,1,"[{'lat': -2.983, 'long': 147.824, 'Time': Timestamp('2009-05-01 02:15:08'), 'mag': 5.0}, {'lat': -2.983, 'long': 147.824, 'Time': Timestamp('2009-05-01 02:15:08'), 'mag': 5.0}, {'lat': -10.77, 'long': 162.219, 'Time': Timestamp('2009-05-01 06:03:05'), 'mag': 5.9}, {'lat': -10.77, 'long': 162.219, 'Time': Timestamp('2009-05-01 06:03:05'), 'mag': 5.9}]",4,21
