index,time_window,label,matched_eqs,total_eq,first_eq_time,fname,delta_t_hours
1720,2009-09-30 01:28:51.447,1,"[{'lat': 55.865, 'long': 162.032, 'Time': Timestamp('2009-09-30 21:34:28'), 'mag': 5.0}, {'lat': 55.865, 'long': 162.032, 'Time': Timestamp('2009-09-30 21:34:28'), 'mag': 5.0}, {'lat': -6.215, 'long': 151.412, 'Time': Timestamp('2009-09-30 12:47:59'), 'mag': 5.3}, {'lat': -6.215, 'long': 151.412, 'Time': Timestamp('2009-09-30 12:47:59'), 'mag': 5.3}, {'lat': -6.215, 'long': 151.412, 'Time': Timestamp('2009-09-30 12:47:59'), 'mag': 5.3}, {'lat': 4.919, 'long': 126.711, 'Time': Timestamp('2009-09-30 01:39:41'), 'mag': 5.5}, {'lat': 4.919, 'long': 126.711, 'Time': Timestamp('2009-09-30 01:39:41'), 'mag': 5.5}, {'lat': 4.919, 'long': 126.711, 'Time': Timestamp('2009-09-30 01:39:41'), 'mag': 5.5}]",8,2009-09-30 21:34:28,RDM_df_train_30D-22SW-tw24_w15.csv,20.093486944444443
441,2009-01-22 20:08:53.346,1,"[{'lat': -54.896, 'long': -128.977, 'Time': Timestamp('2009-01-23 15:25:01'), 'mag': 5.3}]",1,2009-01-23 15:25:01,RDM_df_train_30D-22SW-tw24_w15.csv,19.268792777777776
472,2009-01-21 16:38:53.821,1,"[{'lat': 15.189, 'long': -91.931, 'Time': Timestamp('2009-01-22 14:03:13'), 'mag': 5.1}, {'lat': 15.189, 'long': -91.931, 'Time': Timestamp('2009-01-22 14:03:13'), 'mag': 5.1}, {'lat': 15.189, 'long': -91.931, 'Time': Timestamp('2009-01-22 14:03:13'), 'mag': 5.1}]",3,2009-01-22 14:03:13,RDM_df_train_30D-22SW-tw24_w15.csv,21.405327500000002
262,2008-12-14 22:11:52.073,1,"[{'lat': -14.186, 'long': 166.674, 'Time': Timestamp('2008-12-15 09:52:48'), 'mag': 5.2}, {'lat': -14.048, 'long': 166.469, 'Time': Timestamp('2008-12-15 10:32:39'), 'mag': 5.0}]",2,2008-12-15 09:52:48,RDM_df_train_30D-22SW-tw24_w15.csv,11.682201944444445
1232,2009-06-16 20:53:53.385,1,"[{'lat': -29.351, 'long': -177.237, 'Time': Timestamp('2009-06-17 11:45:40'), 'mag': 5.0}, {'lat': -29.351, 'long': -177.237, 'Time': Timestamp('2009-06-17 11:45:40'), 'mag': 5.0}]",2,2009-06-17 11:45:40,RDM_df_train_30D-22SW-tw24_w15.csv,14.862948611111111
1141,2009-06-02 07:57:50.791,1,"[{'lat': -37.943, 'long': 49.275, 'Time': Timestamp('2009-06-03 04:36:42'), 'mag': 5.2}, {'lat': -37.943, 'long': 49.275, 'Time': Timestamp('2009-06-03 04:36:42'), 'mag': 5.2}, {'lat': -37.943, 'long': 49.275, 'Time': Timestamp('2009-06-03 04:36:42'), 'mag': 5.2}, {'lat': 40.28, 'long': 53.015, 'Time': Timestamp('2009-06-02 14:39:35'), 'mag': 5.0}, {'lat': 40.28, 'long': 53.015, 'Time': Timestamp('2009-06-02 14:39:35'), 'mag': 5.0}]",5,2009-06-03 04:36:42,RDM_df_train_30D-22SW-tw24_w15.csv,20.647558055555557
760,2009-04-08 10:28:27.787,1,"[{'lat': 42.484, 'long': 13.343, 'Time': Timestamp('2009-04-09 00:52:59'), 'mag': 5.4}, {'lat': 42.484, 'long': 13.343, 'Time': Timestamp('2009-04-09 00:52:59'), 'mag': 5.4}, {'lat': 42.484, 'long': 13.343, 'Time': Timestamp('2009-04-09 00:52:59'), 'mag': 5.4}]",3,2009-04-09 00:52:59,RDM_df_train_30D-22SW-tw24_w15.csv,14.408670277777778
966,2009-04-30 16:29:54.018,1,"[{'lat': -1.548, 'long': -77.306, 'Time': Timestamp('2009-05-01 00:34:10'), 'mag': 5.1}, {'lat': -1.548, 'long': -77.306, 'Time': Timestamp('2009-05-01 00:34:10'), 'mag': 5.1}, {'lat': -1.548, 'long': -77.306, 'Time': Timestamp('2009-05-01 00:34:10'), 'mag': 5.1}]",3,2009-05-01 00:34:10,RDM_df_train_30D-22SW-tw24_w15.csv,8.071106111111112
1399,2009-07-21 08:43:50.640,1,"[{'lat': 26.77, 'long': 55.79, 'Time': Timestamp('2009-07-22 03:53:03'), 'mag': 5.3}, {'lat': 26.77, 'long': 55.79, 'Time': Timestamp('2009-07-22 03:53:03'), 'mag': 5.3}, {'lat': 26.77, 'long': 55.79, 'Time': Timestamp('2009-07-22 03:53:03'), 'mag': 5.3}]",3,2009-07-22 03:53:03,RDM_df_train_30D-22SW-tw24_w15.csv,19.153433333333332
999,2009-05-04 01:26:50.116,1,"[{'lat': -7.142, 'long': 155.475, 'Time': Timestamp('2009-05-04 22:23:28'), 'mag': 5.0}, {'lat': -10.21, 'long': 161.526, 'Time': Timestamp('2009-05-04 09:06:23'), 'mag': 5.1}, {'lat': -7.142, 'long': 155.475, 'Time': Timestamp('2009-05-04 22:23:28'), 'mag': 5.0}, {'lat': -10.21, 'long': 161.526, 'Time': Timestamp('2009-05-04 09:06:23'), 'mag': 5.1}, {'lat': -7.142, 'long': 155.475, 'Time': Timestamp('2009-05-04 22:23:28'), 'mag': 5.0}, {'lat': -3.541, 'long': 135.5, 'Time': Timestamp('2009-05-04 03:33:52'), 'mag': 5.5}, {'lat': -3.541, 'long': 135.5, 'Time': Timestamp('2009-05-04 03:33:52'), 'mag': 5.5}, {'lat': -3.541, 'long': 135.5, 'Time': Timestamp('2009-05-04 03:33:52'), 'mag': 5.5}]",8,2009-05-04 22:23:28,RDM_df_train_30D-22SW-tw24_w15.csv,20.94385666666667
