,station_id,station_name
835,AH223,AHMEDABAD
838,AU930,AUSTIN
841,BR52P,BRISBANE
842,CH833,CHERRY
844,CS31K,COCOS_ISLAND
845,CS839,COLORADO_SPRINGS
847,DW41K,DARWIN
849,GA313,GADANKI
850,GU513,GUAM
852,KR835,KIRTLAND
854,TO535,KOKUBUNJI
856,LA42Q,LAVERTON
857,LL721,LUALUALEI
859,ME929,MELROSE
860,MU230,MULTAN
862,MU834,MUNYO
864,NI63_,NORFOLK
867,SA418,SANYA
868,SQ832,SQUIRT
870,TV51R,TOWNSVILLE
874,WA619,WAKE
876,XI434,XINXIANG CHINA
879,DH224,AL DHAFRA AFB
881,AW426,AWASE
882,BJJ32,BERMUDA
884,BVJ03,BOA VISTA
910,DS932,DYESS AFB
923,KI939,KENT IS
959,ND61R,NIUE
964,OK426,OKINAWA
965,SJJ18,PUERTO RICO
972,SH42_,SOUTH HEDLAND
983,TUJ2O,TUCUMAN
989,TNJ20,TUCUMAN AIS-INGV
1005,WI937,WALLOPS ISLAND
1019,BLJ03,BELEM
1025,CGK21,CAMPO GRANDE
1031,GM037,GIBILMANNA
1046,SMK29,SANTA MARIA
1060,CXM9B,CACHIMBO
2097,LAA38,LAJES TERCEIRA ISLAND
3108,AN438,ANYANG
3132,CL424,CHUNG-LI
3208,SN437,OSAN AB
