URSI,STATION NAME,LAT,LONG
AS00Q,ASCENSION ISLAND,-7.95,345.6
AT138,ATHENS,38.0,23.5
BC840,BOULDER,40.0,254.7
CAJ2M,CACHOEIRA PAULISTA,-22.7,315.0
EG931,EGLIN AFB,30.5,273.5
EA036,EL ARENOSILLO,37.1,353.3
FZA0M,FORTALEZA,-3.9,321.6
HA419,HAINAN,19.4,109.0
IC437,I-CHEON,37.14,127.54
IL008,ILORIN,8.5,4.5
JJ433,JEJU,33.43,126.3
JI91J,JICAMARCA,-12.0,283.2
KJ609,KWAJALEIN,9.0,167.2
LM42B,LEARMONTH,-21.8,114.1
LV12P,LOUISVALE,-28.5,21.2
MU12K,MADIMBO,-22.39,30.88
NI135,NICOSIA,35.03,33.16
PA836,PT ARGUELLO,34.8,239.5
PRJ18,RAMEY,18.5,292.9
SAA0K,SAOLUIS,-2.6,315.8
TM308,TRIVANDRUM,8.54,76.87
WP937,WALLOPS IS,37.9,284.5
WU430,WUHAN,30.5,114.4
