station_name,station_id,month_of_coincidence
ATHENS,AT138,2010-02
BOULDER,BC840,2010-03
EGLIN AFB,EG931,2010-03
HAINAN,HA419,2010-02
KWAJALEIN,KJ609,2010-03
MADIMBO,MU12K,2010-01
PT ARGUELLO,PA836,2010-01
TRIVANDRUM,TM308,2010-03
WUHAN,WU430,2010-02
ATHENS,AT138,2010-04
BOULDER,BC840,2010-04
BOULDER,BC840,2010-05
EGLIN AFB,EG931,2010-04
EGLIN AFB,EG931,2010-05
EGLIN AFB,EG931,2010-06
HAINAN,HA419,2010-04
HAINAN,HA419,2010-05
HAINAN,HA419,2010-06
JICAMARCA,JI91J,2010-05
KWAJALEIN,KJ609,2010-04
MADIMBO,MU12K,2010-04
RAMEY,PRJ18,2010-05
RAMEY,PRJ18,2010-06
TRIVANDRUM,TM308,2010-04
TRIVANDRUM,TM308,2010-05
TRIVANDRUM,TM308,2010-06
WALLOPS IS,WP937,2010-04
WALLOPS IS,WP937,2010-05
WALLOPS IS,WP937,2010-06
WUHAN,WU430,2010-04
ASCENSION ISLAND,AS00Q,2010-08
ATHENS,AT138,2010-08
BOULDER,BC840,2010-09
EL ARENOSILLO,EA036,2010-08
JICAMARCA,JI91J,2010-07
JICAMARCA,JI91J,2010-08
KWAJALEIN,KJ609,2010-09
MADIMBO,MU12K,2010-08
RAMEY,PRJ18,2010-07
RAMEY,PRJ18,2010-08
SAOLUIS,SAA0K,2010-07
BOULDER,BC840,2010-11
EGLIN AFB,EG931,2010-10
EGLIN AFB,EG931,2010-11
JICAMARCA,JI91J,2010-10
JICAMARCA,JI91J,2010-11
KWAJALEIN,KJ609,2010-11
NICOSIA,NI135,2010-10
PT ARGUELLO,PA836,2010-10
RAMEY,PRJ18,2010-11
TRIVANDRUM,TM308,2010-11
WALLOPS IS,WP937,2010-10
ASCENSION ISLAND,AS00Q,2010-03
ATHENS,AT138,2010-03
EL ARENOSILLO,EA036,2010-03
HAINAN,HA419,2010-03
LOUISVALE,LV12P,2010-03
NICOSIA,NI135,2010-03
PT ARGUELLO,PA836,2010-02
ASCENSION ISLAND,AS00Q,2010-04
JICAMARCA,JI91J,2010-04
KWAJALEIN,KJ609,2010-05
PT ARGUELLO,PA836,2010-04
RAMEY,PRJ18,2010-04
SAOLUIS,SAA0K,2010-04
ATHENS,AT138,2010-11
I-CHEON,IC437,2010-04
JEJU,JJ433,2010-04
LEARMONTH,LM42B,2010-04
LOUISVALE,LV12P,2010-05
NICOSIA,NI135,2010-05
HAINAN,HA419,2010-10
JEJU,JJ433,2010-10
MADIMBO,MU12K,2010-10
CACHOEIRA PAULISTA,CAJ2M,2010-04
FORTALEZA,FZA0M,2010-04
JICAMARCA,JI91J,2010-09
PT ARGUELLO,PA836,2010-09
RAMEY,PRJ18,2010-09
TRIVANDRUM,TM308,2010-10
MADIMBO,MU12K,2010-03
NICOSIA,NI135,2010-01
PT ARGUELLO,PA836,2010-03
BOULDER,BC840,2010-06
KWAJALEIN,KJ609,2010-07
PT ARGUELLO,PA836,2010-08
TRIVANDRUM,TM308,2010-08
ATHENS,AT138,2010-10
BOULDER,BC840,2010-10
KWAJALEIN,KJ609,2010-10
PT ARGUELLO,PA836,2010-11
HAINAN,HA419,2010-01
KWAJALEIN,KJ609,2010-02
WALLOPS IS,WP937,2010-03
WUHAN,WU430,2010-01
NICOSIA,NI135,2010-09
WALLOPS IS,WP937,2010-07
ASCENSION ISLAND,AS00Q,2010-10
LOUISVALE,LV12P,2010-02
NICOSIA,NI135,2010-02
EL ARENOSILLO,EA036,2010-04
ILORIN,IL008,2010-01
KWAJALEIN,KJ609,2010-01
LOUISVALE,LV12P,2010-01
ASCENSION ISLAND,AS00Q,2010-09
EL ARENOSILLO,EA036,2010-09
ILORIN,IL008,2010-09
