split,anomalies,anomalies_sc,agg_value,agg_error,agg_value_sc,agg_error_sc,agg_total_eq,agg_total_eq_sc,seismic_indices_sc,seismic_indices
Val,34,23,8.823529411764707,4.864330767996384,8.695652173913043,5.875338475584142,4,3,"[144, 241]","[144, 241, 324]"
Train,32,7,9.375,5.152697639950359,14.285714285714285,13.226001425322165,5,1,[627],"[132, 627, 632]"
Val,28,23,7.142857142857142,4.867036741923192,8.695652173913043,5.875338475584142,2,2,"[62, 388]","[62, 388]"
Train,31,15,12.903225806451612,6.021009840370212,20.0,10.327955589886445,6,3,"[90, 207, 1128]","[90, 207, 212, 1128]"
Val,11,9,0.0,8.667841720414476,0.0,10.475656017578482,0,0,[],[]
Train,32,17,9.375,5.152697639950359,11.76470588235294,7.814248990059665,3,2,"[0, 750]","[0, 307, 750]"
Val,19,8,0.0,5.122781719918817,0.0,11.692679333668567,0,0,[],[]
Train,33,27,9.090909090909092,5.0043807505743665,11.11111111111111,6.04812282168686,3,3,"[305, 338, 1404]","[305, 338, 1404]"
Val,11,9,27.27272727272727,13.428162652290842,33.33333333333333,15.713484026367725,4,4,"[399, 403, 428]","[399, 403, 428]"
Train,34,24,11.76470588235294,5.525508450751318,8.333333333333332,5.64169333655275,5,2,"[1060, 1532]","[1060, 1532, 1621, 1622]"
Val,24,21,20.833333333333336,8.289816934939807,23.809523809523807,9.29428640903365,7,7,"[43, 200, 353, 464, 483]","[43, 200, 353, 464, 483]"
Train,35,27,14.285714285714285,5.914847651505893,14.814814814814813,6.836727459191831,7,5,"[678, 1150, 1706, 1711]","[678, 1150, 1239, 1706, 1711]"
Val,16,12,25.0,10.825317547305483,16.666666666666664,10.758287072798382,4,2,"[147, 453]","[75, 77, 147, 453]"
Train,37,31,24.324324324324326,7.053386532986596,29.03225806451613,8.15248586297644,12,12,"[54, 795, 1277, 1281, 1306, 1345, 1358, 1515, 1668]","[54, 795, 1277, 1281, 1306, 1345, 1358, 1515, 1668]"
Val,29,26,20.689655172413794,7.522159645153251,19.230769230769234,7.729201466043273,7,6,"[39, 53, 204, 239, 427]","[39, 53, 204, 239, 377, 427]"
Train,37,22,21.62162162162162,6.7677047900075795,22.727272727272727,8.934606739851096,12,8,"[246, 802, 807, 886, 1572]","[246, 335, 336, 802, 807, 886, 1401, 1572]"
Val,11,10,9.090909090909092,8.667841720414476,10.0,9.486832980505138,1,1,[341],[341]
Train,39,33,33.33333333333333,7.548513560963972,33.33333333333333,8.206099398622182,17,15,"[399, 403, 428, 480, 637, 790, 1079, 1385, 1510, 1882, 1883]","[399, 403, 428, 480, 637, 790, 1007, 1009, 1079, 1385, 1510, 1882, 1883]"
Val,7,7,0.0,13.226001425322165,0.0,13.226001425322165,0,0,[],[]
Train,39,35,23.076923076923077,6.7466001485156095,20.0,6.761234037828133,11,9,"[43, 353, 642, 948, 1073, 1650, 1874]","[43, 353, 570, 572, 642, 948, 1073, 1650, 1874]"
Val,12,11,8.333333333333332,7.9785592313028175,9.090909090909092,8.667841720414476,5,5,[115],[115]
Train,38,33,28.947368421052634,7.3570351286533695,24.242424242424242,7.460090362383802,12,9,"[147, 453, 578, 951, 1190, 1365, 1379, 1616]","[75, 77, 147, 453, 578, 951, 1190, 1365, 1379, 1425, 1616]"
Val,22,17,36.36363636363637,10.255928633050294,29.411764705882355,11.051016901502637,9,6,"[52, 273, 305, 320, 326]","[52, 166, 172, 257, 273, 305, 320, 326]"
Train,38,35,13.157894736842104,5.483610220174281,14.285714285714285,5.914847651505893,5,5,"[39, 53, 70, 239, 817]","[39, 53, 70, 239, 817]"
Val,15,15,13.333333333333334,8.777074514725111,13.333333333333334,8.777074514725111,2,2,"[15, 181]","[15, 181]"
Train,37,33,27.027027027027028,7.300948684714835,21.21212121212121,7.116472642790657,16,13,"[341, 641, 1027, 1280, 1729, 1734, 1792]","[341, 641, 1027, 1280, 1589, 1595, 1680, 1729, 1734, 1792]"
Val,13,12,23.076923076923077,11.685454235580767,25.0,12.5,5,5,"[190, 238, 383]","[190, 238, 383]"
Train,37,35,18.91891891891892,6.4388315181998586,14.285714285714285,5.914847651505893,11,9,"[169, 555, 1224, 1356, 1602]","[169, 555, 1117, 1123, 1224, 1356, 1602]"
Val,8,7,12.5,11.692679333668567,14.285714285714285,13.226001425322165,1,1,[299],[299]
Train,37,33,18.91891891891892,6.4388315181998586,18.181818181818183,6.714081326145421,13,12,"[115, 626, 784, 822, 1162, 1587]","[115, 626, 677, 784, 822, 1162, 1587]"
Val,11,10,27.27272727272727,13.428162652290842,30.0,14.491376746189438,3,3,"[157, 320, 410]","[157, 320, 410]"
Train,36,31,19.444444444444446,6.596206874432873,16.129032258064516,6.605856502852811,9,7,"[115, 311, 405, 571, 1076]","[115, 166, 172, 311, 405, 571, 1076]"
