split,anomalies,anomalies_sc,agg_value,agg_error,agg_value_sc,agg_error_sc,agg_total_eq,agg_total_eq_sc,seismic_indices_sc,seismic_indices
Val,41,27,7.317073170731707,4.067023113655494,7.4074074074074066,5.040102351405716,4,3,"[144, 241]","[144, 241, 324]"
Train,32,9,9.375,5.152697639950359,22.22222222222222,13.857990321384966,3,2,"[510, 627]","[132, 510, 627]"
Val,34,24,5.88235294117647,4.035260826882561,4.166666666666666,4.078937543219004,2,1,[388],"[65, 388]"
Train,31,16,9.67741935483871,5.310031559697429,18.75,9.757809372497498,3,3,"[90, 207, 1128]","[90, 207, 1128]"
Val,10,7,20.0,12.64911064067352,14.285714285714285,13.226001425322165,2,1,[225],"[225, 413]"
Train,32,18,6.25,4.2790824805091106,11.11111111111111,7.4074074074074066,2,2,"[0, 750]","[0, 750]"
Val,15,6,0.0,6.440611887195306,0.0,15.214515486254616,0,0,[],[]
Train,33,28,12.121212121212121,5.681435554915709,10.714285714285714,5.845122059892653,4,3,"[40, 1198, 1404]","[40, 791, 1198, 1404]"
Val,8,7,25.0,15.309310892394862,28.57142857142857,17.074694419062766,3,3,"[399, 428]","[399, 428]"
Train,34,27,11.76470588235294,5.525508450751318,7.4074074074074066,5.040102351405716,5,2,"[854, 1060]","[447, 854, 1060, 1621]"
Val,28,23,17.857142857142858,7.237888244444443,21.73913043478261,8.60061487037983,7,7,"[43, 200, 353, 421, 464]","[43, 200, 353, 421, 464]"
Train,35,26,17.142857142857142,6.370485882490342,15.384615384615385,7.07589393082923,8,5,"[472, 678, 1706, 1711]","[65, 472, 678, 1239, 1706, 1711]"
Val,11,10,27.27272727272727,13.428162652290842,20.0,12.64911064067352,3,2,"[147, 453]","[75, 147, 453]"
Train,37,30,29.72972972972973,7.514159864153768,30.0,8.366600265340756,17,14,"[419, 688, 1277, 1281, 1306, 1358, 1444, 1515, 1668]","[419, 688, 790, 1035, 1277, 1281, 1306, 1358, 1444, 1515, 1668]"
Val,28,26,14.285714285714285,6.613000712661083,15.384615384615385,7.07589393082923,5,5,"[39, 53, 204, 239]","[39, 53, 204, 239]"
Train,37,21,24.324324324324326,7.053386532986596,23.809523809523807,9.29428640903365,16,9,"[746, 802, 807, 886, 1781]","[335, 746, 802, 807, 886, 987, 1401, 1471, 1781]"
Val,10,10,10.0,9.486832980505138,10.0,9.486832980505138,1,1,[341],[341]
Train,39,34,30.76923076923077,7.390530175619406,29.411764705882355,7.814248990059665,16,14,"[399, 403, 428, 480, 790, 1079, 1385, 1510, 1882, 1883]","[399, 403, 428, 480, 790, 1007, 1009, 1079, 1385, 1510, 1882, 1883]"
Val,9,8,11.11111111111111,10.475656017578482,0.0,11.692679333668567,1,0,[],[363]
Train,39,35,28.205128205128204,7.205737677223015,25.71428571428571,7.387642348897154,14,12,"[43, 353, 642, 1073, 1650, 1685, 1833, 1860, 1874]","[43, 353, 570, 572, 642, 1073, 1650, 1685, 1833, 1860, 1874]"
Val,16,13,18.75,9.757809372497498,15.384615384615385,10.006825162892168,8,6,"[115, 154]","[115, 154, 271]"
Train,38,34,34.21052631578947,7.696021735073709,26.47058823529412,7.566114050404803,14,10,"[147, 453, 578, 1190, 1338, 1365, 1379, 1616, 1798]","[75, 77, 147, 453, 578, 1190, 1287, 1338, 1365, 1379, 1466, 1616, 1798]"
Val,24,19,25.0,8.838834764831844,21.052631578947366,9.352877017248828,8,6,"[52, 99, 273, 305]","[52, 99, 172, 257, 273, 305]"
Train,38,35,15.789473684210526,5.915278809989646,14.285714285714285,5.914847651505893,6,5,"[39, 53, 70, 239, 817]","[39, 53, 70, 239, 817, 1657]"
Val,11,11,9.090909090909092,8.667841720414476,9.090909090909092,8.667841720414476,1,1,[181],[181]
Train,37,31,24.324324324324326,7.053386532986596,19.35483870967742,7.095828146194513,13,10,"[341, 823, 1027, 1475, 1696, 1792]","[341, 491, 823, 1027, 1475, 1595, 1680, 1696, 1792]"
Val,7,6,14.285714285714285,13.226001425322165,16.666666666666664,15.214515486254616,1,1,[190],[190]
Train,37,32,10.81081081081081,5.104866387043433,9.375,5.152697639950359,9,8,"[555, 1003, 1066]","[19, 555, 1003, 1066]"
Val,13,9,7.6923076923076925,7.390530175619406,11.11111111111111,10.475656017578482,1,1,[333],[333]
Train,37,33,16.216216216216218,6.059738539651173,12.121212121212121,5.681435554915709,7,5,"[626, 1082, 1162, 1587]","[626, 677, 683, 1082, 1162, 1587]"
Val,13,12,7.6923076923076925,7.390530175619406,8.333333333333332,7.9785592313028175,1,1,[320],[320]
Train,36,28,19.444444444444446,6.596206874432873,17.857142857142858,7.237888244444443,9,7,"[52, 115, 311, 651, 1076]","[52, 115, 166, 172, 311, 651, 1076]"
