split,anomalies,anomalies_sc,agg_value,agg_error,agg_value_sc,agg_error_sc,agg_total_eq,agg_total_eq_sc,seismic_indices_sc,seismic_indices
Val,36,23,27.77777777777778,7.465053470646805,26.08695652173913,9.156053715170007,23,14,"[12, 46, 144, 184, 241, 326]","[12, 46, 144, 184, 241, 317, 320, 324, 326, 357]"
Train,32,7,34.375,8.396166117267452,28.57142857142857,17.074694419062766,18,3,"[348, 1477]","[4, 14, 39, 71, 73, 95, 132, 348, 632, 850, 1477]"
Val,33,24,30.303030303030305,8.000055652754638,33.33333333333333,9.622504486493764,29,26,"[62, 123, 137, 141, 315, 388, 411, 421]","[29, 62, 65, 123, 137, 141, 315, 388, 411, 421]"
Train,31,14,35.483870967741936,8.593474639776307,50.0,13.36306209562122,17,8,"[90, 151, 207, 373, 589, 768, 1146]","[90, 151, 207, 264, 373, 430, 589, 768, 819, 1146, 1454]"
Val,14,8,28.57142857142857,12.07363221040738,25.0,15.309310892394862,6,3,"[46, 391]","[46, 230, 391, 413]"
Train,32,17,34.375,8.396166117267452,52.94117647058824,12.105782480647683,14,11,"[0, 26, 390, 679, 717, 768, 1200, 1275, 1559]","[0, 26, 52, 390, 679, 717, 768, 1200, 1203, 1275, 1559]"
Val,23,7,17.391304347826086,7.903419644751181,28.57142857142857,17.074694419062766,6,3,"[57, 246]","[57, 246, 282, 324]"
Train,33,24,45.45454545454545,8.667841720414476,45.83333333333333,10.170707302692229,23,18,"[40, 267, 305, 350, 356, 390, 488, 788, 863, 1147, 1404]","[40, 84, 267, 305, 350, 356, 390, 488, 788, 791, 863, 1056, 1147, 1404, 1592]"
Val,14,10,42.857142857142854,13.226001425322162,40.0,15.491933384829668,10,8,"[55, 300, 399, 428]","[55, 85, 278, 300, 399, 428]"
Train,34,21,52.94117647058824,8.560080883635282,57.14285714285714,10.798984943120777,23,14,"[12, 46, 128, 519, 803, 1060, 1181, 1284, 1285, 1522, 1532, 1654]","[12, 46, 128, 447, 519, 803, 958, 1060, 1181, 1284, 1285, 1509, 1522, 1532, 1568, 1610, 1621, 1654]"
Val,30,25,36.666666666666664,8.798147953257402,32.0,9.32952303175248,18,13,"[43, 200, 238, 353, 386, 421, 426, 464]","[0, 43, 200, 238, 285, 295, 353, 386, 421, 426, 464]"
Train,35,22,57.14285714285714,8.364857768130285,59.09090909090909,10.482356110715555,33,22,"[137, 421, 492, 498, 678, 799, 903, 1150, 1563, 1650, 1704, 1706, 1711]","[65, 137, 419, 421, 492, 498, 576, 678, 799, 903, 1150, 1186, 1228, 1239, 1563, 1603, 1650, 1704, 1706, 1711]"
Val,20,14,45.0,11.124297730643494,35.714285714285715,12.806020814297073,27,7,"[23, 147, 166, 232, 461]","[23, 75, 77, 147, 166, 232, 345, 372, 461]"
Train,37,29,45.94594594594595,8.192885255111733,44.827586206896555,9.234952598786016,31,24,"[46, 379, 419, 678, 1178, 1225, 1277, 1281, 1306, 1358, 1515, 1668, 1741]","[46, 379, 419, 678, 687, 778, 883, 1178, 1225, 1277, 1281, 1306, 1315, 1358, 1515, 1668, 1741]"
Val,30,26,50.0,9.128709291752768,46.15384615384615,9.776752450803732,30,22,"[53, 150, 151, 204, 238, 239, 254, 278, 367, 392, 409, 458]","[53, 132, 150, 151, 204, 238, 239, 254, 278, 283, 367, 377, 392, 409, 458]"
Train,37,21,59.45945945945946,8.071502466945956,57.14285714285714,10.798984943120777,38,22,"[246, 368, 505, 659, 746, 800, 802, 807, 829, 886, 1500, 1572]","[223, 246, 282, 324, 335, 336, 368, 424, 505, 659, 746, 800, 802, 807, 829, 886, 987, 1255, 1401, 1434, 1500, 1572]"
Val,12,10,33.33333333333333,13.608276348795433,30.0,14.491376746189438,7,6,"[175, 242, 341]","[175, 242, 341, 442]"
Train,39,33,58.97435897435898,7.876386131162097,51.515151515151516,8.699885606851797,43,31,"[300, 399, 403, 427, 428, 480, 500, 637, 675, 790, 863, 1583, 1677, 1829, 1882, 1883, 1888]","[300, 355, 399, 403, 427, 428, 437, 480, 500, 637, 675, 790, 863, 1007, 1009, 1304, 1583, 1677, 1715, 1829, 1882, 1883, 1888]"
Val,11,9,54.54545454545454,15.0131422517231,44.44444444444444,16.56346649999844,10,6,"[142, 278, 382, 431]","[20, 142, 278, 363, 382, 431]"
Train,39,32,56.41025641025641,7.94033618863734,53.125,8.821554523934543,39,27,"[43, 200, 238, 353, 642, 956, 1037, 1073, 1146, 1240, 1372, 1445, 1650, 1651, 1685, 1799, 1874]","[0, 43, 200, 238, 353, 570, 572, 642, 956, 1037, 1073, 1146, 1240, 1372, 1445, 1491, 1650, 1651, 1685, 1782, 1799, 1874]"
Val,20,17,55.00000000000001,11.124297730643494,52.94117647058824,12.105782480647683,19,16,"[115, 154, 214, 231, 338, 368, 401, 426, 461]","[115, 154, 214, 231, 271, 338, 357, 368, 401, 426, 461]"
Train,38,29,52.63157894736842,8.099829095409111,41.37931034482759,9.145723911072253,33,19,"[6, 461, 542, 578, 651, 745, 1190, 1304, 1379, 1614, 1617, 1714]","[6, 75, 77, 372, 461, 542, 578, 651, 745, 783, 996, 1000, 1190, 1287, 1304, 1379, 1466, 1614, 1617, 1714]"
Val,20,17,50.0,11.180339887498949,47.05882352941176,12.105782480647683,20,18,"[5, 29, 52, 67, 110, 273, 305, 364]","[5, 29, 52, 67, 110, 172, 257, 273, 305, 364]"
Train,38,33,52.63157894736842,8.099829095409111,48.484848484848484,8.699885606851797,37,29,"[53, 70, 150, 151, 238, 239, 254, 651, 718, 817, 1090, 1226, 1330, 1379, 1540, 1792]","[53, 70, 150, 151, 238, 239, 254, 283, 651, 718, 817, 968, 1090, 1226, 1330, 1379, 1540, 1657, 1749, 1792]"
Val,17,17,23.52941176470588,10.287936849355367,23.52941176470588,10.287936849355367,5,5,"[15, 28, 181, 218]","[15, 28, 181, 218]"
Train,37,32,54.054054054054056,8.192885255111733,50.0,8.838834764831844,33,29,"[242, 341, 365, 639, 641, 739, 823, 1027, 1126, 1338, 1373, 1428, 1475, 1533, 1538, 1696]","[242, 341, 365, 491, 639, 641, 739, 823, 1027, 1126, 1269, 1338, 1373, 1428, 1475, 1533, 1538, 1595, 1680, 1696]"
Val,9,8,66.66666666666666,15.713484026367725,62.5,17.116329922036442,11,10,"[76, 190, 238, 309, 403]","[33, 76, 190, 238, 309, 403]"
Train,37,32,54.054054054054056,8.192885255111733,53.125,8.821554523934543,33,30,"[152, 167, 169, 267, 555, 669, 866, 901, 956, 1003, 1018, 1061, 1066, 1224, 1356, 1522, 1685]","[152, 167, 169, 267, 555, 669, 797, 866, 901, 956, 1003, 1018, 1061, 1066, 1123, 1208, 1224, 1356, 1522, 1685]"
Val,12,8,16.666666666666664,10.758287072798382,25.0,15.309310892394862,29,29,"[100, 452]","[100, 452]"
Train,37,33,48.64864864864865,8.216946643938353,42.42424242424242,8.603395906609155,30,26,"[115, 229, 426, 461, 516, 578, 621, 626, 811, 916, 1082, 1587, 1640, 1706]","[115, 229, 426, 461, 516, 578, 621, 626, 677, 683, 768, 811, 916, 1082, 1430, 1587, 1640, 1706]"
Val,10,9,30.0,14.491376746189438,33.33333333333333,15.713484026367725,3,3,"[92, 197, 320]","[92, 197, 320]"
Train,36,30,63.888888888888886,8.005377993421567,60.0,8.94427190999916,70,65,"[5, 29, 52, 110, 115, 220, 300, 405, 418, 436, 534, 571, 1076, 1124, 1129, 1195, 1650, 1765]","[5, 29, 47, 52, 110, 115, 172, 220, 257, 300, 405, 418, 436, 534, 571, 919, 1076, 1124, 1129, 1195, 1435, 1650, 1765]"
