split,anomalies,anomalies_sc,agg_value,agg_error,agg_value_sc,agg_error_sc,agg_total_eq,agg_total_eq_sc,seismic_indices_sc,seismic_indices
Val,29,19,24.137931034482758,7.946270842617656,21.052631578947366,9.352877017248828,15,7,"[12, 128, 184, 326]","[12, 128, 184, 317, 320, 324, 326]"
Train,32,7,40.625,8.682074519880027,42.857142857142854,18.704390591656487,20,4,"[348, 627, 1188]","[4, 14, 39, 71, 73, 95, 132, 348, 627, 632, 684, 850, 1188]"
Val,24,11,25.0,8.838834764831844,27.27272727272727,13.428162652290842,12,5,"[286, 411, 421]","[24, 65, 180, 286, 411, 421]"
Train,31,13,19.35483870967742,7.095828146194513,23.076923076923077,11.685454235580767,8,3,"[151, 1146, 1488]","[151, 201, 429, 430, 1146, 1488]"
Val,11,6,9.090909090909092,8.667841720414476,0.0,15.214515486254616,2,0,[],[413]
Train,32,15,18.75,6.899813176818631,13.333333333333334,8.777074514725111,7,2,"[768, 1200]","[52, 307, 768, 1200, 1203, 1557]"
Val,15,5,33.33333333333333,12.171612389003691,40.0,21.908902300206645,7,3,"[246, 368]","[246, 282, 324, 368, 372]"
Train,33,17,36.36363636363637,8.373930663124332,41.17647058823529,11.936462498726879,21,8,"[267, 305, 356, 698, 788, 1147, 1404]","[29, 85, 267, 305, 356, 664, 698, 788, 906, 1147, 1404, 1592]"
Val,8,7,37.5,17.116329922036442,42.857142857142854,18.704390591656487,3,3,"[27, 300, 347]","[27, 300, 347]"
Train,34,13,32.35294117647059,8.023094083513456,38.46153846153847,13.493200297031219,18,6,"[354, 803, 1285, 1532, 1654]","[354, 406, 447, 562, 803, 1248, 1285, 1532, 1568, 1610, 1654]"
Val,22,20,50.0,10.660035817780521,45.0,11.124297730643494,19,16,"[43, 129, 200, 254, 309, 346, 353, 396, 426]","[0, 43, 129, 200, 254, 295, 309, 346, 353, 396, 426]"
Train,35,19,40.0,8.28078671210825,42.10526315789473,11.32689656524148,23,12,"[137, 421, 678, 903, 1150, 1272, 1563, 1711]","[137, 180, 330, 421, 678, 866, 903, 1150, 1186, 1228, 1272, 1276, 1563, 1711]"
Val,9,6,55.55555555555556,16.56346649999844,50.0,20.41241452319315,9,6,"[97, 147, 461]","[75, 97, 147, 372, 461]"
