split,anomalies,anomalies_sc,agg_value,agg_error,agg_value_sc,agg_error_sc,agg_total_eq,agg_total_eq_sc,seismic_indices_sc,seismic_indices
Val,33,21,30.303030303030305,8.000055652754638,28.57142857142857,9.858079419176489,23,16,"[12, 144, 184, 241, 314, 326]","[12, 144, 184, 241, 314, 317, 320, 324, 326, 357]"
Train,32,7,43.75,8.769509500251425,57.14285714285714,18.704390591656487,21,6,"[348, 510, 627, 1477]","[4, 14, 39, 71, 73, 87, 95, 132, 348, 510, 627, 632, 684, 1477]"
Val,33,23,24.242424242424242,7.460090362383802,30.434782608695656,9.594387554215139,28,24,"[62, 123, 141, 315, 388, 411, 421]","[62, 123, 141, 180, 315, 388, 411, 421]"
Train,31,13,29.03225806451613,8.15248586297644,38.46153846153847,13.493200297031219,18,6,"[90, 151, 207, 373, 1146]","[90, 151, 207, 212, 264, 373, 430, 1146, 1454]"
Val,9,5,11.11111111111111,10.475656017578482,0.0,17.888543819998322,2,0,[],[413]
Train,32,17,21.875,7.307924583542855,23.52941176470588,10.287936849355367,9,5,"[0, 768, 1275, 1559]","[0, 52, 307, 768, 1203, 1275, 1559]"
Val,20,8,30.0,10.246950765959598,37.5,17.116329922036442,8,4,"[57, 246, 368]","[57, 246, 282, 324, 368, 372]"
Train,33,20,36.36363636363637,8.373930663124332,40.0,10.954451150103322,21,9,"[305, 356, 616, 698, 788, 863, 1147, 1404]","[85, 305, 356, 616, 664, 698, 788, 863, 906, 1147, 1404, 1592]"
Val,9,5,55.55555555555556,16.56346649999844,60.0,21.908902300206645,9,7,"[300, 399, 428]","[85, 278, 300, 399, 428]"
Train,34,21,29.411764705882355,7.814248990059665,28.57142857142857,9.858079419176489,12,7,"[12, 519, 803, 1060, 1278, 1285]","[12, 447, 519, 801, 803, 958, 1060, 1278, 1285, 1610]"
Val,27,23,40.74074074074074,9.456070200062598,39.130434782608695,10.176384751376007,16,13,"[43, 200, 238, 325, 353, 386, 396, 426, 464]","[0, 43, 200, 238, 295, 325, 353, 386, 396, 426, 464]"
Train,35,23,40.0,8.28078671210825,47.82608695652174,10.41586186310466,23,19,"[137, 144, 421, 678, 903, 1150, 1272, 1563, 1704, 1706, 1711]","[65, 137, 144, 421, 576, 678, 903, 1150, 1228, 1272, 1563, 1704, 1706, 1711]"
Val,13,10,46.15384615384615,13.826415911891033,40.0,15.491933384829668,9,6,"[97, 147, 329, 376]","[75, 97, 147, 329, 372, 376]"
Train,37,30,43.24324324324324,8.144549227036583,43.333333333333336,9.047201327032125,28,24,"[46, 710, 830, 1178, 1277, 1281, 1287, 1306, 1358, 1515, 1668, 1701, 1741]","[46, 710, 778, 830, 1178, 1277, 1281, 1287, 1306, 1315, 1358, 1515, 1610, 1668, 1701, 1741]"
Val,26,24,50.0,9.805806756909202,50.0,10.206207261596575,21,20,"[39, 53, 150, 151, 204, 238, 239, 254, 278, 312, 367, 409]","[39, 53, 150, 151, 204, 238, 239, 254, 278, 312, 367, 377, 409]"
Train,37,20,37.83783783783784,7.973065827541162,35.0,10.66536450385077,30,17,"[246, 659, 802, 807, 886, 930, 1478]","[246, 282, 324, 335, 659, 802, 807, 886, 930, 987, 1401, 1434, 1471, 1478]"
Val,10,9,30.0,14.491376746189438,33.33333333333333,15.713484026367725,5,5,"[242, 341, 374]","[242, 341, 374]"
Train,39,32,53.84615384615385,7.9826849486580125,50.0,8.838834764831844,38,30,"[27, 300, 399, 403, 409, 480, 530, 675, 691, 790, 863, 1013, 1079, 1583, 1677, 1883]","[27, 278, 300, 399, 403, 409, 437, 480, 530, 554, 675, 691, 790, 863, 1007, 1013, 1079, 1304, 1583, 1677, 1883]"
Val,9,8,44.44444444444444,16.56346649999844,37.5,17.116329922036442,4,3,"[180, 382, 431]","[180, 363, 382, 431]"
Train,39,34,46.15384615384615,7.9826849486580125,41.17647058823529,8.440353576228697,27,21,"[43, 238, 353, 426, 642, 846, 1146, 1240, 1651, 1685, 1799, 1833, 1847, 1874]","[0, 43, 238, 353, 426, 570, 642, 846, 867, 1146, 1240, 1268, 1651, 1685, 1799, 1833, 1847, 1874]"
Val,13,11,38.46153846153847,13.493200297031219,36.36363636363637,14.504073367590284,10,9,"[115, 240, 426, 461]","[115, 240, 357, 426, 461]"
Train,38,32,42.10526315789473,8.009325371080864,37.5,8.558164961018221,23,18,"[147, 453, 578, 651, 745, 1156, 1190, 1304, 1352, 1379, 1614, 1714]","[73, 75, 147, 170, 453, 578, 651, 745, 997, 1156, 1190, 1304, 1352, 1379, 1614, 1714]"
Val,25,20,52.0,9.991996797437437,45.0,11.124297730643494,22,18,"[5, 29, 52, 67, 110, 115, 226, 273, 364]","[5, 29, 47, 52, 67, 110, 115, 166, 172, 226, 257, 273, 364]"
Train,38,29,47.368421052631575,8.099829095409113,51.724137931034484,9.279245191499012,33,27,"[70, 150, 151, 238, 239, 254, 651, 718, 817, 841, 1090, 1128, 1226, 1379, 1576]","[70, 150, 151, 238, 239, 254, 651, 718, 817, 841, 968, 1003, 1090, 1128, 1226, 1379, 1576, 1803]"
Val,19,18,21.052631578947366,9.352877017248828,22.22222222222222,9.799078929868854,6,6,"[28, 144, 218, 261]","[28, 144, 218, 261]"
Train,37,26,56.75675675675676,8.144549227036583,57.692307692307686,9.689066801072672,35,29,"[175, 242, 341, 365, 374, 641, 739, 823, 1027, 1338, 1373, 1428, 1452, 1538, 1734]","[175, 198, 242, 341, 365, 374, 641, 739, 823, 1027, 1269, 1338, 1373, 1428, 1452, 1470, 1538, 1589, 1595, 1680, 1734]"
Val,4,3,50.0,25.0,66.66666666666666,27.216552697590867,5,5,"[190, 309]","[190, 309]"
Train,37,30,43.24324324324324,8.144549227036583,43.333333333333336,9.047201327032125,25,22,"[169, 267, 555, 669, 866, 901, 956, 1066, 1218, 1224, 1356, 1369, 1485]","[169, 267, 555, 669, 797, 866, 901, 956, 1066, 1123, 1208, 1218, 1224, 1356, 1369, 1485]"
Val,10,8,20.0,12.64911064067352,25.0,15.309310892394862,30,30,"[333, 452]","[333, 452]"
Train,37,30,43.24324324324324,8.144549227036583,43.333333333333336,9.047201327032125,26,23,"[229, 426, 461, 516, 626, 778, 822, 839, 916, 929, 1162, 1587, 1706]","[229, 357, 426, 461, 516, 558, 626, 677, 778, 822, 839, 916, 929, 1162, 1587, 1706]"
Val,11,11,36.36363636363637,14.504073367590284,36.36363636363637,14.504073367590284,5,5,"[197, 320, 321, 410]","[197, 320, 321, 410]"
Train,36,33,58.333333333333336,8.216777476527245,57.57575757575758,8.603395906609155,62,60,"[5, 67, 115, 123, 226, 267, 283, 300, 306, 311, 405, 608, 784, 790, 1076, 1129, 1195, 1730, 1765]","[5, 67, 115, 123, 172, 226, 267, 283, 300, 306, 311, 405, 608, 784, 790, 1076, 1129, 1195, 1435, 1730, 1765]"
