split,anomalies,anomalies_sc,agg_value,agg_error,agg_value_sc,agg_error_sc,agg_total_eq,agg_total_eq_sc,seismic_indices_sc,seismic_indices
Val,36,24,30.555555555555557,7.677372199896759,25.0,8.838834764831844,24,14,"[12, 46, 144, 184, 241, 326]","[12, 46, 144, 184, 241, 317, 320, 324, 325, 326, 357]"
Train,32,10,37.5,8.558164961018221,40.0,15.491933384829668,16,6,"[348, 571, 627, 1477]","[4, 14, 39, 71, 73, 95, 132, 348, 571, 627, 684, 1477]"
Val,37,25,29.72972972972973,7.514159864153768,32.0,9.32952303175248,32,26,"[62, 123, 137, 141, 315, 388, 411, 421]","[47, 62, 65, 123, 137, 141, 180, 315, 388, 411, 421]"
Train,31,15,35.483870967741936,8.593474639776307,46.666666666666664,12.881223774390612,18,9,"[90, 151, 207, 373, 378, 1057, 1146]","[90, 151, 207, 264, 373, 378, 430, 685, 1057, 1146, 1454]"
Val,9,4,22.22222222222222,13.857990321384966,25.0,21.650635094610966,3,1,[337],"[337, 413]"
Train,32,15,21.875,7.307924583542855,26.666666666666668,11.417984514369003,12,5,"[0, 768, 1275, 1559]","[0, 52, 768, 1203, 1275, 1318, 1559]"
Val,16,8,25.0,10.825317547305483,25.0,15.309310892394862,6,3,"[57, 393]","[57, 282, 324, 393]"
Train,33,23,30.303030303030305,8.000055652754638,26.08695652173913,9.156053715170007,16,8,"[267, 338, 356, 863, 1147, 1404]","[267, 277, 338, 356, 791, 863, 906, 1147, 1302, 1404]"
Val,7,5,57.14285714285714,18.704390591656487,60.0,21.908902300206645,8,7,"[300, 399, 428]","[85, 300, 399, 428]"
Train,34,24,35.294117647058826,8.195653482579246,33.33333333333333,9.622504486493764,15,10,"[12, 444, 519, 803, 1060, 1278, 1285, 1532]","[12, 444, 447, 519, 801, 803, 958, 1060, 1278, 1285, 1532, 1610]"
Val,30,24,40.0,8.94427190999916,41.66666666666667,10.063456073742664,17,14,"[43, 200, 205, 238, 325, 353, 396, 426, 464, 483]","[0, 43, 200, 205, 238, 295, 325, 353, 396, 426, 464, 483]"
Train,35,27,45.714285714285715,8.42043882986294,51.85185185185185,9.615902424319279,28,25,"[137, 144, 421, 678, 892, 903, 1140, 1150, 1563, 1648, 1704, 1706, 1711, 1717]","[137, 144, 421, 678, 892, 903, 1140, 1150, 1228, 1239, 1563, 1648, 1704, 1706, 1711, 1717]"
Val,12,9,50.0,14.433756729740644,33.33333333333333,15.713484026367725,14,6,"[97, 147, 456]","[75, 77, 97, 147, 372, 456]"
Train,37,31,35.13513513513514,7.848284013769638,35.483870967741936,8.593474639776307,24,21,"[830, 990, 1178, 1277, 1281, 1306, 1358, 1444, 1515, 1668, 1741]","[778, 830, 990, 1178, 1277, 1281, 1306, 1315, 1358, 1444, 1515, 1668, 1741]"
Val,28,27,50.0,9.44911182523068,48.148148148148145,9.615902424319279,24,22,"[39, 53, 150, 151, 204, 238, 239, 254, 278, 312, 367, 409, 458]","[39, 53, 150, 151, 204, 238, 239, 254, 278, 283, 312, 367, 409, 458]"
Train,37,22,51.35135135135135,8.216946643938353,45.45454545454545,10.615894693111677,36,21,"[246, 659, 746, 802, 807, 886, 1202, 1477, 1478, 1572]","[246, 282, 324, 335, 659, 746, 802, 807, 886, 985, 987, 1132, 1202, 1255, 1401, 1477, 1478, 1572, 1788]"
Val,15,13,33.33333333333333,12.171612389003691,38.46153846153847,13.493200297031219,9,9,"[16, 175, 242, 341, 365]","[16, 175, 242, 341, 365]"
Train,39,32,46.15384615384615,7.9826849486580125,43.75,8.769509500251425,34,24,"[300, 399, 403, 428, 480, 637, 675, 790, 1079, 1472, 1583, 1677, 1882, 1888]","[300, 399, 403, 428, 437, 480, 637, 675, 790, 1007, 1009, 1079, 1102, 1472, 1583, 1677, 1882, 1888]"
Val,8,8,50.0,17.67766952966369,50.0,17.67766952966369,6,6,"[142, 278, 382, 431]","[142, 278, 382, 431]"
Train,39,34,46.15384615384615,7.9826849486580125,41.17647058823529,8.440353576228697,35,25,"[43, 238, 353, 426, 642, 956, 1035, 1073, 1146, 1240, 1650, 1685, 1799, 1874]","[0, 43, 238, 353, 426, 570, 572, 642, 956, 1035, 1073, 1146, 1240, 1495, 1650, 1685, 1799, 1874]"
Val,14,12,50.0,13.36306209562122,50.0,14.433756729740644,13,12,"[115, 154, 240, 401, 426, 461]","[115, 154, 240, 357, 401, 426, 461]"
Train,38,34,47.368421052631575,8.099829095409113,44.11764705882353,8.515380416833713,34,26,"[147, 540, 578, 651, 745, 897, 951, 1156, 1190, 1304, 1365, 1379, 1616, 1704, 1714]","[75, 77, 147, 540, 578, 651, 745, 897, 951, 1156, 1190, 1304, 1365, 1379, 1466, 1616, 1704, 1714]"
Val,21,17,47.61904761904761,10.898516862311034,41.17647058823529,11.936462498726879,15,12,"[5, 52, 67, 99, 110, 115, 364]","[5, 47, 52, 67, 99, 110, 115, 172, 257, 364]"
Train,38,33,60.526315789473685,7.929287277821243,60.60606060606061,8.505811700208934,39,34,"[53, 70, 150, 151, 238, 239, 254, 286, 590, 651, 718, 817, 841, 1077, 1090, 1226, 1379, 1619, 1792, 1810]","[53, 70, 150, 151, 238, 239, 254, 283, 286, 590, 651, 674, 718, 817, 841, 1077, 1090, 1226, 1379, 1619, 1657, 1792, 1810]"
Val,8,8,25.0,15.309310892394862,25.0,15.309310892394862,3,3,"[15, 261]","[15, 261]"
Train,37,27,43.24324324324324,8.144549227036583,40.74074074074074,9.456070200062598,20,14,"[175, 341, 365, 374, 641, 739, 1338, 1373, 1428, 1538, 1690]","[175, 341, 365, 374, 491, 641, 739, 1133, 1269, 1338, 1373, 1428, 1470, 1538, 1680, 1690]"
Val,8,6,62.5,17.116329922036442,66.66666666666666,19.245008972987527,10,9,"[76, 190, 238, 309]","[33, 76, 190, 238, 309]"
Train,37,31,45.94594594594595,8.192885255111733,48.38709677419355,8.975591530841967,26,24,"[152, 167, 169, 257, 267, 351, 866, 901, 956, 980, 1018, 1061, 1066, 1312, 1369]","[152, 167, 169, 257, 267, 351, 797, 866, 901, 956, 980, 998, 1018, 1061, 1066, 1312, 1369]"
Val,13,9,30.76923076923077,12.800773759043748,33.33333333333333,15.713484026367725,33,32,"[299, 333, 452]","[122, 299, 333, 452]"
Train,37,28,56.75675675675676,8.144549227036583,60.71428571428571,9.229618630166094,36,32,"[76, 229, 426, 461, 516, 540, 578, 621, 626, 822, 916, 929, 1162, 1473, 1587, 1706, 1749]","[76, 229, 357, 426, 461, 516, 540, 578, 621, 626, 677, 768, 822, 916, 929, 1162, 1430, 1473, 1587, 1706, 1749]"
Val,14,14,50.0,13.36306209562122,50.0,13.36306209562122,8,8,"[19, 111, 197, 291, 320, 388, 476]","[19, 111, 197, 291, 320, 388, 476]"
Train,36,31,52.77777777777778,8.320463312783069,51.61290322580645,8.975591530841967,61,58,"[5, 67, 110, 115, 267, 311, 405, 418, 640, 959, 1076, 1195, 1289, 1650, 1730, 1765]","[5, 47, 67, 110, 115, 166, 267, 311, 405, 418, 640, 959, 1076, 1195, 1289, 1435, 1650, 1730, 1765]"
