split,anomalies,anomalies_sc,agg_value,agg_error,agg_value_sc,agg_error_sc,agg_total_eq,agg_total_eq_sc,seismic_indices_sc,seismic_indices
Val,36,23,27.77777777777778,7.465053470646805,26.08695652173913,9.156053715170007,23,14,"[12, 46, 144, 184, 241, 326]","[12, 46, 144, 184, 241, 317, 320, 324, 326, 357]"
Train,32,7,34.375,8.396166117267452,28.57142857142857,17.074694419062766,18,3,"[348, 1477]","[4, 14, 39, 71, 73, 95, 132, 348, 632, 850, 1477]"
Val,40,28,32.5,7.405656621799313,32.142857142857146,8.82594076122765,35,28,"[62, 123, 137, 141, 144, 315, 388, 411, 421]","[47, 62, 65, 123, 137, 141, 144, 180, 315, 330, 388, 411, 421]"
Train,31,17,45.16129032258064,8.938114993337111,58.82352941176471,11.936462498726879,28,13,"[90, 151, 207, 373, 378, 768, 1057, 1075, 1146, 1440]","[83, 90, 151, 207, 212, 373, 378, 430, 768, 1057, 1075, 1146, 1440, 1454]"
Val,10,7,30.0,14.491376746189438,28.57142857142857,17.074694419062766,4,2,"[46, 54]","[46, 54, 413]"
Train,32,17,18.75,6.899813176818631,23.52941176470588,10.287936849355367,9,6,"[679, 768, 1275, 1559]","[52, 679, 768, 1185, 1275, 1559]"
Val,16,8,25.0,10.825317547305483,25.0,15.309310892394862,6,3,"[57, 246]","[57, 246, 282, 324]"
Train,33,23,33.33333333333333,8.206099398622182,30.434782608695656,9.594387554215139,14,9,"[267, 338, 356, 788, 863, 1147, 1404]","[267, 277, 338, 356, 773, 788, 791, 863, 1147, 1302, 1404]"
Val,15,11,33.33333333333333,12.171612389003691,45.45454545454545,15.0131422517231,9,9,"[55, 235, 300, 399, 428]","[55, 235, 300, 399, 428]"
Train,34,25,38.23529411764706,8.334181380283407,36.0,9.6,20,14,"[12, 505, 519, 803, 854, 880, 968, 1060, 1285]","[12, 447, 505, 519, 743, 803, 854, 880, 958, 968, 1060, 1285, 1610]"
Val,28,25,39.285714285714285,9.229618630166096,40.0,9.797958971132712,16,14,"[43, 200, 205, 238, 325, 353, 386, 396, 426, 464]","[0, 43, 200, 205, 238, 325, 353, 386, 396, 426, 464]"
Train,35,23,48.57142857142857,8.44809223379282,47.82608695652174,10.41586186310466,28,18,"[108, 137, 144, 421, 678, 892, 903, 1563, 1699, 1706, 1711]","[65, 108, 137, 144, 421, 576, 678, 892, 903, 1186, 1228, 1239, 1563, 1603, 1699, 1706, 1711]"
Val,15,11,40.0,12.649110640673516,27.27272727272727,13.428162652290842,13,5,"[97, 147, 329]","[75, 77, 97, 147, 329, 372]"
Train,37,28,40.54054054054054,8.071502466945956,39.285714285714285,9.229618630166096,25,20,"[46, 710, 1178, 1277, 1281, 1306, 1358, 1515, 1668, 1701, 1741]","[46, 687, 710, 778, 1178, 1277, 1281, 1306, 1315, 1358, 1515, 1610, 1668, 1701, 1741]"
Val,34,31,52.94117647058824,8.560080883635282,51.61290322580645,8.975591530841967,30,27,"[39, 53, 150, 151, 204, 238, 239, 254, 278, 312, 357, 367, 409, 427, 458, 465]","[39, 53, 150, 151, 204, 238, 239, 254, 278, 283, 312, 357, 367, 377, 409, 427, 458, 465]"
Train,37,19,48.64864864864865,8.216946643938353,52.63157894736842,11.454888159631764,36,21,"[236, 246, 659, 800, 802, 807, 813, 886, 930, 1478]","[236, 246, 282, 324, 335, 336, 659, 800, 802, 807, 813, 886, 930, 987, 1132, 1401, 1478, 1788]"
Val,14,12,35.714285714285715,12.806020814297073,41.66666666666667,14.231876063832773,9,9,"[16, 175, 242, 341, 365]","[16, 175, 242, 341, 365]"
Train,39,33,58.97435897435898,7.876386131162097,54.54545454545454,8.667841720414476,45,34,"[300, 399, 403, 409, 428, 480, 675, 790, 863, 1079, 1472, 1510, 1583, 1677, 1882, 1883, 1888, 1893]","[278, 300, 399, 403, 409, 428, 437, 480, 675, 790, 863, 1007, 1009, 1079, 1102, 1472, 1510, 1583, 1677, 1882, 1883, 1888, 1893]"
Val,14,14,42.857142857142854,13.226001425322162,42.857142857142854,13.226001425322162,9,9,"[142, 162, 278, 372, 382, 431]","[142, 162, 278, 372, 382, 431]"
Train,39,33,56.41025641025641,7.94033618863734,54.54545454545454,8.667841720414476,41,31,"[43, 200, 238, 309, 353, 642, 1035, 1073, 1146, 1240, 1451, 1685, 1799, 1833, 1847, 1860, 1874, 1875]","[0, 43, 200, 238, 309, 353, 570, 572, 642, 867, 1035, 1073, 1146, 1240, 1451, 1685, 1799, 1833, 1847, 1860, 1874, 1875]"
Val,17,13,52.94117647058824,12.105782480647683,46.15384615384615,13.826415911891033,17,13,"[115, 154, 239, 240, 426, 461]","[57, 115, 154, 239, 240, 271, 357, 426, 461]"
Train,38,31,55.26315789473685,8.066009201997748,48.38709677419355,8.975591530841967,36,24,"[578, 651, 745, 897, 1109, 1156, 1190, 1338, 1365, 1379, 1393, 1614, 1616, 1704, 1714]","[75, 77, 372, 578, 651, 745, 783, 897, 1109, 1156, 1190, 1287, 1338, 1365, 1379, 1393, 1466, 1614, 1616, 1704, 1714]"
Val,19,13,57.89473684210527,11.32689656524148,61.53846153846154,13.493200297031219,18,15,"[5, 29, 52, 67, 115, 226, 273, 364]","[5, 29, 47, 52, 67, 115, 172, 226, 257, 273, 364]"
Train,38,31,55.26315789473685,8.066009201997748,54.83870967741935,8.938114993337113,37,30,"[53, 70, 150, 151, 238, 239, 254, 278, 718, 817, 841, 871, 877, 1090, 1226, 1379, 1540]","[53, 70, 150, 151, 238, 239, 254, 278, 283, 718, 817, 841, 871, 877, 968, 1090, 1226, 1379, 1540, 1657, 1749]"
Val,12,11,8.333333333333332,7.9785592313028175,9.090909090909092,8.667841720414476,2,2,[261],[261]
Train,37,30,59.45945945945946,8.071502466945956,53.333333333333336,9.108400680852977,39,33,"[114, 175, 242, 341, 639, 641, 739, 1027, 1141, 1338, 1373, 1428, 1452, 1533, 1696, 1734]","[114, 175, 242, 341, 491, 639, 641, 739, 1027, 1141, 1269, 1338, 1373, 1428, 1452, 1470, 1533, 1589, 1595, 1680, 1696, 1734]"
Val,8,6,62.5,17.116329922036442,66.66666666666666,19.245008972987527,8,7,"[76, 190, 309, 403]","[33, 76, 190, 309, 403]"
Train,37,30,48.64864864864865,8.216946643938353,50.0,9.128709291752768,33,30,"[152, 167, 169, 267, 555, 780, 866, 901, 956, 980, 1061, 1066, 1262, 1356, 1559]","[152, 167, 169, 267, 555, 780, 797, 866, 901, 956, 980, 1061, 1066, 1123, 1208, 1262, 1356, 1559]"
Val,13,9,38.46153846153847,13.493200297031219,44.44444444444444,16.56346649999844,35,34,"[113, 333, 351, 452]","[113, 122, 333, 351, 452]"
Train,37,25,59.45945945945946,8.071502466945956,60.0,9.797958971132712,35,28,"[229, 426, 461, 516, 540, 578, 621, 626, 822, 916, 1151, 1473, 1480, 1587, 1706]","[229, 357, 426, 461, 516, 540, 558, 578, 621, 622, 626, 764, 768, 822, 916, 1151, 1430, 1473, 1480, 1587, 1706, 1817]"
Val,11,11,45.45454545454545,15.0131422517231,45.45454545454545,15.0131422517231,13,13,"[105, 197, 291, 320, 345]","[105, 197, 291, 320, 345]"
Train,36,30,41.66666666666667,8.216777476527245,46.666666666666664,9.108400680852977,56,55,"[5, 67, 110, 115, 267, 311, 405, 418, 651, 1076, 1195, 1650, 1730, 1765]","[5, 67, 110, 115, 267, 311, 405, 418, 651, 919, 1076, 1195, 1650, 1730, 1765]"
