split,anomalies,anomalies_sc,agg_value,agg_error,agg_value_sc,agg_error_sc,agg_total_eq,agg_total_eq_sc
Val,29,23,37.93103448275862,9.010224214255711,39.130434782608695,10.176384751376007,22,16
Train,32,8,56.25,8.769509500251425,87.5,11.692679333668567,43,20
Val,32,24,56.25,8.769509500251425,54.166666666666664,10.170707302692229,51,45
Train,31,13,38.70967741935484,8.74832447741257,69.23076923076923,12.800773759043748,19,12
Val,15,11,33.33333333333333,12.171612389003691,27.27272727272727,13.428162652290842,9,6
Train,32,17,46.875,8.821554523934543,64.70588235294117,11.59040430757386,23,17
Val,15,6,40.0,12.649110640673516,33.33333333333333,19.245008972987527,12,5
Train,33,23,69.6969696969697,8.000055652754638,73.91304347826086,9.156053715170009,49,35
Val,8,5,87.5,11.692679333668567,80.0,17.888543819998315,16,12
Train,34,20,67.64705882352942,8.023094083513454,70.0,10.2469507659596,47,33
Val,23,20,65.21739130434783,9.931134621220187,65.0,10.66536450385077,60,26
Train,35,25,80.0,6.761234037828132,80.0,8.0,63,52
Val,10,8,80.0,12.649110640673516,75.0,15.309310892394862,19,15
Train,37,30,64.86486486486487,7.848284013769638,63.33333333333333,8.798147953257402,71,39
Val,28,25,67.85714285714286,8.825940761227649,64.0,9.6,46,40
Train,37,25,51.35135135135135,8.216946643938353,48.0,9.991996797437437,49,35
Val,11,9,63.63636363636363,14.504073367590284,77.77777777777779,13.857990321384966,8,8
Train,39,35,74.35897435897436,6.992010767203376,74.28571428571429,7.387642348897154,95,64
Val,8,7,62.5,17.116329922036442,57.14285714285714,18.704390591656487,14,13
Train,39,36,64.1025641025641,7.681342173272795,63.888888888888886,8.005377993421567,85,55
Val,12,11,75.0,12.5,72.72727272727273,13.428162652290842,24,21
Train,38,32,63.1578947368421,7.8251783334213485,59.375,8.682074519880027,68,52
Val,18,15,66.66666666666666,11.111111111111112,60.0,12.649110640673516,33,28
Train,38,35,81.57894736842105,6.288607249167032,82.85714285714286,6.37048588249034,67,63
Val,11,11,27.27272727272727,13.428162652290842,27.27272727272727,13.428162652290842,6,6
Train,37,32,78.37837837837837,6.7677047900075795,78.125,7.307924583542855,69,61
Val,11,9,63.63636363636363,14.504073367590284,66.66666666666666,15.713484026367725,21,20
Train,37,32,67.56756756756756,7.695875641236478,62.5,8.558164961018221,57,49
Val,11,8,54.54545454545454,15.0131422517231,62.5,17.116329922036442,37,36
Train,37,31,70.27027027027027,7.514159864153768,67.74193548387096,8.395897088010118,59,51
Val,8,8,37.5,17.116329922036442,37.5,17.116329922036442,6,6
Train,36,34,63.888888888888886,8.005377993421567,61.76470588235294,8.334181380283407,90,88
