split,anomalies,anomalies_sc,agg_value,agg_error,agg_value_sc,agg_error_sc,agg_total_eq,agg_total_eq_sc
Val,35,24,51.42857142857142,8.44809223379282,50.0,10.206207261596575,44,29
Train,32,8,56.25,8.769509500251425,75.0,15.309310892394862,49,21
Val,37,24,59.45945945945946,8.071502466945956,62.5,9.882117688026186,66,58
Train,31,16,45.16129032258064,8.938114993337111,62.5,12.103072956898178,23,14
Val,15,8,53.333333333333336,12.881223774390612,50.0,17.67766952966369,13,5
Train,32,17,53.125,8.821554523934543,70.58823529411765,11.051016901502637,29,24
Val,20,8,45.0,11.124297730643494,50.0,17.67766952966369,17,9
Train,33,21,66.66666666666666,8.206099398622182,66.66666666666666,10.286889997472795,49,34
Val,5,3,80.0,17.888543819998315,66.66666666666666,27.216552697590867,12,10
Train,34,22,64.70588235294117,8.195653482579246,63.63636363636363,10.255928633050294,45,31
Val,29,23,65.51724137931035,8.82632273954608,60.86956521739131,10.176384751376007,67,29
Train,35,22,71.42857142857143,7.636035483212125,77.27272727272727,8.934606739851096,60,46
Val,11,8,90.9090909090909,8.667841720414476,87.5,11.692679333668567,29,16
Train,37,28,62.16216216216216,7.973065827541162,64.28571428571429,9.055224157805535,77,44
Val,26,24,69.23076923076923,9.051513929454648,66.66666666666666,9.622504486493764,44,40
Train,37,21,48.64864864864865,8.216946643938353,47.61904761904761,10.898516862311034,48,33
Val,10,9,80.0,12.649110640673516,88.88888888888889,10.475656017578485,15,15
Train,39,36,76.92307692307693,6.7466001485156095,75.0,7.216878364870322,103,72
Val,5,5,60.0,21.908902300206645,60.0,21.908902300206645,11,11
Train,39,32,64.1025641025641,7.681342173272795,59.375,8.682074519880027,84,44
Val,17,16,70.58823529411765,11.051016901502637,68.75,11.587810136086974,25,22
Train,38,29,57.89473684210527,8.009325371080864,55.172413793103445,9.234952598786016,61,44
Val,19,15,63.1578947368421,11.066473327112565,60.0,12.649110640673516,29,24
Train,38,34,76.31578947368422,6.896755958184694,76.47058823529412,7.274669910598146,70,61
Val,15,14,40.0,12.649110640673516,35.714285714285715,12.806020814297073,11,8
Train,37,31,67.56756756756756,7.695875641236478,67.74193548387096,8.395897088010118,54,46
Val,11,9,63.63636363636363,14.504073367590284,66.66666666666666,15.713484026367725,22,21
Train,37,31,62.16216216216216,7.973065827541162,61.29032258064516,8.74832447741257,53,45
Val,11,9,54.54545454545454,15.0131422517231,55.55555555555556,16.56346649999844,37,36
Train,37,29,64.86486486486487,7.848284013769638,62.06896551724138,9.010224214255711,56,45
Val,6,5,33.33333333333333,19.245008972987527,40.0,21.908902300206645,5,5
Train,36,29,63.888888888888886,8.005377993421567,65.51724137931035,8.82632273954608,86,79
