split,anomalies,anomalies_sc,agg_value,agg_error,agg_value_sc,agg_error_sc,agg_total_eq,agg_total_eq_sc
Val,42,27,45.23809523809524,7.680098373375653,40.74074074074074,9.456070200062598,45,28
Train,32,9,59.375,8.682074519880027,88.88888888888889,10.475656017578485,42,23
Val,31,24,64.51612903225806,8.593474639776307,66.66666666666666,9.622504486493764,62,59
Train,31,15,45.16129032258064,8.938114993337111,66.66666666666666,12.171612389003691,31,17
Val,9,7,11.11111111111111,10.475656017578482,0.0,13.226001425322165,2,0
Train,32,18,50.0,8.838834764831844,66.66666666666666,11.111111111111112,27,21
Val,15,6,46.666666666666664,12.881223774390612,50.0,20.41241452319315,14,7
Train,33,21,63.63636363636363,8.373930663124332,61.904761904761905,10.597116957413082,45,31
Val,7,5,85.71428571428571,13.226001425322165,80.0,17.888543819998315,14,11
Train,34,22,64.70588235294117,8.195653482579246,63.63636363636363,10.255928633050294,46,32
Val,24,21,62.5,9.882117688026186,57.14285714285714,10.798984943120777,53,23
Train,35,22,74.28571428571429,7.387642348897154,72.72727272727273,9.495144870310792,64,47
Val,15,11,86.66666666666667,8.77707451472511,81.81818181818183,11.629129983033296,33,19
Train,37,28,62.16216216216216,7.973065827541162,60.71428571428571,9.229618630166094,66,32
Val,30,29,76.66666666666667,7.722022379508468,75.86206896551724,7.946270842617658,64,62
Train,37,20,64.86486486486487,7.848284013769638,55.00000000000001,11.124297730643494,61,35
Val,9,9,88.88888888888889,10.475656017578485,88.88888888888889,10.475656017578485,12,12
Train,39,34,76.92307692307693,6.7466001485156095,73.52941176470588,7.566114050404801,108,67
Val,8,8,75.0,15.309310892394862,75.0,15.309310892394862,15,15
Train,39,35,69.23076923076923,7.390530175619406,65.71428571428571,8.0232897144853,93,61
Val,13,12,76.92307692307693,11.685454235580767,75.0,12.5,26,23
Train,38,34,68.42105263157895,7.540530520119779,64.70588235294117,8.195653482579246,72,57
Val,18,15,72.22222222222221,10.557179862029056,66.66666666666666,12.171612389003691,33,28
Train,38,36,86.8421052631579,5.48361022017428,86.11111111111111,5.763842406476264,80,77
Val,19,18,47.368421052631575,11.454888159631764,44.44444444444444,11.712139482105108,13,12
Train,37,33,72.97297297297297,7.300948684714835,72.72727272727273,7.752753322022198,51,44
Val,7,7,57.14285714285714,18.704390591656487,57.14285714285714,18.704390591656487,8,8
Train,37,34,67.56756756756756,7.695875641236478,64.70588235294117,8.195653482579246,60,53
Val,11,9,54.54545454545454,15.0131422517231,55.55555555555556,16.56346649999844,41,37
Train,37,33,75.67567567567568,7.053386532986594,75.75757575757575,7.460090362383802,65,61
Val,10,9,60.0,15.491933384829668,66.66666666666666,15.713484026367725,19,19
Train,36,33,72.22222222222221,7.465053470646805,69.6969696969697,8.000055652754638,92,88
