split,anomalies,anomalies_sc,agg_value,agg_error,agg_value_sc,agg_error_sc,agg_total_eq,agg_total_eq_sc
Val,37,23,48.64864864864865,8.216946643938353,47.82608695652174,10.41586186310466,47,28
Train,32,8,59.375,8.682074519880027,75.0,15.309310892394862,40,17
Val,33,23,57.57575757575758,8.603395906609155,60.86956521739131,10.176384751376007,58,52
Train,31,16,48.38709677419355,8.975591530841967,68.75,11.587810136086974,31,19
Val,12,7,50.0,14.433756729740644,42.857142857142854,18.704390591656487,10,4
Train,32,15,50.0,8.838834764831844,60.0,12.649110640673516,28,17
Val,21,7,38.095238095238095,10.597116957413082,28.57142857142857,17.074694419062766,13,4
Train,33,23,72.72727272727273,7.752753322022198,69.56521739130434,9.594387554215139,49,36
Val,5,4,100.0,17.888543819998315,100.0,21.650635094610966,12,11
Train,34,24,76.47058823529412,7.274669910598146,75.0,8.838834764831844,59,41
Val,25,21,72.0,8.97997772825746,71.42857142857143,9.858079419176489,58,28
Train,35,24,65.71428571428571,8.0232897144853,58.333333333333336,10.063456073742666,48,35
Val,13,8,92.3076923076923,7.390530175619404,87.5,11.692679333668567,37,22
Train,37,28,64.86486486486487,7.848284013769638,60.71428571428571,9.229618630166094,71,36
Val,34,31,73.52941176470588,7.566114050404801,70.96774193548387,8.15248586297644,72,66
Train,37,21,78.37837837837837,6.7677047900075795,76.19047619047619,9.294286409033651,68,44
Val,16,13,56.25,12.401959270615269,61.53846153846154,13.493200297031219,20,19
Train,39,31,74.35897435897436,6.992010767203376,67.74193548387096,8.395897088010118,102,54
Val,12,10,58.333333333333336,14.231876063832777,50.0,15.811388300841896,22,14
Train,39,32,74.35897435897436,6.992010767203376,68.75,8.19381912632931,102,51
Val,12,11,50.0,14.433756729740644,45.45454545454545,15.0131422517231,15,12
Train,38,31,63.1578947368421,7.8251783334213485,54.83870967741935,8.938114993337113,61,42
Val,18,15,72.22222222222221,10.557179862029056,66.66666666666666,12.171612389003691,34,29
Train,38,34,92.10526315789474,4.374407672397163,91.17647058823529,4.864330767996384,91,81
Val,14,14,42.857142857142854,13.226001425322162,42.857142857142854,13.226001425322162,10,10
Train,37,30,72.97297297297297,7.300948684714835,70.0,8.366600265340757,54,43
Val,13,11,69.23076923076923,12.800773759043748,72.72727272727273,13.428162652290842,26,25
Train,37,31,62.16216216216216,7.973065827541162,64.51612903225806,8.593474639776307,56,50
Val,5,4,60.0,21.908902300206645,50.0,25.0,30,29
Train,37,29,78.37837837837837,6.7677047900075795,79.3103448275862,7.522159645153251,62,52
Val,8,8,62.5,17.116329922036442,62.5,17.116329922036442,9,9
Train,36,32,80.55555555555556,6.596206874432872,81.25,6.899813176818631,92,87
