split,anomalies,anomalies_sc,agg_value,agg_error,agg_value_sc,agg_error_sc,agg_total_eq,agg_total_eq_sc,seismic_indices_sc,seismic_indices
Val,40,28,45.0,7.866066361276136,46.42857142857143,9.424976123424065,42,31,"[12, 16, 46, 91, 126, 144, 184, 187, 219, 241, 305, 352, 377]","[12, 16, 46, 91, 126, 144, 184, 187, 219, 241, 305, 317, 320, 321, 324, 352, 357, 377]"
Train,32,7,59.375,8.682074519880027,71.42857142857143,17.074694419062766,40,14,"[142, 348, 416, 958, 1477]","[4, 14, 39, 71, 72, 73, 95, 125, 132, 142, 290, 348, 392, 416, 632, 684, 850, 958, 1477]"
Val,43,30,58.139534883720934,7.52321673512361,56.666666666666664,9.047201327032125,73,61,"[62, 67, 94, 108, 119, 123, 137, 141, 144, 174, 188, 189, 231, 281, 388, 411, 421]","[24, 45, 46, 62, 65, 67, 70, 94, 108, 119, 123, 135, 137, 141, 144, 174, 188, 189, 231, 281, 319, 324, 388, 411, 421]"
Train,31,17,58.06451612903226,8.86268651399275,76.47058823529412,10.287936849355368,39,22,"[90, 151, 207, 285, 373, 442, 911, 917, 1057, 1146, 1150, 1439, 1488]","[90, 151, 207, 285, 373, 430, 442, 685, 747, 911, 917, 1057, 1146, 1150, 1342, 1439, 1454, 1488]"
Val,8,7,37.5,17.116329922036442,28.57142857142857,17.074694419062766,3,2,"[46, 347]","[46, 347, 412]"
Train,32,16,68.75,8.19381912632931,87.5,8.267972847076846,49,32,"[64, 539, 768, 772, 900, 1061, 1200, 1205, 1232, 1275, 1312, 1326, 1369, 1559]","[52, 64, 369, 539, 643, 768, 772, 900, 1061, 1076, 1184, 1200, 1203, 1205, 1232, 1273, 1275, 1312, 1326, 1369, 1557, 1559]"
Val,18,5,38.88888888888889,11.490438561102646,20.0,17.888543819998322,11,2,[57],"[57, 278, 282, 289, 324, 325, 328]"
Train,33,24,84.84848484848484,6.241559400538633,87.5,6.750771560841522,67,51,"[127, 219, 267, 356, 360, 488, 649, 788, 793, 863, 900, 914, 957, 1147, 1197, 1224, 1389, 1404, 1430, 1525, 1531]","[127, 219, 231, 267, 356, 360, 488, 649, 664, 772, 788, 791, 793, 861, 863, 900, 914, 957, 1145, 1147, 1197, 1224, 1302, 1389, 1404, 1430, 1525, 1531]"
Val,10,8,80.0,12.649110640673516,87.5,11.692679333668567,16,15,"[34, 55, 300, 343, 345, 399, 428]","[34, 55, 300, 343, 345, 399, 401, 428]"
Train,34,22,79.41176470588235,6.934458070529787,77.27272727272727,8.934606739851096,57,40,"[12, 16, 19, 91, 449, 519, 526, 556, 570, 613, 803, 853, 880, 1012, 1060, 1181, 1285]","[12, 16, 19, 91, 428, 447, 449, 517, 519, 526, 556, 562, 570, 613, 803, 853, 880, 958, 1012, 1060, 1062, 1181, 1285, 1568, 1610, 1611, 1614]"
Val,30,25,66.66666666666666,8.606629658238704,64.0,9.6,70,33,"[43, 88, 188, 200, 238, 264, 273, 325, 353, 396, 399, 421, 426, 427, 464, 484]","[0, 43, 88, 145, 146, 188, 200, 238, 264, 273, 285, 325, 353, 396, 399, 421, 426, 427, 464, 484]"
Train,35,24,88.57142857142857,5.377851132081831,87.5,6.750771560841522,70,54,"[62, 67, 123, 132, 136, 137, 144, 174, 188, 231, 421, 471, 630, 678, 902, 903, 1563, 1650, 1704, 1706, 1711]","[46, 62, 65, 67, 70, 123, 132, 136, 137, 144, 174, 180, 188, 231, 319, 421, 471, 630, 678, 902, 903, 1186, 1228, 1229, 1232, 1239, 1563, 1650, 1704, 1706, 1711]"
Val,16,12,62.5,12.103072956898178,58.333333333333336,14.231876063832777,29,16,"[52, 97, 147, 168, 399, 452, 468]","[52, 75, 77, 97, 147, 168, 372, 399, 452, 468]"
Train,37,29,72.97297297297297,7.300948684714835,68.96551724137932,8.590911709007583,74,38,"[46, 347, 366, 485, 688, 933, 1104, 1146, 1178, 1221, 1277, 1281, 1306, 1358, 1515, 1579, 1588, 1668, 1741, 1799]","[46, 227, 347, 366, 485, 688, 778, 783, 933, 1104, 1146, 1178, 1221, 1277, 1279, 1281, 1306, 1315, 1358, 1460, 1515, 1579, 1588, 1668, 1741, 1759, 1799]"
Val,30,26,66.66666666666666,8.606629658238704,65.38461538461539,9.330087000722768,47,42,"[2, 35, 39, 53, 150, 151, 204, 238, 239, 254, 278, 367, 405, 409, 427, 441, 458]","[2, 35, 39, 53, 131, 150, 151, 204, 238, 239, 254, 278, 283, 298, 367, 405, 409, 427, 441, 458]"
Train,37,20,72.97297297297297,7.300948684714835,70.0,10.2469507659596,66,41,"[214, 246, 659, 746, 800, 802, 807, 886, 930, 1120, 1316, 1478, 1572, 1685]","[214, 246, 282, 324, 325, 335, 336, 659, 699, 746, 800, 802, 804, 807, 886, 930, 987, 1120, 1132, 1255, 1281, 1316, 1401, 1434, 1478, 1572, 1685]"
Val,14,12,78.57142857142857,10.966421051124836,75.0,12.5,19,17,"[56, 61, 62, 113, 175, 242, 341, 365, 400]","[56, 61, 62, 113, 175, 242, 305, 341, 365, 400, 442]"
Train,39,29,92.3076923076923,4.2669245863479155,89.65517241379311,5.6552304164538,115,66,"[226, 300, 399, 403, 428, 480, 566, 637, 675, 701, 710, 790, 863, 920, 921, 1079, 1331, 1384, 1385, 1400, 1436, 1583, 1677, 1882, 1883, 1888]","[226, 300, 399, 401, 403, 428, 437, 478, 480, 566, 582, 637, 675, 701, 710, 790, 863, 881, 920, 921, 1007, 1009, 1079, 1102, 1331, 1384, 1385, 1400, 1436, 1583, 1677, 1715, 1815, 1882, 1883, 1888]"
Val,12,11,58.333333333333336,14.231876063832777,54.54545454545454,15.0131422517231,22,17,"[14, 142, 173, 278, 382, 431]","[14, 20, 142, 173, 278, 382, 431]"
Train,39,31,82.05128205128204,6.145073738618237,77.41935483870968,7.509518648353264,109,61,"[43, 200, 238, 264, 353, 426, 484, 642, 894, 947, 956, 963, 999, 1146, 1240, 1446, 1451, 1547, 1585, 1651, 1685, 1860, 1874, 1888]","[0, 43, 117, 200, 238, 264, 353, 426, 444, 484, 570, 572, 642, 867, 894, 947, 956, 963, 999, 1146, 1240, 1446, 1451, 1547, 1585, 1636, 1651, 1685, 1782, 1860, 1874, 1888]"
Val,15,13,53.333333333333336,12.881223774390612,46.15384615384615,13.826415911891033,20,15,"[115, 136, 239, 368, 426, 461]","[115, 136, 239, 271, 357, 368, 426, 461]"
Train,38,32,73.68421052631578,7.143377816192591,68.75,8.19381912632931,73,56,"[452, 461, 468, 504, 577, 578, 651, 745, 950, 956, 1052, 1090, 1155, 1156, 1190, 1365, 1379, 1393, 1518, 1614, 1714, 1798]","[75, 77, 371, 452, 461, 468, 504, 577, 578, 651, 745, 950, 956, 1052, 1090, 1155, 1156, 1190, 1287, 1365, 1379, 1393, 1419, 1466, 1518, 1614, 1714, 1798]"
Val,27,23,70.37037037037037,8.787718725951697,69.56521739130434,9.594387554215139,48,44,"[5, 29, 39, 52, 67, 99, 108, 110, 115, 215, 220, 226, 249, 273, 354, 364]","[5, 29, 39, 46, 52, 67, 99, 108, 110, 115, 172, 215, 220, 226, 249, 257, 273, 354, 364]"
Train,38,32,89.47368421052632,4.978448962773249,87.5,5.846339666834283,82,66,"[2, 35, 53, 70, 150, 151, 204, 238, 239, 254, 441, 453, 492, 537, 538, 718, 817, 841, 850, 876, 891, 962, 1121, 1226, 1379, 1505, 1792, 1810]","[2, 35, 53, 70, 131, 150, 151, 204, 238, 239, 254, 283, 441, 453, 492, 537, 538, 718, 817, 841, 850, 876, 891, 962, 968, 1121, 1226, 1379, 1505, 1657, 1748, 1792, 1805, 1810]"
Val,12,12,33.33333333333333,13.608276348795433,33.33333333333333,13.608276348795433,5,5,"[78, 95, 160, 281]","[78, 95, 160, 281]"
Train,37,31,94.5945945945946,3.7174611102993347,96.7741935483871,3.1733508183094483,81,71,"[61, 62, 113, 242, 341, 365, 400, 428, 624, 639, 641, 703, 729, 739, 786, 874, 1027, 1193, 1338, 1373, 1428, 1452, 1475, 1533, 1538, 1649, 1696, 1722, 1743, 1768]","[61, 62, 113, 242, 341, 365, 400, 428, 486, 624, 639, 641, 703, 729, 739, 786, 874, 1027, 1193, 1269, 1331, 1338, 1373, 1428, 1452, 1475, 1478, 1533, 1538, 1649, 1680, 1696, 1722, 1743, 1768]"
Val,15,13,46.666666666666664,12.881223774390612,46.15384615384615,13.826415911891033,12,11,"[30, 190, 243, 271, 309, 403]","[30, 33, 190, 243, 271, 309, 403]"
Train,37,29,83.78378378378379,6.059738539651173,82.75862068965517,7.01445003745666,59,46,"[83, 167, 231, 267, 314, 360, 555, 866, 901, 956, 980, 1003, 1008, 1066, 1146, 1171, 1177, 1224, 1271, 1369, 1386, 1419, 1436, 1793]","[13, 14, 19, 83, 167, 231, 267, 314, 360, 555, 797, 866, 901, 956, 980, 1003, 1008, 1066, 1146, 1171, 1177, 1208, 1209, 1211, 1224, 1271, 1369, 1386, 1419, 1436, 1793]"
Val,12,10,58.333333333333336,14.231876063832777,60.0,15.491933384829668,40,39,"[129, 351, 378, 390, 415, 452]","[122, 129, 351, 378, 390, 415, 452]"
Train,37,29,91.8918918918919,4.487428065276163,89.65517241379311,5.6552304164538,64,50,"[55, 56, 114, 229, 426, 461, 516, 550, 572, 626, 678, 731, 774, 778, 784, 822, 831, 866, 916, 933, 946, 979, 1082, 1587, 1706, 1800]","[55, 56, 114, 221, 229, 357, 418, 426, 461, 516, 550, 558, 566, 572, 626, 678, 731, 768, 774, 778, 784, 822, 831, 866, 916, 933, 946, 979, 1082, 1430, 1587, 1706, 1800, 1817]"
Val,10,10,70.0,14.491376746189438,70.0,14.491376746189438,14,14,"[285, 320, 322, 363, 408, 410, 428]","[285, 320, 322, 363, 408, 410, 428]"
Train,36,29,94.44444444444444,3.8176903940904277,93.10344827586206,4.705436132558711,94,86,"[5, 39, 110, 115, 226, 267, 311, 328, 336, 405, 418, 435, 468, 485, 550, 571, 683, 842, 1076, 1129, 1195, 1289, 1408, 1650, 1730, 1763, 1765]","[5, 39, 46, 47, 110, 115, 226, 257, 267, 311, 328, 336, 405, 418, 435, 468, 485, 550, 571, 683, 842, 919, 1076, 1129, 1195, 1289, 1306, 1408, 1435, 1650, 1730, 1762, 1763, 1765]"
