split,anomalies,anomalies_sc,agg_value,agg_error,agg_value_sc,agg_error_sc,agg_total_eq,agg_total_eq_sc
Val,29,23,37.93103448275862,9.010224214255711,39.130434782608695,10.176384751376007,22,16
Train,32,8,56.25,8.769509500251425,87.5,11.692679333668567,43,20
Val,20,9,50.0,11.180339887498949,55.55555555555556,16.56346649999844,20,9
Train,31,14,45.16129032258064,8.938114993337111,64.28571428571429,12.806020814297073,17,11
Val,10,4,30.0,14.491376746189438,0.0,21.650635094610966,6,0
Train,32,13,46.875,8.821554523934543,53.84615384615385,13.826415911891033,23,10
Val,15,5,66.66666666666666,12.171612389003691,60.0,21.908902300206645,21,6
Train,33,16,57.57575757575758,8.603395906609155,56.25,12.401959270615269,31,12
Val,9,8,66.66666666666666,15.713484026367725,75.0,15.309310892394862,14,14
Train,34,12,50.0,8.574929257125442,50.0,14.433756729740644,32,11
Val,19,18,68.42105263157895,10.663920529041638,66.66666666666666,11.111111111111112,31,29
Train,35,20,74.28571428571429,7.387642348897154,70.0,10.2469507659596,58,32
Val,9,6,77.77777777777779,13.857990321384966,83.33333333333334,15.214515486254612,18,14
Train,37,29,62.16216216216216,7.973065827541162,65.51724137931035,8.82632273954608,72,40
Val,25,24,64.0,9.6,62.5,9.882117688026186,37,35
Train,37,22,54.054054054054056,8.192885255111733,45.45454545454545,10.615894693111677,55,32
Val,12,9,66.66666666666666,13.608276348795433,88.88888888888889,10.475656017578485,19,19
Train,39,33,79.48717948717949,6.4658991995499004,75.75757575757575,7.460090362383802,100,65
Val,10,8,50.0,15.811388300841896,50.0,17.67766952966369,15,14
Train,39,29,61.53846153846154,7.790302823720512,51.724137931034484,9.279245191499012,58,36
Val,7,5,85.71428571428571,13.226001425322165,80.0,17.888543819998315,14,10
Train,38,29,55.26315789473685,8.066009201997748,55.172413793103445,9.234952598786016,41,35
Val,17,13,88.23529411764706,7.814248990059665,84.61538461538461,10.006825162892168,30,24
Train,38,33,68.42105263157895,7.540530520119779,69.6969696969697,8.000055652754638,60,56
Val,12,12,50.0,14.433756729740644,50.0,14.433756729740644,9,9
Train,37,27,67.56756756756756,7.695875641236478,74.07407407407408,8.433704334123126,52,44
Val,6,5,50.0,20.41241452319315,60.0,21.908902300206645,7,7
Train,37,28,67.56756756756756,7.695875641236478,67.85714285714286,8.825940761227649,44,34
Val,10,7,50.0,15.811388300841896,42.857142857142854,18.704390591656487,36,34
Train,37,28,78.37837837837837,6.7677047900075795,78.57142857142857,7.754430690597277,54,40
Val,11,11,45.45454545454545,15.0131422517231,45.45454545454545,15.0131422517231,11,11
Train,36,28,72.22222222222221,7.465053470646805,71.42857142857143,8.537347209531383,78,71
