split,anomalies,anomalies_sc,agg_value,agg_error,agg_value_sc,agg_error_sc,agg_total_eq,agg_total_eq_sc
Val,35,24,51.42857142857142,8.44809223379282,50.0,10.206207261596575,44,29
Train,32,8,56.25,8.769509500251425,75.0,15.309310892394862,49,21
Val,32,22,68.75,8.19381912632931,68.18181818181817,9.930260198923898,66,58
Train,31,14,51.61290322580645,8.975591530841967,78.57142857142857,10.966421051124836,28,15
Val,12,7,25.0,12.5,14.285714285714285,13.226001425322165,4,1
Train,32,17,53.125,8.821554523934543,64.70588235294117,11.59040430757386,33,24
Val,13,6,38.46153846153847,13.493200297031219,33.33333333333333,19.245008972987527,11,5
Train,33,22,60.60606060606061,8.505811700208934,54.54545454545454,10.615894693111677,49,27
Val,9,6,88.88888888888889,10.475656017578485,83.33333333333334,15.214515486254612,17,13
Train,34,19,55.88235294117647,8.515380416833713,57.89473684210527,11.32689656524148,42,21
Val,28,23,67.85714285714286,8.825940761227649,65.21739130434783,9.931134621220187,68,31
Train,35,21,71.42857142857143,7.636035483212125,76.19047619047619,9.294286409033651,59,43
Val,9,7,77.77777777777779,13.857990321384966,71.42857142857143,17.074694419062766,18,14
Train,37,30,62.16216216216216,7.973065827541162,63.33333333333333,8.798147953257402,79,48
Val,24,23,62.5,9.882117688026186,60.86956521739131,10.176384751376007,32,30
Train,37,23,56.75675675675676,8.144549227036583,52.17391304347826,10.41586186310466,60,40
Val,10,8,60.0,15.491933384829668,75.0,15.309310892394862,10,10
Train,39,34,71.7948717948718,7.205737677223015,70.58823529411765,7.814248990059665,91,60
Val,8,7,62.5,17.116329922036442,57.14285714285714,18.704390591656487,13,12
Train,39,32,69.23076923076923,7.390530175619406,65.625,8.396166117267452,86,50
Val,6,4,83.33333333333334,15.214515486254612,75.0,21.650635094610966,12,8
Train,38,30,57.89473684210527,8.009325371080864,53.333333333333336,9.108400680852977,45,37
Val,17,14,70.58823529411765,11.051016901502637,71.42857142857143,12.07363221040738,27,23
Train,38,32,65.78947368421053,7.696021735073708,68.75,8.19381912632931,53,49
Val,11,11,45.45454545454545,15.0131422517231,45.45454545454545,15.0131422517231,9,9
Train,37,31,75.67567567567568,7.053386532986594,77.41935483870968,7.509518648353264,64,56
Val,4,3,50.0,25.0,66.66666666666666,27.216552697590867,3,3
Train,37,29,67.56756756756756,7.695875641236478,68.96551724137932,8.590911709007583,53,45
Val,9,6,44.44444444444444,16.56346649999844,33.33333333333333,19.245008972987527,33,31
Train,37,32,67.56756756756756,7.695875641236478,65.625,8.396166117267452,54,49
Val,15,15,66.66666666666666,12.171612389003691,66.66666666666666,12.171612389003691,21,21
Train,36,30,69.44444444444444,7.677372199896759,66.66666666666666,8.606629658238704,78,73
