split,anomalies,anomalies_sc,agg_value,agg_error,agg_value_sc,agg_error_sc,agg_total_eq,agg_total_eq_sc
Val,38,26,50.0,8.111071056538128,46.15384615384615,9.776752450803732,47,31
Train,32,10,56.25,8.769509500251425,70.0,14.491376746189438,42,20
Val,30,21,60.0,8.94427190999916,61.904761904761905,10.597116957413082,56,48
Train,31,16,41.935483870967744,8.86268651399275,56.25,12.401959270615269,20,13
Val,11,7,36.36363636363637,14.504073367590284,42.857142857142854,18.704390591656487,6,4
Train,32,16,62.5,8.558164961018221,81.25,9.757809372497498,40,23
Val,17,8,35.294117647058826,11.590404307573857,25.0,15.309310892394862,12,5
Train,33,22,66.66666666666666,8.206099398622182,68.18181818181817,9.930260198923898,46,28
Val,10,7,70.0,14.491376746189438,71.42857142857143,17.074694419062766,15,12
Train,34,20,64.70588235294117,8.195653482579246,65.0,10.66536450385077,45,26
Val,24,22,66.66666666666666,9.622504486493764,63.63636363636363,10.255928633050294,58,29
Train,35,24,80.0,6.761234037828132,83.33333333333334,7.607257743127306,65,50
Val,14,11,78.57142857142857,10.966421051124836,72.72727272727273,13.428162652290842,25,20
Train,37,30,59.45945945945946,8.071502466945956,60.0,8.94427190999916,72,41
Val,28,28,71.42857142857143,8.537347209531383,71.42857142857143,8.537347209531383,46,46
Train,37,22,56.75675675675676,8.144549227036583,50.0,10.660035817780521,55,32
Val,10,9,60.0,15.491933384829668,66.66666666666666,15.713484026367725,9,9
Train,39,33,79.48717948717949,6.4658991995499004,75.75757575757575,7.460090362383802,98,64
Val,6,5,83.33333333333334,15.214515486254612,80.0,17.888543819998315,13,12
Train,39,33,71.7948717948718,7.205737677223015,66.66666666666666,8.206099398622182,84,51
Val,12,10,66.66666666666666,13.608276348795433,60.0,15.491933384829668,17,13
Train,38,28,76.31578947368422,6.896755958184694,71.42857142857143,8.537347209531383,58,46
Val,22,19,72.72727272727273,9.495144870310792,68.42105263157895,10.663920529041638,40,35
Train,38,33,81.57894736842105,6.288607249167032,81.81818181818183,6.714081326145421,68,58
Val,11,10,54.54545454545454,15.0131422517231,50.0,15.811388300841896,12,9
Train,37,27,70.27027027027027,7.514159864153768,74.07407407407408,8.433704334123126,52,43
Val,6,6,50.0,20.41241452319315,50.0,20.41241452319315,14,14
Train,37,31,75.67567567567568,7.053386532986594,70.96774193548387,8.15248586297644,50,39
Val,9,7,44.44444444444444,16.56346649999844,42.857142857142854,18.704390591656487,35,34
Train,37,31,72.97297297297297,7.300948684714835,74.19354838709677,7.858983387512676,57,50
Val,11,11,27.27272727272727,13.428162652290842,27.27272727272727,13.428162652290842,7,7
Train,36,28,69.44444444444444,7.677372199896759,75.0,8.183170883849714,75,70
