split,anomalies,anomalies_sc,agg_value,agg_error,agg_value_sc,agg_error_sc,agg_total_eq,agg_total_eq_sc
Val,38,23,47.368421052631575,8.099829095409113,47.82608695652174,10.41586186310466,47,28
Train,32,8,59.375,8.682074519880027,75.0,15.309310892394862,40,17
Val,42,30,57.14285714285714,7.636035483212125,60.0,8.94427190999916,66,60
Train,31,15,51.61290322580645,8.975591530841967,73.33333333333333,11.417984514369005,33,19
Val,13,9,30.76923076923077,12.800773759043748,33.33333333333333,15.713484026367725,5,4
Train,32,18,46.875,8.821554523934543,61.111111111111114,11.490438561102644,25,19
Val,18,6,38.88888888888889,11.490438561102646,33.33333333333333,19.245008972987527,13,5
Train,33,24,66.66666666666666,8.206099398622182,62.5,9.882117688026186,48,36
Val,8,5,62.5,17.116329922036442,80.0,17.888543819998315,12,11
Train,34,24,61.76470588235294,8.334181380283407,62.5,9.882117688026186,48,35
Val,22,19,63.63636363636363,10.255928633050294,63.1578947368421,11.066473327112565,52,22
Train,35,21,68.57142857142857,7.846932140863945,66.66666666666666,10.286889997472795,51,37
Val,13,9,76.92307692307693,11.685454235580767,66.66666666666666,15.713484026367725,29,15
Train,37,31,59.45945945945946,8.071502466945956,58.06451612903226,8.86268651399275,66,34
Val,30,28,73.33333333333333,8.073734277593312,71.42857142857143,8.537347209531383,51,47
Train,37,22,59.45945945945946,8.071502466945956,54.54545454545454,10.615894693111677,56,35
Val,11,10,63.63636363636363,14.504073367590284,70.0,14.491376746189438,13,13
Train,39,31,71.7948717948718,7.205737677223015,74.19354838709677,7.858983387512676,100,61
Val,9,8,66.66666666666666,15.713484026367725,62.5,17.116329922036442,15,14
Train,39,35,69.23076923076923,7.390530175619406,65.71428571428571,8.0232897144853,85,53
Val,13,11,69.23076923076923,12.800773759043748,63.63636363636363,14.504073367590284,21,17
Train,38,31,57.89473684210527,8.009325371080864,51.61290322580645,8.975591530841967,49,40
Val,20,16,65.0,10.66536450385077,62.5,12.103072956898178,30,25
Train,38,33,84.21052631578947,5.915278809989647,84.84848484848484,6.241559400538633,75,67
Val,12,11,58.333333333333336,14.231876063832777,54.54545454545454,15.0131422517231,14,11
Train,37,29,81.08108108108108,6.438831518199857,79.3103448275862,7.522159645153251,66,54
Val,5,4,20.0,17.888543819998322,25.0,21.650635094610966,2,2
Train,37,29,81.08108108108108,6.438831518199857,82.75862068965517,7.01445003745666,62,50
Val,14,11,57.14285714285714,13.226001425322165,54.54545454545454,15.0131422517231,47,45
Train,37,29,89.1891891891892,5.104866387043433,89.65517241379311,5.6552304164538,66,54
Val,14,13,64.28571428571429,12.806020814297073,69.23076923076923,12.800773759043748,21,21
Train,36,29,86.11111111111111,5.763842406476264,86.20689655172413,6.403287523346616,90,84
