split,anomalies,anomalies_sc,agg_value,agg_error,agg_value_sc,agg_error_sc,agg_total_eq,agg_total_eq_sc,seismic_indices_sc,seismic_indices
Val,40,28,45.0,7.866066361276136,46.42857142857143,9.424976123424065,42,31,"[12, 16, 46, 91, 126, 144, 184, 187, 219, 241, 305, 352, 377]","[12, 16, 46, 91, 126, 144, 184, 187, 219, 241, 305, 317, 320, 321, 324, 352, 357, 377]"
Train,32,7,59.375,8.682074519880027,71.42857142857143,17.074694419062766,40,14,"[142, 348, 416, 958, 1477]","[4, 14, 39, 71, 72, 73, 95, 125, 132, 142, 290, 348, 392, 416, 632, 684, 850, 958, 1477]"
Val,31,25,58.06451612903226,8.86268651399275,64.0,9.6,60,59,"[62, 67, 119, 123, 137, 141, 144, 164, 174, 188, 231, 264, 281, 388, 411, 421]","[62, 67, 119, 123, 137, 141, 144, 164, 174, 180, 188, 231, 264, 281, 324, 388, 411, 421]"
Train,31,15,45.16129032258064,8.938114993337111,60.0,12.649110640673516,26,13,"[90, 151, 207, 285, 373, 442, 1146, 1150, 1439]","[90, 151, 207, 212, 264, 285, 373, 429, 430, 442, 1146, 1150, 1439, 1454]"
Val,9,7,33.33333333333333,15.713484026367725,28.57142857142857,17.074694419062766,4,3,"[46, 55]","[46, 55, 412]"
Train,32,17,62.5,8.558164961018221,82.35294117647058,9.245944094039716,45,31,"[0, 64, 324, 679, 768, 772, 1061, 1232, 1275, 1302, 1312, 1369, 1549, 1559]","[0, 52, 64, 324, 369, 643, 679, 768, 772, 1061, 1076, 1183, 1203, 1232, 1275, 1302, 1312, 1369, 1549, 1559]"
Val,17,7,35.294117647058826,11.590404307573857,28.57142857142857,17.074694419062766,12,5,"[57, 246]","[57, 246, 282, 289, 324, 325]"
Train,33,23,66.66666666666666,8.206099398622182,65.21739130434783,9.931134621220187,41,30,"[40, 341, 356, 360, 649, 793, 820, 858, 863, 900, 914, 957, 1147, 1404, 1618]","[40, 151, 231, 341, 356, 360, 649, 772, 791, 793, 820, 858, 861, 863, 900, 914, 957, 1145, 1147, 1404, 1592, 1618]"
Val,13,11,69.23076923076923,12.800773759043748,72.72727272727273,13.428162652290842,19,18,"[72, 76, 226, 300, 345, 399, 403, 428]","[72, 76, 226, 300, 345, 399, 401, 403, 428]"
Train,34,25,67.64705882352942,8.023094083513454,68.0,9.32952303175248,49,36,"[12, 16, 20, 91, 444, 449, 514, 519, 546, 556, 570, 613, 803, 853, 880, 1060, 1285]","[12, 16, 20, 91, 444, 447, 449, 514, 519, 546, 556, 570, 613, 701, 803, 853, 880, 958, 1060, 1285, 1568, 1610, 1611]"
Val,21,18,66.66666666666666,10.286889997472795,66.66666666666666,11.111111111111112,54,25,"[43, 88, 129, 200, 264, 273, 325, 353, 399, 426, 427, 484]","[0, 43, 88, 129, 145, 200, 264, 273, 325, 353, 399, 426, 427, 484]"
Train,35,23,60.0,8.28078671210825,56.52173913043478,10.336652638557517,49,36,"[67, 132, 137, 174, 188, 231, 421, 498, 678, 903, 1563, 1650, 1711]","[46, 65, 67, 132, 137, 174, 180, 188, 231, 421, 498, 678, 903, 1186, 1228, 1229, 1239, 1247, 1563, 1650, 1711]"
Val,12,10,91.66666666666666,7.978559231302819,90.0,9.486832980505138,24,20,"[23, 52, 97, 147, 350, 399, 452, 453, 468]","[23, 52, 75, 97, 147, 350, 372, 399, 452, 453, 468]"
Train,37,31,70.27027027027027,7.514159864153768,67.74193548387096,8.395897088010118,80,47,"[46, 366, 711, 830, 905, 1104, 1178, 1277, 1281, 1287, 1306, 1358, 1403, 1515, 1579, 1588, 1668, 1711, 1714, 1741, 1799]","[46, 366, 711, 778, 782, 783, 830, 905, 1104, 1178, 1277, 1281, 1287, 1306, 1315, 1358, 1403, 1460, 1515, 1579, 1588, 1668, 1711, 1714, 1741, 1799]"
Val,31,27,77.41935483870968,7.509518648353264,74.07407407407408,8.433704334123126,62,53,"[2, 35, 39, 53, 150, 151, 204, 238, 239, 254, 278, 312, 357, 367, 393, 405, 409, 441, 458, 465]","[2, 35, 39, 53, 117, 131, 150, 151, 204, 238, 239, 254, 278, 283, 312, 357, 367, 377, 393, 405, 409, 441, 458, 465]"
Train,37,17,70.27027027027027,7.514159864153768,76.47058823529412,10.287936849355368,66,43,"[246, 659, 746, 800, 802, 807, 886, 914, 1120, 1176, 1316, 1478, 1572]","[84, 246, 282, 324, 325, 328, 335, 366, 560, 659, 746, 800, 802, 807, 886, 914, 987, 1120, 1132, 1141, 1176, 1255, 1316, 1401, 1478, 1572]"
Val,12,12,75.0,12.5,75.0,12.5,22,22,"[61, 62, 113, 175, 242, 273, 341, 365, 374]","[61, 62, 113, 175, 242, 273, 341, 365, 374]"
Train,39,35,82.05128205128204,6.145073738618237,80.0,6.761234037828132,106,66,"[73, 300, 399, 403, 409, 428, 480, 525, 675, 701, 710, 790, 836, 863, 921, 1079, 1331, 1384, 1400, 1436, 1472, 1583, 1599, 1677, 1882, 1883, 1888, 1893]","[73, 300, 399, 403, 409, 428, 437, 480, 525, 675, 701, 710, 790, 836, 863, 881, 921, 1007, 1009, 1079, 1331, 1384, 1400, 1436, 1472, 1583, 1599, 1677, 1882, 1883, 1888, 1893]"
Val,9,9,66.66666666666666,15.713484026367725,66.66666666666666,15.713484026367725,17,17,"[14, 142, 173, 278, 382, 431]","[14, 142, 173, 278, 382, 431]"
Train,39,34,74.35897435897436,6.992010767203376,70.58823529411765,7.814248990059665,89,55,"[43, 238, 264, 353, 426, 484, 642, 894, 947, 999, 1073, 1091, 1146, 1240, 1392, 1446, 1456, 1650, 1651, 1685, 1740, 1847, 1860, 1874]","[0, 43, 238, 264, 353, 426, 444, 484, 570, 642, 894, 947, 999, 1073, 1091, 1146, 1240, 1392, 1446, 1456, 1636, 1650, 1651, 1685, 1740, 1782, 1847, 1860, 1874]"
Val,15,14,66.66666666666666,12.171612389003691,64.28571428571429,12.806020814297073,24,21,"[114, 115, 136, 142, 231, 239, 240, 426, 461]","[114, 115, 136, 142, 231, 239, 240, 357, 426, 461]"
Train,38,34,55.26315789473685,8.066009201997748,50.0,8.574929257125442,64,49,"[147, 399, 452, 504, 540, 578, 651, 745, 897, 951, 1090, 1155, 1156, 1190, 1304, 1365, 1379]","[75, 77, 147, 399, 452, 504, 540, 578, 651, 745, 897, 951, 1090, 1155, 1156, 1190, 1287, 1304, 1365, 1379, 1466]"
Val,16,13,75.0,10.825317547305483,69.23076923076923,12.800773759043748,30,25,"[5, 29, 52, 67, 110, 215, 273, 354, 364]","[5, 29, 47, 52, 67, 110, 172, 215, 257, 273, 354, 364]"
Train,38,36,84.21052631578947,5.915278809989647,86.11111111111111,5.763842406476264,70,68,"[2, 35, 53, 150, 151, 238, 239, 254, 367, 405, 537, 538, 589, 590, 650, 718, 749, 817, 876, 1008, 1077, 1090, 1121, 1226, 1330, 1379, 1505, 1576, 1731, 1792, 1810]","[2, 35, 53, 150, 151, 238, 239, 254, 367, 405, 537, 538, 589, 590, 650, 718, 749, 817, 876, 1008, 1077, 1090, 1121, 1226, 1330, 1379, 1505, 1576, 1731, 1748, 1792, 1810]"
Val,12,11,41.66666666666667,14.231876063832773,36.36363636363637,14.504073367590284,10,7,"[28, 78, 160, 452]","[28, 78, 160, 236, 452]"
Train,37,31,78.37837837837837,6.7677047900075795,80.64516129032258,7.095828146194514,65,57,"[61, 62, 113, 143, 242, 341, 365, 400, 641, 703, 729, 739, 776, 1027, 1048, 1152, 1338, 1373, 1428, 1452, 1462, 1533, 1538, 1734, 1743]","[61, 62, 113, 143, 242, 341, 365, 400, 641, 703, 729, 739, 776, 1027, 1048, 1152, 1269, 1330, 1338, 1373, 1428, 1452, 1462, 1533, 1538, 1595, 1680, 1734, 1743]"
Val,6,5,66.66666666666666,19.245008972987527,80.0,17.888543819998315,18,18,"[76, 190, 238, 309]","[76, 190, 238, 309]"
Train,37,30,81.08108108108108,6.438831518199857,83.33333333333334,6.804138174397716,87,76,"[39, 58, 71, 169, 231, 554, 555, 576, 669, 866, 901, 956, 980, 1066, 1214, 1218, 1224, 1262, 1271, 1306, 1356, 1369, 1419, 1737, 1793]","[39, 58, 71, 169, 231, 554, 555, 576, 669, 797, 858, 866, 901, 956, 980, 1066, 1123, 1208, 1214, 1218, 1224, 1262, 1271, 1306, 1356, 1369, 1419, 1577, 1737, 1793]"
Val,13,11,46.15384615384615,13.826415911891033,45.45454545454545,15.0131422517231,37,36,"[119, 138, 333, 420, 452]","[119, 138, 333, 420, 452, 454]"
Train,37,30,72.97297297297297,7.300948684714835,70.0,8.366600265340757,65,56,"[115, 426, 461, 516, 578, 621, 626, 737, 778, 784, 785, 822, 929, 979, 1061, 1090, 1162, 1353, 1470, 1587, 1706]","[115, 357, 418, 426, 461, 516, 557, 578, 621, 626, 677, 737, 768, 778, 784, 785, 822, 929, 979, 1061, 1090, 1162, 1353, 1430, 1470, 1587, 1706]"
Val,11,11,63.63636363636363,14.504073367590284,63.63636363636363,14.504073367590284,22,22,"[111, 197, 285, 321, 322, 345, 410]","[111, 197, 285, 321, 322, 345, 410]"
Train,36,30,83.33333333333334,6.211299937499415,86.66666666666667,6.206328908341751,101,95,"[5, 29, 52, 67, 110, 115, 263, 267, 311, 328, 355, 359, 418, 468, 534, 786, 842, 962, 1030, 1076, 1301, 1363, 1650, 1711, 1730, 1765]","[5, 29, 52, 67, 110, 115, 263, 267, 311, 328, 355, 359, 418, 468, 534, 626, 786, 842, 919, 962, 1030, 1076, 1301, 1306, 1363, 1435, 1650, 1711, 1730, 1765]"
