split,anomalies,anomalies_sc,agg_value,agg_error,agg_value_sc,agg_error_sc,agg_total_eq,agg_total_eq_sc,seismic_indices_sc,seismic_indices
Val,27,21,14.814814814814813,6.836727459191831,14.285714285714285,7.636035483212125,5,4,"[144, 187, 377]","[144, 187, 320, 377]"
Train,32,8,18.75,6.899813176818631,50.0,17.67766952966369,9,7,"[142, 143, 416, 627]","[71, 142, 143, 416, 627, 850]"
Val,32,24,21.875,7.307924583542855,20.833333333333336,8.289816934939807,8,6,"[67, 119, 123, 174, 315]","[65, 67, 70, 119, 123, 174, 315]"
Train,31,13,6.451612903225806,4.412365254342183,7.6923076923076925,7.390530175619406,2,1,[207],"[207, 430]"
Val,9,7,0.0,10.475656017578482,0.0,13.226001425322165,0,0,[],[]
Train,32,18,12.5,5.846339666834283,16.666666666666664,8.784104611578831,4,3,"[324, 1205, 1312]","[52, 324, 1205, 1312]"
Val,11,4,0.0,8.667841720414476,0.0,21.650635094610966,0,0,[],[]
Train,33,25,18.181818181818183,6.714081326145421,16.0,7.332121111929343,6,4,"[793, 863, 900, 1224]","[791, 793, 863, 900, 1224, 1302]"
Val,14,11,28.57142857142857,12.07363221040738,27.27272727272727,13.428162652290842,5,4,"[235, 399, 428]","[235, 399, 401, 428]"
Train,34,25,20.588235294117645,6.934458070529785,20.0,8.0,7,5,"[449, 519, 556, 880, 1351]","[447, 449, 519, 556, 880, 958, 1351]"
Val,24,20,16.666666666666664,7.607257743127308,10.0,6.708203932499369,5,3,"[273, 427]","[0, 145, 273, 427]"
Train,35,26,25.71428571428571,7.387642348897154,26.923076923076923,8.698929247330863,10,8,"[67, 137, 174, 498, 969, 1704, 1706]","[67, 137, 174, 498, 576, 969, 1704, 1706, 1708]"
Val,12,9,8.333333333333332,7.9785592313028175,11.11111111111111,10.475656017578482,1,1,[97],[97]
Train,37,27,24.324324324324326,7.053386532986596,11.11111111111111,6.04812282168686,10,4,"[1277, 1306, 1588]","[779, 1043, 1277, 1279, 1306, 1315, 1460, 1588, 1610]"
Val,33,30,18.181818181818183,6.714081326145421,16.666666666666664,6.804138174397717,6,5,"[39, 150, 151, 296, 459]","[39, 150, 151, 283, 296, 459]"
Train,37,22,13.513513513513514,5.620272917946339,18.181818181818183,8.223036670302644,9,8,"[65, 438, 802, 1478]","[65, 438, 802, 804, 1478]"
Val,14,12,14.285714285714285,9.352195295828244,16.666666666666664,10.758287072798382,2,2,"[242, 273]","[242, 273]"
Train,39,35,15.384615384615385,5.777443201529313,11.428571428571429,5.37785113208183,7,5,"[399, 428, 710, 1472]","[399, 401, 428, 437, 710, 1472]"
Val,9,9,22.22222222222222,13.857990321384966,22.22222222222222,13.857990321384966,3,3,"[173, 382]","[173, 382]"
Train,39,36,10.256410256410255,4.858107350929958,5.555555555555555,3.8176903940904263,4,2,"[273, 1685]","[0, 145, 273, 1685]"
Val,13,12,15.384615384615385,10.006825162892168,16.666666666666664,10.758287072798382,2,2,"[170, 426]","[170, 426]"
Train,38,35,2.631578947368421,2.596722058068237,2.857142857142857,2.8160307445976067,1,1,[1190],[1190]
Val,18,14,27.77777777777778,10.557179862029056,14.285714285714285,9.352195295828244,7,4,"[273, 320]","[111, 172, 257, 273, 320]"
Train,38,36,21.052631578947366,6.613482762500455,22.22222222222222,6.928995160692483,10,10,"[39, 150, 151, 718, 841, 1121, 1330, 1597]","[39, 150, 151, 718, 841, 1121, 1330, 1597]"
Val,15,15,0.0,6.440611887195306,0.0,6.440611887195306,0,0,[],[]
Train,37,32,13.513513513513514,5.620272917946339,9.375,5.152697639950359,6,4,"[242, 543, 1338]","[242, 543, 1338, 1595, 1680]"
Val,12,11,16.666666666666664,10.758287072798382,18.181818181818183,11.629129983033296,4,4,"[76, 309]","[76, 309]"
Train,37,34,8.108108108108109,4.487428065276164,5.88235294117647,4.035260826882561,4,3,"[866, 1224]","[866, 1123, 1224]"
Val,8,6,12.5,11.692679333668567,16.666666666666664,15.214515486254616,3,3,[333],[333]
Train,37,34,18.91891891891892,6.4388315181998586,14.705882352941178,6.0738718621252445,13,11,"[426, 540, 784, 1473, 1706]","[271, 426, 540, 683, 784, 1473, 1706]"
Val,9,8,33.33333333333333,15.713484026367725,37.5,17.116329922036442,3,3,"[197, 322, 410]","[197, 322, 410]"
Train,36,34,13.88888888888889,5.7638424064762654,11.76470588235294,5.525508450751318,7,6,"[4, 273, 1195, 1730]","[4, 172, 273, 1195, 1730]"
