split,anomalies,anomalies_sc,agg_value,agg_error,agg_value_sc,agg_error_sc,agg_total_eq,agg_total_eq_sc,seismic_indices_sc,seismic_indices
Val,29,21,20.689655172413794,7.522159645153251,23.809523809523807,9.29428640903365,8,6,"[12, 144, 184, 187, 377]","[12, 144, 184, 187, 320, 377]"
Train,32,8,28.125,7.948042948974924,50.0,17.67766952966369,17,10,"[142, 143, 416, 627]","[39, 71, 73, 142, 143, 392, 416, 627, 684]"
Val,35,25,31.428571428571427,7.846932140863945,32.0,9.32952303175248,14,11,"[67, 119, 123, 137, 174, 281, 315, 411]","[65, 67, 119, 123, 137, 174, 180, 281, 315, 319, 411]"
Train,31,14,9.67741935483871,5.310031559697429,14.285714285714285,9.352195295828244,4,3,"[207, 1146]","[207, 264, 1146]"
Val,12,9,8.333333333333332,7.9785592313028175,11.11111111111111,10.475656017578482,1,1,[85],[85]
Train,32,15,21.875,7.307924583542855,26.666666666666668,11.417984514369003,9,6,"[768, 1205, 1275, 1312]","[307, 369, 768, 1205, 1275, 1312, 1318]"
Val,20,8,15.0,7.984359711335657,12.5,11.692679333668567,3,1,[246],"[246, 325, 328]"
Train,33,24,24.242424242424242,7.460090362383802,16.666666666666664,7.607257743127308,10,6,"[356, 793, 863, 900]","[231, 356, 791, 793, 863, 900, 1056, 1302]"
Val,7,5,57.14285714285714,18.704390591656487,60.0,21.908902300206645,7,6,"[226, 399, 428]","[226, 399, 401, 428]"
Train,34,25,23.52941176470588,7.274669910598145,24.0,8.541662601625049,10,8,"[12, 91, 449, 519, 556, 880]","[12, 91, 447, 449, 519, 556, 880, 1611]"
Val,25,21,24.0,8.541662601625049,19.047619047619047,8.56890867468988,8,6,"[254, 273, 379, 427]","[0, 145, 254, 273, 379, 427]"
Train,35,24,40.0,8.28078671210825,33.33333333333333,9.622504486493764,20,14,"[67, 137, 174, 498, 902, 1704, 1706, 1711]","[65, 67, 137, 174, 319, 419, 498, 576, 902, 1229, 1704, 1706, 1708, 1711]"
Val,12,9,50.0,14.433756729740644,44.44444444444444,16.56346649999844,6,4,"[93, 97, 147, 452]","[77, 93, 97, 147, 372, 452]"
Train,37,31,24.324324324324326,7.053386532986596,19.35483870967742,7.095828146194513,12,9,"[1104, 1277, 1281, 1306, 1588, 1694]","[543, 1104, 1277, 1281, 1306, 1315, 1460, 1588, 1694]"
Val,27,24,40.74074074074074,9.456070200062598,37.5,9.882117688026186,14,12,"[39, 150, 151, 204, 278, 409, 434, 441, 458]","[39, 150, 151, 204, 278, 283, 377, 409, 434, 441, 458]"
Train,37,22,32.432432432432435,7.695875641236478,40.909090909090914,10.482356110715555,20,17,"[246, 746, 802, 807, 813, 1120, 1478, 1572, 1781]","[246, 325, 746, 802, 804, 807, 813, 987, 1120, 1478, 1572, 1781]"
Val,9,8,55.55555555555556,16.56346649999844,50.0,17.67766952966369,10,9,"[62, 242, 341, 365]","[62, 242, 307, 341, 365]"
Train,39,33,30.76923076923077,7.390530175619406,30.303030303030305,8.000055652754638,15,13,"[399, 403, 409, 428, 710, 1079, 1384, 1472, 1829, 1883]","[399, 403, 409, 428, 437, 582, 710, 1079, 1384, 1472, 1829, 1883]"
Val,4,4,75.0,21.650635094610966,75.0,21.650635094610966,6,6,"[173, 382, 431]","[173, 382, 431]"
Train,39,35,17.94871794871795,6.145073738618237,17.142857142857142,6.370485882490342,9,8,"[129, 273, 642, 947, 1035, 1392]","[0, 129, 273, 642, 947, 1035, 1392]"
Val,16,15,37.5,12.103072956898178,33.33333333333333,12.171612389003691,6,5,"[170, 205, 240, 263, 426]","[170, 205, 240, 263, 357, 426]"
Train,38,34,18.421052631578945,6.28860724916703,20.588235294117645,6.934458070529785,8,8,"[147, 452, 540, 897, 935, 1190, 1614]","[147, 452, 540, 897, 935, 1190, 1614]"
Val,19,15,21.052631578947366,9.352877017248828,20.0,10.327955589886445,8,7,"[273, 274, 305]","[172, 273, 274, 305]"
Train,38,34,26.31578947368421,7.143377816192591,26.47058823529412,7.566114050404803,19,18,"[151, 434, 538, 718, 817, 841, 871, 1330, 1379]","[151, 434, 538, 718, 817, 841, 871, 1330, 1379, 1749]"
Val,10,10,10.0,9.486832980505138,10.0,9.486832980505138,1,1,[452],[452]
Train,37,31,29.72972972972973,7.514159864153768,32.25806451612903,8.395897088010118,16,15,"[62, 242, 341, 365, 641, 729, 1117, 1175, 1338, 1792]","[62, 242, 341, 365, 641, 729, 1117, 1175, 1269, 1338, 1792]"
Val,13,12,23.076923076923077,11.685454235580767,25.0,12.5,7,7,"[76, 243, 309]","[76, 243, 309]"
Train,37,34,18.91891891891892,6.4388315181998586,17.647058823529413,6.537869767367193,7,6,"[169, 257, 645, 680, 866, 1793]","[169, 257, 645, 680, 797, 866, 1793]"
Val,11,8,9.090909090909092,8.667841720414476,12.5,11.692679333668567,1,1,[113],[113]
Train,37,32,16.216216216216218,6.059738539651173,15.625,6.418623720763665,10,9,"[426, 784, 1353, 1640, 1706]","[418, 426, 784, 1353, 1640, 1706]"
Val,9,8,22.22222222222222,13.857990321384966,25.0,15.309310892394862,2,2,"[322, 410]","[322, 410]"
Train,36,30,27.77777777777778,7.465053470646805,26.666666666666668,8.073734277593312,15,13,"[273, 306, 369, 842, 1129, 1195, 1650, 1730]","[172, 257, 273, 306, 369, 842, 1129, 1195, 1650, 1730]"
