split,anomalies,anomalies_sc,agg_value,agg_error,agg_value_sc,agg_error_sc,agg_total_eq,agg_total_eq_sc,seismic_indices_sc,seismic_indices
Val,33,21,21.21212121212121,7.116472642790657,19.047619047619047,8.56890867468988,11,6,"[12, 144, 184, 241]","[12, 144, 184, 241, 317, 320, 324]"
Train,32,9,21.875,7.307924583542855,44.44444444444444,16.56346649999844,15,10,"[142, 143, 416, 627]","[39, 71, 73, 142, 143, 416, 627]"
Val,34,22,32.35294117647059,8.023094083513456,31.818181818181817,9.930260198923898,13,9,"[67, 119, 123, 137, 281, 315, 411]","[65, 67, 70, 119, 123, 137, 180, 281, 315, 319, 411]"
Train,31,16,19.35483870967742,7.095828146194513,25.0,10.825317547305483,8,5,"[207, 442, 702, 1146]","[207, 264, 442, 702, 1146, 1454]"
Val,8,5,12.5,11.692679333668567,20.0,17.888543819998322,1,1,[29],[29]
Train,32,17,25.0,7.654655446197431,29.411764705882355,11.051016901502637,10,7,"[64, 324, 768, 1275, 1312]","[52, 64, 324, 369, 768, 1203, 1275, 1312]"
Val,15,7,13.333333333333334,8.777074514725111,14.285714285714285,13.226001425322165,2,1,[246],"[246, 325]"
Train,33,23,24.242424242424242,7.460090362383802,21.73913043478261,8.60061487037983,10,7,"[356, 488, 793, 863, 1224]","[356, 488, 791, 793, 863, 906, 1224, 1302]"
Val,16,15,25.0,10.825317547305483,26.666666666666668,11.417984514369003,7,7,"[34, 399, 403, 428]","[34, 399, 403, 428]"
Train,34,25,23.52941176470588,7.274669910598145,24.0,8.541662601625049,10,8,"[12, 449, 519, 556, 880, 1532]","[12, 447, 449, 519, 556, 880, 1532, 1611]"
Val,21,19,14.285714285714285,7.636035483212125,10.526315789473683,7.040590042736196,3,2,"[273, 379]","[0, 273, 379]"
Train,35,29,28.57142857142857,7.636035483212125,27.586206896551722,8.299609211231937,16,14,"[67, 137, 174, 498, 531, 1150, 1706, 1711]","[65, 67, 137, 174, 498, 531, 1150, 1229, 1706, 1711]"
Val,11,8,45.45454545454545,15.0131422517231,50.0,17.67766952966369,5,4,"[97, 147, 180, 452]","[97, 147, 180, 372, 452]"
Train,37,30,24.324324324324326,7.053386532986596,23.333333333333332,7.722022379508468,12,10,"[710, 1277, 1281, 1305, 1306, 1588, 1694]","[710, 779, 1277, 1281, 1305, 1306, 1315, 1588, 1694]"
Val,28,26,42.857142857142854,9.352195295828244,38.46153846153847,9.541133429939112,15,13,"[39, 150, 151, 204, 278, 296, 409, 434, 441, 458]","[39, 150, 151, 204, 278, 283, 296, 377, 409, 434, 441, 458]"
Train,37,22,35.13513513513514,7.848284013769638,45.45454545454545,10.615894693111677,22,19,"[246, 368, 800, 802, 807, 813, 954, 1120, 1478, 1572]","[246, 325, 368, 800, 802, 807, 813, 954, 987, 1120, 1281, 1478, 1572]"
Val,7,7,42.857142857142854,18.704390591656487,42.857142857142854,18.704390591656487,4,4,"[62, 242, 341]","[62, 242, 341]"
