split,anomalies,anomalies_sc,agg_value,agg_error,agg_value_sc,agg_error_sc,agg_total_eq,agg_total_eq_sc,seismic_indices_sc,seismic_indices
Val,24,19,25.0,8.838834764831844,26.31578947368421,10.102261788814666,13,10,"[12, 128, 184, 187, 377]","[12, 128, 184, 187, 320, 377]"
Train,32,8,43.75,8.769509500251425,75.0,15.309310892394862,26,14,"[142, 143, 348, 627, 1122, 1477]","[4, 39, 71, 73, 95, 132, 142, 143, 348, 627, 684, 850, 1122, 1477]"
Val,35,26,37.142857142857146,8.167345918877231,42.30769230769231,9.689066801072672,26,22,"[67, 119, 123, 141, 144, 174, 188, 281, 315, 388, 411]","[65, 67, 70, 119, 123, 141, 144, 174, 188, 281, 315, 388, 411]"
Train,31,13,19.35483870967742,7.095828146194513,30.76923076923077,12.800773759043748,8,6,"[207, 285, 442, 1146]","[207, 264, 285, 430, 442, 1146]"
Val,12,9,16.666666666666664,10.758287072798382,22.22222222222222,13.857990321384966,7,7,"[29, 85]","[29, 85]"
Train,32,17,25.0,7.654655446197431,29.411764705882355,11.051016901502637,15,6,"[64, 324, 768, 1205, 1326]","[52, 64, 324, 768, 964, 1203, 1205, 1326]"
Val,11,4,36.36363636363637,14.504073367590284,25.0,21.650635094610966,5,1,[57],"[57, 282, 324, 325]"
Train,33,23,33.33333333333333,8.206099398622182,26.08695652173913,9.156053715170007,27,12,"[356, 793, 863, 900, 914, 1257]","[356, 552, 791, 793, 863, 900, 906, 914, 1145, 1257, 1302]"
Val,7,3,57.14285714285714,18.704390591656487,66.66666666666666,27.216552697590867,9,7,"[399, 428]","[278, 399, 401, 428]"
Train,34,23,32.35294117647059,8.023094083513456,30.434782608695656,9.594387554215139,20,14,"[12, 449, 519, 556, 570, 880, 1285]","[12, 447, 449, 519, 556, 570, 880, 958, 1285, 1610, 1611]"
Val,26,23,53.84615384615385,9.776752450803732,52.17391304347826,10.41586186310466,46,18,"[43, 75, 88, 264, 273, 325, 379, 421, 426, 427, 464, 484]","[0, 43, 75, 88, 145, 264, 273, 325, 379, 421, 426, 427, 464, 484]"
Train,35,23,57.14285714285714,8.364857768130285,52.17391304347826,10.41586186310466,44,33,"[67, 137, 144, 174, 188, 471, 498, 903, 1342, 1704, 1706, 1711]","[29, 46, 67, 137, 144, 174, 188, 319, 471, 498, 576, 903, 1228, 1229, 1342, 1603, 1704, 1706, 1708, 1711]"
Val,14,10,50.0,13.36306209562122,50.0,15.811388300841896,16,7,"[97, 147, 399, 452, 468]","[77, 97, 147, 372, 399, 452, 468]"
Train,37,30,45.94594594594595,8.192885255111733,43.333333333333336,9.047201327032125,52,22,"[156, 366, 678, 1277, 1281, 1287, 1306, 1358, 1403, 1579, 1741, 1742, 1799]","[156, 366, 678, 1233, 1277, 1279, 1281, 1287, 1306, 1315, 1358, 1403, 1460, 1579, 1741, 1742, 1799]"
