split,anomalies,anomalies_sc,agg_value,agg_error,agg_value_sc,agg_error_sc,agg_total_eq,agg_total_eq_sc,seismic_indices_sc,seismic_indices
Val,28,19,28.57142857142857,8.537347209531383,26.31578947368421,10.102261788814666,24,12,"[12, 144, 184, 187, 377]","[12, 144, 184, 187, 208, 317, 320, 377]"
Train,32,7,43.75,8.769509500251425,71.42857142857143,17.074694419062766,26,11,"[142, 348, 416, 627, 1477]","[4, 15, 39, 71, 73, 95, 132, 142, 348, 392, 416, 627, 684, 1477]"
Val,38,27,42.10526315789473,8.009325371080864,44.44444444444444,9.562921842487448,34,26,"[67, 119, 123, 137, 141, 144, 174, 188, 281, 315, 388, 411]","[46, 65, 67, 119, 123, 137, 141, 144, 174, 180, 188, 281, 315, 319, 388, 411]"
Train,31,14,32.25806451612903,8.395897088010118,35.714285714285715,12.806020814297073,17,8,"[90, 207, 285, 442, 1146]","[90, 207, 264, 285, 429, 430, 442, 685, 1146, 1454]"
Val,10,7,20.0,12.64911064067352,28.57142857142857,17.074694419062766,7,7,"[29, 85]","[29, 85]"
Train,32,16,31.25,8.19381912632931,37.5,12.103072956898178,14,7,"[64, 211, 324, 768, 1205, 1326]","[51, 52, 64, 211, 307, 324, 768, 1203, 1205, 1326]"
Val,18,7,38.88888888888889,11.490438561102646,42.857142857142854,18.704390591656487,9,4,"[57, 239, 246]","[57, 239, 246, 282, 324, 325, 328]"
Train,33,25,42.42424242424242,8.603395906609155,40.0,9.797958971132712,31,23,"[127, 267, 341, 356, 793, 863, 900, 914, 1197, 1224]","[127, 267, 277, 341, 356, 791, 793, 863, 900, 906, 914, 1197, 1224, 1302]"
Val,11,8,45.45454545454545,15.0131422517231,37.5,17.116329922036442,10,8,"[399, 414, 428]","[278, 399, 401, 414, 428]"
Train,34,24,44.11764705882353,8.515380416833713,41.66666666666667,10.063456073742664,33,23,"[12, 91, 449, 519, 526, 556, 570, 853, 880, 1285]","[12, 91, 447, 449, 519, 526, 556, 562, 570, 853, 880, 1285, 1610, 1611, 1614]"
Val,17,15,52.94117647058824,12.105782480647683,53.333333333333336,12.881223774390612,41,14,"[43, 88, 129, 264, 325, 426, 427, 484]","[0, 43, 88, 129, 264, 325, 426, 427, 484]"
Train,35,19,48.57142857142857,8.44809223379282,36.84210526315789,11.066473327112563,33,16,"[67, 137, 174, 498, 531, 903, 1711]","[46, 65, 67, 68, 137, 174, 180, 419, 498, 531, 903, 1186, 1228, 1229, 1239, 1708, 1711]"
Val,16,12,56.25,12.401959270615269,66.66666666666666,13.608276348795433,17,16,"[23, 93, 97, 147, 255, 399, 452, 468]","[23, 93, 97, 147, 255, 372, 399, 452, 468]"
Train,37,29,37.83783783783784,7.973065827541162,37.93103448275862,9.010224214255711,48,19,"[366, 1277, 1281, 1306, 1358, 1403, 1579, 1588, 1741, 1742, 1799]","[366, 1277, 1279, 1281, 1306, 1315, 1358, 1403, 1460, 1579, 1588, 1741, 1742, 1799]"
Val,25,22,64.0,9.6,59.09090909090909,10.482356110715555,22,20,"[35, 39, 150, 151, 204, 238, 239, 278, 405, 409, 434, 441, 458]","[35, 39, 131, 150, 151, 204, 238, 239, 278, 283, 377, 405, 409, 434, 441, 458]"
Train,37,19,43.24324324324324,8.144549227036583,42.10526315789473,11.32689656524148,33,23,"[746, 802, 807, 886, 1120, 1316, 1478, 1572]","[282, 324, 325, 335, 746, 802, 804, 807, 886, 985, 987, 1120, 1132, 1316, 1478, 1572]"
Val,8,8,75.0,15.309310892394862,75.0,15.309310892394862,11,11,"[61, 62, 242, 341, 365, 400]","[61, 62, 242, 341, 365, 400]"
Train,39,34,56.41025641025641,7.94033618863734,52.94117647058824,8.560080883635282,68,31,"[399, 403, 428, 480, 701, 710, 863, 921, 1079, 1331, 1384, 1400, 1436, 1472, 1510, 1677, 1829, 1883]","[355, 399, 403, 428, 437, 480, 582, 701, 710, 863, 921, 1009, 1079, 1331, 1384, 1400, 1436, 1472, 1510, 1677, 1829, 1883]"
Val,7,7,71.42857142857143,17.074694419062766,71.42857142857143,17.074694419062766,9,9,"[142, 173, 315, 382, 431]","[142, 173, 315, 382, 431]"
