split,anomalies,anomalies_sc,agg_value,agg_error,agg_value_sc,agg_error_sc,agg_total_eq,agg_total_eq_sc,seismic_indices_sc,seismic_indices
Val,32,22,34.375,8.396166117267452,27.27272727272727,9.495144870310792,29,14,"[12, 128, 144, 184, 187, 241]","[12, 105, 128, 144, 184, 187, 208, 241, 317, 320, 324]"
Train,32,11,43.75,8.769509500251425,72.72727272727273,13.428162652290842,28,18,"[142, 143, 348, 416, 627, 705, 862, 1477]","[4, 39, 71, 73, 95, 132, 142, 143, 348, 416, 627, 705, 862, 1477]"
Val,29,21,44.827586206896555,9.234952598786016,47.61904761904761,10.898516862311034,26,21,"[67, 119, 123, 137, 144, 174, 188, 281, 388, 411]","[46, 65, 67, 70, 119, 123, 137, 144, 174, 188, 281, 388, 411]"
Train,31,14,25.806451612903224,7.858983387512676,42.857142857142854,13.226001425322162,13,9,"[207, 285, 442, 702, 1057, 1146]","[207, 285, 430, 442, 702, 1057, 1146, 1454]"
Val,12,9,16.666666666666664,10.758287072798382,22.22222222222222,13.857990321384966,7,7,"[29, 85]","[29, 85]"
Train,32,14,18.75,6.899813176818631,21.428571428571427,10.966421051124835,7,4,"[768, 1205, 1326]","[52, 369, 768, 1184, 1205, 1326]"
Val,14,8,35.714285714285715,12.806020814297073,25.0,15.309310892394862,7,3,"[57, 239]","[57, 239, 282, 324, 325]"
Train,33,22,42.42424242424242,8.603395906609155,36.36363636363637,10.255928633050294,22,15,"[127, 267, 356, 793, 863, 870, 900, 914]","[127, 231, 267, 277, 356, 772, 791, 793, 863, 870, 900, 914, 1045, 1302]"
Val,8,6,75.0,15.309310892394862,66.66666666666666,19.245008972987527,12,9,"[55, 226, 399, 428]","[55, 226, 399, 401, 407, 428]"
Train,34,22,47.05882352941176,8.560080883635282,40.909090909090914,10.482356110715555,31,21,"[12, 449, 519, 556, 570, 853, 880, 1285, 1532]","[12, 447, 449, 519, 556, 570, 701, 801, 853, 880, 958, 1285, 1532, 1568, 1610, 1611]"
Val,23,19,47.82608695652174,10.41586186310466,42.10526315789473,11.32689656524148,40,10,"[43, 88, 264, 273, 325, 379, 426, 484]","[0, 43, 88, 145, 264, 273, 295, 325, 379, 426, 484]"
Train,35,26,60.0,8.28078671210825,57.692307692307686,9.689066801072672,45,36,"[67, 137, 174, 188, 422, 471, 498, 871, 903, 969, 1150, 1342, 1704, 1706, 1711]","[46, 65, 67, 137, 174, 188, 422, 471, 498, 871, 903, 969, 1150, 1186, 1228, 1229, 1342, 1704, 1706, 1711, 1715]"
Val,14,11,64.28571428571429,12.806020814297073,63.63636363636363,14.504073367590284,18,9,"[22, 97, 147, 166, 399, 452, 468]","[22, 77, 97, 147, 166, 372, 399, 452, 468]"
Train,37,30,43.24324324324324,8.144549227036583,43.333333333333336,9.047201327032125,49,20,"[366, 688, 710, 1104, 1277, 1281, 1306, 1358, 1579, 1588, 1728, 1741, 1799]","[366, 688, 710, 1104, 1277, 1281, 1306, 1315, 1358, 1460, 1579, 1588, 1728, 1741, 1759, 1799]"
