split,anomalies,anomalies_sc,agg_value,agg_error,agg_value_sc,agg_error_sc,agg_total_eq,agg_total_eq_sc,seismic_indices_sc,seismic_indices
Val,33,23,21.21212121212121,7.116472642790657,17.391304347826086,7.903419644751181,23,11,"[12, 91, 184, 241]","[12, 91, 184, 208, 241, 317, 320]"
Train,32,10,43.75,8.769509500251425,60.0,15.491933384829668,21,10,"[142, 348, 510, 705, 862, 1515]","[4, 71, 73, 95, 132, 142, 348, 392, 510, 684, 705, 850, 862, 1515]"
Val,31,23,45.16129032258064,8.938114993337111,52.17391304347826,10.41586186310466,29,26,"[67, 119, 123, 137, 141, 144, 174, 188, 281, 315, 388, 411]","[46, 65, 67, 119, 123, 137, 141, 144, 174, 188, 281, 315, 388, 411]"
Train,31,14,25.806451612903224,7.858983387512676,35.714285714285715,12.806020814297073,16,8,"[90, 207, 285, 442, 1146]","[90, 207, 264, 285, 430, 442, 1146, 1342]"
Val,12,7,8.333333333333332,7.9785592313028175,14.285714285714285,13.226001425322165,1,1,[85],[85]
Train,32,16,31.25,8.19381912632931,43.75,12.401959270615269,14,11,"[64, 324, 679, 768, 1205, 1312, 1326]","[52, 64, 307, 324, 679, 768, 1184, 1205, 1312, 1326]"
Val,19,8,31.57894736842105,10.663920529041638,25.0,15.309310892394862,7,2,"[57, 246]","[57, 246, 282, 324, 325, 328]"
Train,33,25,63.63636363636363,8.373930663124332,60.0,9.797958971132712,42,35,"[121, 127, 267, 341, 356, 650, 793, 863, 900, 914, 1126, 1197, 1198, 1224, 1344]","[29, 121, 127, 231, 267, 341, 356, 650, 772, 793, 863, 900, 914, 1045, 1087, 1126, 1197, 1198, 1224, 1302, 1344]"
Val,10,6,60.0,15.491933384829668,66.66666666666666,19.245008972987527,11,9,"[141, 362, 399, 428]","[141, 278, 362, 399, 401, 428]"
Train,34,18,47.05882352941176,8.560080883635282,50.0,11.785113019775793,24,16,"[12, 91, 449, 519, 556, 570, 1285, 1351, 1532]","[12, 91, 449, 454, 519, 556, 570, 712, 958, 1250, 1285, 1351, 1532, 1610, 1611, 1614]"
Val,22,18,50.0,10.660035817780521,44.44444444444444,11.712139482105108,40,11,"[43, 264, 273, 325, 379, 426, 464, 484]","[0, 41, 43, 264, 273, 325, 379, 426, 444, 464, 484]"
Train,35,24,60.0,8.28078671210825,58.333333333333336,10.063456073742666,36,28,"[67, 137, 144, 174, 188, 471, 498, 618, 903, 969, 1150, 1342, 1704, 1717]","[46, 67, 137, 144, 174, 188, 319, 471, 498, 576, 618, 903, 969, 1150, 1186, 1228, 1229, 1342, 1704, 1708, 1717]"
Val,13,10,69.23076923076923,12.800773759043748,70.0,14.491376746189438,20,11,"[97, 147, 350, 399, 452, 456, 468]","[77, 97, 147, 350, 372, 399, 452, 456, 468]"
Train,37,30,51.35135135135135,8.216946643938353,50.0,9.128709291752768,55,23,"[140, 366, 678, 688, 710, 933, 1104, 1277, 1281, 1306, 1358, 1579, 1588, 1741, 1799]","[140, 366, 678, 688, 710, 883, 933, 1104, 1277, 1281, 1306, 1315, 1358, 1460, 1579, 1588, 1741, 1759, 1799]"
Val,31,29,61.29032258064516,8.74832447741257,58.620689655172406,9.145723911072253,34,33,"[35, 39, 150, 151, 204, 238, 239, 278, 296, 357, 405, 409, 434, 441, 458, 459, 465]","[35, 39, 150, 151, 204, 238, 239, 278, 283, 296, 357, 377, 405, 409, 434, 441, 458, 459, 465]"
Train,37,22,54.054054054054056,8.192885255111733,59.09090909090909,10.482356110715555,40,31,"[246, 746, 802, 807, 813, 886, 965, 1120, 1315, 1316, 1420, 1478, 1572]","[246, 282, 324, 325, 328, 335, 746, 802, 804, 807, 813, 886, 965, 1120, 1132, 1315, 1316, 1420, 1478, 1572]"
Val,12,11,58.333333333333336,14.231876063832777,54.54545454545454,15.0131422517231,9,8,"[61, 62, 242, 273, 341, 400]","[61, 62, 242, 273, 341, 400, 442]"
Train,39,33,61.53846153846154,7.790302823720512,57.57575757575758,8.603395906609155,71,31,"[226, 399, 403, 409, 428, 480, 701, 710, 863, 921, 1079, 1331, 1384, 1436, 1472, 1677, 1829, 1883, 1888]","[226, 399, 403, 409, 428, 437, 480, 582, 701, 710, 863, 881, 921, 1009, 1079, 1331, 1384, 1436, 1472, 1677, 1715, 1829, 1883, 1888]"
Val,9,9,44.44444444444444,16.56346649999844,44.44444444444444,16.56346649999844,8,8,"[142, 173, 382, 431]","[142, 173, 382, 431]"
Train,39,34,56.41025641025641,7.94033618863734,52.94117647058824,8.560080883635282,64,27,"[43, 264, 273, 426, 484, 642, 894, 947, 999, 1035, 1240, 1372, 1446, 1451, 1685, 1799, 1833, 1860]","[0, 43, 145, 264, 273, 426, 484, 572, 642, 894, 947, 999, 1035, 1240, 1372, 1446, 1451, 1685, 1782, 1799, 1833, 1860]"
Val,19,16,47.368421052631575,11.454888159631764,43.75,12.401959270615269,11,8,"[115, 154, 170, 239, 240, 426, 461]","[115, 154, 170, 239, 240, 271, 357, 426, 461]"
