split,anomalies,anomalies_sc,agg_value,agg_error,agg_value_sc,agg_error_sc,agg_total_eq,agg_total_eq_sc,seismic_indices_sc,seismic_indices
Val,24,19,25.0,8.838834764831844,26.31578947368421,10.102261788814666,13,10,"[12, 128, 184, 187, 377]","[12, 128, 184, 187, 320, 377]"
Train,32,8,43.75,8.769509500251425,75.0,15.309310892394862,26,14,"[142, 143, 348, 627, 1122, 1477]","[4, 39, 71, 73, 95, 132, 142, 143, 348, 627, 684, 850, 1122, 1477]"
Val,20,9,30.0,10.246950765959598,33.33333333333333,15.713484026367725,13,6,"[119, 188, 411]","[46, 65, 119, 180, 188, 411]"
Train,31,14,32.25806451612903,8.395897088010118,42.857142857142854,13.226001425322162,16,8,"[285, 442, 702, 1095, 1146, 1488]","[285, 429, 430, 442, 687, 702, 1095, 1146, 1228, 1488]"
Val,13,8,23.076923076923077,11.685454235580767,37.5,17.116329922036442,8,8,"[29, 85, 307]","[29, 85, 307]"
Train,32,17,25.0,7.654655446197431,23.52941176470588,10.287936849355367,15,5,"[324, 768, 1205, 1326]","[52, 309, 324, 768, 964, 1205, 1326, 1557]"
Val,16,6,43.75,12.401959270615269,50.0,20.41241452319315,10,4,"[65, 246, 368]","[65, 246, 282, 324, 325, 368, 372]"
Train,33,17,30.303030303030305,8.000055652754638,23.52941176470588,10.287936849355367,17,6,"[305, 356, 698, 793]","[29, 84, 305, 356, 664, 698, 772, 793, 906, 1592]"
Val,10,8,40.0,15.491933384829668,50.0,17.67766952966369,9,9,"[27, 152, 347, 409]","[27, 152, 347, 409]"
Train,34,12,35.294117647058826,8.195653482579246,33.33333333333333,13.608276348795433,20,5,"[354, 1285, 1532, 1654]","[94, 354, 428, 447, 562, 1248, 1285, 1532, 1568, 1610, 1611, 1654]"
Val,20,19,55.00000000000001,11.124297730643494,52.63157894736842,11.454888159631764,19,17,"[43, 88, 129, 254, 264, 273, 297, 309, 426, 484]","[43, 88, 129, 254, 264, 273, 295, 297, 309, 426, 484]"
Train,35,19,60.0,8.28078671210825,52.63157894736842,11.454888159631764,37,19,"[67, 76, 137, 869, 903, 1150, 1272, 1318, 1537, 1711]","[46, 65, 67, 70, 76, 137, 180, 319, 866, 869, 903, 1150, 1186, 1228, 1229, 1272, 1276, 1318, 1537, 1702, 1711]"
Val,11,10,72.72727272727273,13.428162652290842,70.0,14.491376746189438,14,13,"[23, 147, 246, 399, 452, 454, 456]","[23, 147, 246, 372, 399, 452, 454, 456]"
Train,37,27,51.35135135135135,8.216946643938353,55.55555555555556,9.562921842487448,61,31,"[366, 830, 905, 1030, 1086, 1225, 1277, 1281, 1287, 1358, 1403, 1444, 1579, 1741, 1799]","[366, 830, 905, 1030, 1086, 1225, 1277, 1279, 1281, 1287, 1315, 1356, 1358, 1403, 1444, 1460, 1579, 1741, 1799]"
Val,24,23,50.0,10.206207261596575,47.82608695652174,10.41586186310466,17,16,"[35, 150, 151, 238, 239, 277, 278, 296, 405, 434, 441]","[35, 131, 150, 151, 238, 239, 277, 278, 296, 405, 434, 441]"
