split,anomalies,anomalies_sc,agg_value,agg_error,agg_value_sc,agg_error_sc,agg_total_eq,agg_total_eq_sc,seismic_indices_sc,seismic_indices
Val,28,19,28.57142857142857,8.537347209531383,26.31578947368421,10.102261788814666,24,12,"[12, 144, 184, 187, 377]","[12, 144, 184, 187, 208, 317, 320, 377]"
Train,32,7,43.75,8.769509500251425,71.42857142857143,17.074694419062766,26,11,"[142, 348, 416, 627, 1477]","[4, 15, 39, 71, 73, 95, 132, 142, 348, 392, 416, 627, 684, 1477]"
Val,31,20,51.61290322580645,8.975591530841967,50.0,11.180339887498949,34,22,"[67, 119, 137, 141, 144, 174, 281, 315, 388, 411]","[46, 65, 67, 70, 119, 137, 141, 144, 174, 180, 281, 315, 319, 388, 411, 419]"
Train,31,12,32.25806451612903,8.395897088010118,50.0,14.433756729740644,16,9,"[90, 95, 285, 702, 1057, 1146]","[83, 90, 95, 285, 430, 685, 702, 1057, 1146, 1454]"
Val,11,6,18.181818181818183,11.629129983033296,16.666666666666664,15.214515486254616,9,6,[29],"[29, 230]"
Train,32,16,34.375,8.396166117267452,37.5,12.103072956898178,17,9,"[64, 324, 768, 1205, 1312, 1326]","[51, 52, 64, 324, 369, 768, 1184, 1203, 1205, 1312, 1326]"
Val,13,7,30.76923076923077,12.800773759043748,14.285714285714285,13.226001425322165,5,1,[57],"[57, 282, 324, 325]"
Train,33,23,39.39393939393939,8.505811700208934,30.434782608695656,9.594387554215139,33,17,"[267, 356, 793, 863, 914, 1197, 1257]","[267, 356, 552, 772, 791, 793, 863, 906, 914, 1145, 1197, 1257, 1302]"
Val,8,6,62.5,17.116329922036442,66.66666666666666,19.245008972987527,10,9,"[34, 46, 399, 428]","[34, 46, 399, 401, 428]"
Train,34,22,32.35294117647059,8.023094083513456,27.27272727272727,9.495144870310792,18,10,"[12, 449, 519, 570, 913, 1285]","[12, 447, 449, 519, 570, 801, 913, 958, 1285, 1610, 1611]"
Val,27,24,48.148148148148145,9.615902424319279,41.66666666666667,10.063456073742664,48,16,"[43, 57, 88, 254, 264, 273, 325, 379, 426, 484]","[0, 43, 57, 88, 146, 254, 264, 273, 295, 325, 379, 426, 484]"
Train,35,22,62.857142857142854,8.167345918877231,59.09090909090909,10.482356110715555,41,26,"[67, 137, 144, 174, 188, 903, 1150, 1272, 1704, 1706, 1711, 1717, 1724]","[46, 65, 67, 137, 144, 174, 180, 188, 319, 330, 419, 903, 1150, 1186, 1228, 1229, 1272, 1704, 1706, 1711, 1717, 1724]"
Val,11,9,54.54545454545454,15.0131422517231,55.55555555555556,16.56346649999844,8,7,"[97, 147, 399, 452, 468]","[97, 147, 372, 399, 452, 468]"
Train,37,29,37.83783783783784,7.973065827541162,37.93103448275862,9.010224214255711,52,23,"[830, 905, 1277, 1281, 1287, 1306, 1358, 1579, 1588, 1741, 1799]","[818, 830, 905, 1156, 1277, 1281, 1287, 1306, 1315, 1358, 1579, 1588, 1741, 1799]"
Val,25,24,52.0,9.991996797437437,54.166666666666664,10.170707302692229,20,20,"[35, 39, 150, 151, 204, 238, 239, 278, 296, 399, 405, 434, 441]","[35, 39, 150, 151, 204, 238, 239, 278, 296, 399, 405, 434, 441]"
Train,37,21,43.24324324324324,8.144549227036583,38.095238095238095,10.597116957413082,30,20,"[246, 802, 807, 813, 886, 1120, 1316, 1478]","[246, 282, 324, 325, 335, 802, 804, 807, 813, 886, 987, 1120, 1316, 1434, 1471, 1478]"
Val,12,10,58.333333333333336,14.231876063832777,70.0,14.491376746189438,14,14,"[61, 175, 242, 341, 365, 374, 400]","[61, 175, 242, 341, 365, 374, 400]"
Train,39,34,61.53846153846154,7.790302823720512,58.82352941176471,8.440353576228697,61,30,"[152, 277, 399, 403, 409, 480, 525, 701, 746, 863, 920, 921, 1079, 1331, 1384, 1436, 1472, 1677, 1727, 1893]","[152, 277, 399, 403, 409, 437, 478, 480, 525, 581, 701, 732, 746, 863, 920, 921, 1079, 1331, 1384, 1436, 1472, 1677, 1727, 1893]"
Val,9,7,55.55555555555556,16.56346649999844,57.14285714285714,18.704390591656487,14,9,"[173, 372, 382, 431]","[20, 173, 372, 382, 431]"
