split,anomalies,anomalies_sc,agg_value,agg_error,agg_value_sc,agg_error_sc,agg_total_eq,agg_total_eq_sc,seismic_indices_sc,seismic_indices
Val,38,24,23.684210526315788,6.896755958184694,16.666666666666664,7.607257743127308,27,12,"[12, 144, 184, 241]","[12, 105, 144, 184, 208, 241, 317, 320, 324]"
Train,32,9,43.75,8.769509500251425,77.77777777777779,13.857990321384966,30,17,"[142, 143, 348, 416, 627, 705, 1477]","[4, 15, 39, 71, 73, 95, 132, 142, 143, 348, 416, 627, 705, 1477]"
Val,45,34,40.0,7.302967433402214,41.17647058823529,8.440353576228697,36,28,"[67, 119, 123, 137, 141, 144, 174, 188, 191, 281, 315, 382, 388, 411]","[46, 65, 67, 119, 123, 137, 141, 144, 174, 180, 188, 191, 281, 315, 319, 382, 388, 411]"
Train,31,13,35.483870967741936,8.593474639776307,53.84615384615385,13.826415911891033,15,11,"[90, 207, 285, 442, 702, 1057, 1146]","[90, 207, 264, 285, 430, 442, 685, 702, 819, 1057, 1146]"
Val,17,12,23.52941176470588,10.287936849355367,33.33333333333333,13.608276348795433,9,9,"[29, 134, 156, 307]","[29, 134, 156, 307]"
Train,32,16,40.625,8.682074519880027,43.75,12.401959270615269,24,9,"[64, 324, 679, 768, 1205, 1326, 1526]","[52, 64, 307, 324, 679, 768, 964, 1184, 1203, 1205, 1318, 1326, 1526]"
Val,17,8,29.411764705882355,11.051016901502637,25.0,15.309310892394862,6,2,"[57, 246]","[57, 246, 282, 324, 325]"
Train,33,23,39.39393939393939,8.505811700208934,34.78260869565217,9.931134621220187,30,16,"[267, 305, 356, 793, 863, 870, 900, 914]","[267, 305, 356, 552, 772, 791, 793, 863, 870, 900, 906, 914, 1302]"
Val,9,6,55.55555555555556,16.56346649999844,50.0,20.41241452319315,10,8,"[34, 399, 428]","[34, 278, 399, 401, 428]"
Train,34,22,38.23529411764706,8.334181380283407,36.36363636363637,10.255928633050294,28,20,"[12, 449, 519, 556, 570, 853, 880, 1285]","[12, 447, 449, 519, 556, 570, 801, 853, 880, 958, 1285, 1610, 1611]"
Val,21,20,52.38095238095239,10.898516862311034,50.0,11.180339887498949,17,16,"[43, 88, 129, 264, 273, 325, 379, 426, 427, 484]","[43, 88, 129, 264, 273, 325, 379, 426, 427, 444, 484]"
Train,35,23,40.0,8.28078671210825,34.78260869565217,9.931134621220187,25,16,"[67, 137, 174, 188, 531, 902, 903, 1711]","[65, 67, 137, 174, 188, 419, 531, 576, 902, 903, 1228, 1229, 1708, 1711]"
Val,13,10,53.84615384615385,13.826415911891033,50.0,15.811388300841896,16,7,"[97, 147, 399, 452, 468]","[77, 97, 147, 372, 399, 452, 468]"
Train,37,30,51.35135135135135,8.216946643938353,46.666666666666664,9.108400680852977,54,22,"[366, 395, 924, 933, 1107, 1277, 1281, 1306, 1358, 1403, 1579, 1588, 1741, 1799]","[366, 395, 924, 933, 1107, 1277, 1279, 1281, 1285, 1306, 1315, 1358, 1403, 1460, 1579, 1588, 1741, 1759, 1799]"
Val,31,28,64.51612903225806,8.593474639776307,60.71428571428571,9.229618630166094,37,30,"[35, 39, 150, 151, 204, 238, 239, 278, 296, 357, 405, 427, 434, 441, 453, 458, 465]","[35, 39, 117, 131, 132, 150, 151, 204, 238, 239, 278, 296, 357, 405, 427, 434, 441, 453, 458, 465]"
Train,37,23,43.24324324324324,8.144549227036583,52.17391304347826,10.41586186310466,30,24,"[65, 214, 236, 246, 802, 807, 813, 886, 1120, 1316, 1443, 1478]","[65, 214, 236, 246, 282, 324, 325, 335, 802, 807, 813, 886, 1120, 1316, 1443, 1478]"
Val,12,12,66.66666666666666,13.608276348795433,66.66666666666666,13.608276348795433,15,15,"[61, 62, 175, 242, 341, 365, 374, 400]","[61, 62, 175, 242, 341, 365, 374, 400]"
Train,39,32,66.66666666666666,7.548513560963972,59.375,8.682074519880027,66,32,"[152, 399, 403, 409, 480, 525, 566, 701, 863, 1079, 1331, 1384, 1388, 1400, 1436, 1472, 1677, 1829, 1893]","[12, 152, 165, 399, 401, 403, 409, 437, 478, 480, 525, 566, 582, 701, 863, 881, 1079, 1331, 1384, 1388, 1400, 1436, 1472, 1677, 1829, 1893]"
Val,6,6,50.0,20.41241452319315,50.0,20.41241452319315,6,6,"[173, 382, 431]","[173, 382, 431]"
Train,39,34,56.41025641025641,7.94033618863734,52.94117647058824,8.560080883635282,57,27,"[43, 88, 129, 264, 484, 642, 727, 894, 947, 999, 1035, 1240, 1446, 1456, 1585, 1651, 1685, 1799]","[0, 41, 43, 88, 129, 264, 484, 642, 727, 894, 947, 999, 1035, 1240, 1446, 1456, 1585, 1636, 1651, 1685, 1782, 1799]"
Val,11,10,54.54545454545454,15.0131422517231,50.0,15.811388300841896,8,6,"[115, 154, 239, 426, 461]","[115, 154, 239, 357, 426, 461]"
Train,38,32,44.73684210526316,8.066009201997748,43.75,8.769509500251425,35,24,"[147, 399, 452, 504, 578, 745, 913, 951, 1090, 1156, 1190, 1518, 1616, 1678]","[77, 147, 399, 452, 504, 578, 745, 913, 951, 1090, 1156, 1190, 1287, 1466, 1518, 1616, 1678]"
Val,18,14,50.0,11.785113019775793,42.857142857142854,13.226001425322162,21,17,"[29, 39, 67, 110, 215, 273]","[29, 39, 47, 67, 110, 172, 215, 257, 273]"
