split,anomalies,anomalies_sc,agg_value,agg_error,agg_value_sc,agg_error_sc,agg_total_eq,agg_total_eq_sc,seismic_indices_sc,seismic_indices
Val,33,23,27.27272727272727,7.752753322022198,26.08695652173913,9.156053715170007,23,15,"[12, 91, 144, 184, 187, 241]","[12, 91, 144, 184, 187, 241, 317, 320, 324]"
Train,32,10,43.75,8.769509500251425,60.0,15.491933384829668,23,12,"[142, 348, 416, 627, 862, 1477]","[4, 71, 73, 95, 132, 142, 348, 392, 416, 627, 684, 850, 862, 1477]"
Val,38,26,44.73684210526316,8.066009201997748,50.0,9.805806756909202,37,29,"[67, 119, 123, 137, 141, 144, 174, 188, 258, 281, 315, 388, 411]","[46, 65, 67, 119, 123, 137, 141, 144, 174, 180, 188, 258, 281, 315, 319, 388, 411]"
Train,31,17,32.25806451612903,8.395897088010118,47.05882352941176,12.105782480647683,16,12,"[78, 90, 207, 285, 442, 702, 1057, 1146]","[78, 90, 207, 285, 429, 430, 442, 702, 1057, 1146]"
Val,10,6,20.0,12.64911064067352,33.33333333333333,19.245008972987527,7,7,"[29, 366]","[29, 366]"
Train,32,17,37.5,8.558164961018221,41.17647058823529,11.936462498726879,25,12,"[26, 64, 324, 679, 768, 1312, 1326]","[26, 51, 52, 64, 324, 369, 679, 768, 964, 1203, 1312, 1326]"
Val,15,5,40.0,12.649110640673516,40.0,21.908902300206645,7,2,"[206, 246]","[206, 246, 282, 324, 325, 328]"
Train,33,21,39.39393939393939,8.505811700208934,33.33333333333333,10.286889997472795,30,15,"[267, 305, 356, 793, 863, 900, 914]","[231, 267, 305, 356, 552, 772, 791, 793, 863, 900, 906, 914, 1302]"
Val,10,7,50.0,15.811388300841896,57.14285714285714,18.704390591656487,10,9,"[34, 226, 399, 428]","[34, 226, 399, 401, 428]"
Train,34,23,44.11764705882353,8.515380416833713,39.130434782608695,10.176384751376007,34,23,"[12, 505, 519, 556, 570, 853, 880, 1285, 1532]","[12, 428, 447, 505, 519, 556, 562, 570, 701, 853, 880, 1285, 1532, 1610, 1611]"
Val,29,26,48.275862068965516,9.279245191499012,46.15384615384615,9.776752450803732,45,16,"[43, 75, 88, 205, 264, 273, 297, 309, 379, 426, 464, 484]","[0, 43, 75, 88, 205, 264, 273, 295, 297, 309, 379, 426, 464, 484]"
Train,35,21,65.71428571428571,8.0232897144853,61.904761904761905,10.597116957413082,45,29,"[58, 67, 137, 144, 174, 471, 501, 844, 903, 1150, 1342, 1704, 1711]","[46, 58, 67, 70, 137, 144, 174, 180, 471, 501, 576, 844, 903, 928, 1150, 1186, 1228, 1229, 1239, 1342, 1704, 1708, 1711]"
Val,10,6,60.0,15.491933384829668,66.66666666666666,19.245008972987527,15,6,"[97, 147, 399, 452]","[77, 97, 147, 372, 399, 452]"
Train,37,28,37.83783783783784,7.973065827541162,39.285714285714285,9.229618630166096,51,22,"[830, 1277, 1281, 1306, 1358, 1403, 1414, 1579, 1588, 1741, 1799]","[830, 1277, 1279, 1281, 1306, 1315, 1358, 1403, 1414, 1579, 1588, 1741, 1759, 1799]"
Val,33,30,60.60606060606061,8.505811700208934,60.0,8.94427190999916,36,35,"[35, 39, 150, 151, 204, 238, 239, 278, 296, 312, 392, 399, 405, 409, 434, 441, 458, 465]","[35, 39, 150, 151, 204, 238, 239, 278, 283, 296, 312, 377, 392, 399, 405, 409, 434, 441, 458, 465]"
Train,37,24,51.35135135135135,8.216946643938353,45.83333333333333,10.170707302692229,36,25,"[65, 246, 490, 802, 807, 813, 886, 1120, 1316, 1478, 1572]","[65, 246, 282, 324, 325, 335, 372, 490, 802, 804, 807, 813, 886, 987, 1120, 1132, 1316, 1478, 1572]"
Val,13,11,69.23076923076923,12.800773759043748,72.72727272727273,13.428162652290842,17,15,"[61, 62, 175, 242, 341, 365, 374, 400]","[61, 62, 175, 242, 341, 351, 365, 374, 400]"
Train,39,34,56.41025641025641,7.94033618863734,55.88235294117647,8.515380416833713,59,30,"[399, 403, 409, 428, 480, 525, 701, 710, 863, 921, 1079, 1331, 1384, 1436, 1472, 1677, 1829, 1883, 1893]","[293, 399, 403, 409, 428, 437, 480, 525, 701, 710, 863, 881, 921, 1079, 1331, 1384, 1436, 1472, 1677, 1829, 1883, 1893]"
Val,9,8,55.55555555555556,16.56346649999844,62.5,17.116329922036442,11,11,"[142, 173, 372, 382, 431]","[142, 173, 372, 382, 431]"
Train,39,31,53.84615384615385,7.9826849486580125,48.38709677419355,8.975591530841967,61,21,"[43, 642, 894, 947, 999, 1035, 1240, 1392, 1430, 1446, 1456, 1651, 1685, 1799, 1860]","[0, 43, 444, 572, 642, 894, 947, 999, 1035, 1240, 1392, 1430, 1446, 1456, 1491, 1495, 1636, 1651, 1685, 1799, 1860]"
