split,anomalies,anomalies_sc,agg_value,agg_error,agg_value_sc,agg_error_sc,agg_total_eq,agg_total_eq_sc,seismic_indices_sc,seismic_indices
Val,42,29,28.57142857142857,6.970714806775237,24.137931034482758,7.946270842617656,30,15,"[12, 128, 144, 184, 187, 241, 377]","[12, 105, 128, 144, 184, 187, 208, 241, 317, 320, 324, 377]"
Train,32,9,46.875,8.821554523934543,77.77777777777779,13.857990321384966,29,17,"[142, 143, 348, 416, 627, 862, 1477]","[4, 39, 71, 73, 95, 132, 142, 143, 348, 392, 416, 627, 684, 862, 1477]"
Val,35,28,34.285714285714285,8.0232897144853,39.285714285714285,9.229618630166096,24,23,"[67, 119, 123, 137, 141, 144, 188, 281, 315, 388, 411]","[46, 67, 119, 123, 137, 141, 144, 188, 281, 315, 388, 411]"
Train,31,14,35.483870967741936,8.593474639776307,35.714285714285715,12.806020814297073,22,7,"[207, 263, 285, 715, 1146]","[207, 263, 264, 285, 430, 685, 715, 1146, 1228, 1342, 1454]"
Val,8,5,12.5,11.692679333668567,20.0,17.888543819998322,1,1,[134],[134]
Train,32,16,43.75,8.769509500251425,50.0,12.5,29,18,"[64, 324, 768, 1275, 1312, 1326, 1419, 1549]","[52, 64, 307, 309, 324, 369, 768, 964, 1185, 1275, 1312, 1326, 1419, 1549]"
Val,19,8,31.57894736842105,10.663920529041638,25.0,15.309310892394862,10,5,"[163, 214]","[163, 214, 282, 324, 325, 328]"
Train,33,25,48.484848484848484,8.699885606851797,40.0,9.797958971132712,34,23,"[121, 127, 267, 341, 356, 793, 863, 900, 914, 1197]","[121, 127, 231, 267, 341, 356, 772, 791, 793, 863, 900, 906, 914, 1145, 1197, 1302]"
Val,17,13,41.17647058823529,11.936462498726879,46.15384615384615,13.826415911891033,12,11,"[34, 55, 226, 235, 399, 428]","[34, 55, 226, 235, 399, 401, 428]"
Train,34,23,52.94117647058824,8.560080883635282,47.82608695652174,10.41586186310466,35,26,"[12, 91, 449, 505, 519, 556, 570, 853, 880, 1285, 1532]","[12, 91, 428, 447, 449, 505, 519, 556, 570, 701, 853, 880, 958, 1285, 1532, 1610, 1611, 1614]"
Val,28,26,46.42857142857143,9.424976123424065,42.30769230769231,9.689066801072672,43,15,"[43, 124, 264, 273, 325, 379, 421, 426, 427, 464, 484]","[0, 43, 124, 264, 273, 325, 379, 421, 426, 427, 444, 464, 484]"
Train,35,22,54.285714285714285,8.42043882986294,40.909090909090914,10.482356110715555,36,23,"[67, 137, 144, 174, 188, 471, 903, 1150, 1706]","[65, 67, 137, 144, 174, 188, 319, 419, 471, 576, 903, 928, 1150, 1186, 1228, 1229, 1702, 1706, 1708]"
