split,anomalies,anomalies_sc,agg_value,agg_error,agg_value_sc,agg_error_sc,agg_total_eq,agg_total_eq_sc,seismic_indices_sc,seismic_indices
Val,21,15,57.14285714,10.79898494,60,12.64911064,25,16,"[12, 16, 90, 128, 184, 305, 326, 352, 377]","[12, 16, 59, 90, 128, 184, 305, 320, 321, 326, 352, 377]"
Train,32,8,62.5,8.558164961,87.5,11.69267933,50,19,"[142, 143, 296, 348, 627, 1122, 1515]","[4, 14, 39, 71, 72, 73, 95, 132, 142, 143, 296, 348, 627, 632, 684, 849, 850, 1122, 1361, 1515]"
Val,31,19,58.06451613,8.862686514,57.89473684,11.32689657,35,24,"[62, 67, 119, 188, 231, 281, 315, 383, 388, 411, 421]","[46, 62, 65, 67, 70, 119, 135, 188, 231, 281, 315, 319, 324, 383, 388, 411, 419, 421]"
Train,31,13,41.93548387,8.862686514,61.53846154,13.4932003,27,13,"[207, 285, 373, 702, 1075, 1146, 1150, 1439]","[207, 212, 264, 285, 373, 429, 430, 702, 941, 1075, 1146, 1150, 1439]"
Val,14,9,21.42857143,10.96642105,11.11111111,10.47565602,4,1,[85],"[85, 412, 413]"
Train,32,16,50,8.838834765,62.5,12.10307296,31,16,"[324, 750, 768, 772, 1061, 1200, 1205, 1232, 1326, 1369]","[51, 52, 307, 324, 750, 768, 772, 1061, 1200, 1203, 1205, 1232, 1273, 1326, 1369, 1557]"
Val,16,5,43.75,12.40195927,40,21.9089023,14,6,"[57, 246]","[57, 246, 282, 289, 324, 325, 328]"
Train,33,22,69.6969697,8.000055653,72.72727273,9.49514487,47,33,"[40, 127, 267, 356, 360, 649, 788, 793, 858, 863, 914, 957, 1126, 1147, 1356, 1404]","[40, 127, 231, 267, 356, 360, 649, 772, 788, 791, 793, 858, 861, 863, 914, 957, 1126, 1145, 1147, 1302, 1356, 1404, 1592]"
Val,10,5,60,15.49193338,60,21.9089023,17,13,"[300, 399, 428]","[85, 278, 300, 399, 401, 428]"
Train,34,21,64.70588235,8.195653483,66.66666667,10.28689,49,33,"[12, 16, 305, 445, 449, 514, 519, 556, 570, 613, 803, 1060, 1285, 1532]","[12, 16, 305, 428, 445, 447, 449, 514, 517, 519, 556, 570, 613, 801, 803, 958, 1060, 1285, 1532, 1610, 1611, 1614]"
Val,26,20,69.23076923,9.051513929,65,10.6653645,84,26,"[43, 88, 200, 238, 254, 264, 273, 325, 353, 379, 399, 426, 484]","[0, 43, 88, 145, 146, 200, 238, 254, 264, 273, 285, 325, 353, 379, 399, 426, 444, 484]"
Train,35,24,77.14285714,7.097817182,75,8.838834765,69,52,"[67, 132, 137, 144, 174, 188, 231, 421, 678, 896, 903, 1150, 1342, 1563, 1586, 1704, 1706, 1711]","[46, 65, 67, 132, 135, 137, 144, 174, 188, 231, 421, 576, 678, 866, 896, 903, 1150, 1186, 1228, 1229, 1342, 1563, 1586, 1704, 1706, 1708, 1711]"
Val,9,7,77.77777778,13.85799032,71.42857143,17.07469442,16,12,"[97, 147, 399, 452, 453]","[75, 97, 147, 372, 399, 452, 453]"
Train,37,30,64.86486486,7.848284014,60,8.94427191,98,44,"[46, 366, 485, 688, 710, 830, 1178, 1180, 1277, 1281, 1306, 1358, 1515, 1579, 1588, 1668, 1741, 1799]","[46, 366, 413, 485, 688, 710, 778, 830, 1156, 1178, 1180, 1277, 1279, 1281, 1306, 1315, 1358, 1515, 1579, 1588, 1668, 1741, 1759, 1799]"
Val,26,24,73.07692308,8.698929247,70.83333333,9.278048067,47,43,"[2, 35, 39, 53, 150, 151, 204, 238, 239, 254, 278, 367, 405, 409, 434, 441, 458]","[2, 35, 39, 53, 131, 150, 151, 204, 238, 239, 254, 278, 367, 377, 405, 409, 434, 441, 458]"
Train,37,24,59.45945946,8.071502467,54.16666667,10.1707073,56,38,"[118, 246, 659, 746, 802, 807, 886, 1120, 1202, 1316, 1478, 1572, 1781]","[118, 223, 246, 282, 324, 325, 335, 659, 746, 802, 804, 807, 886, 985, 987, 1120, 1202, 1316, 1401, 1478, 1572, 1781]"
Val,11,10,72.72727273,13.42816265,80,12.64911064,12,12,"[56, 61, 62, 113, 242, 341, 374, 400]","[56, 61, 62, 113, 242, 341, 374, 400]"
Train,39,34,69.23076923,7.390530176,67.64705882,8.023094084,112,60,"[300, 399, 403, 409, 428, 480, 675, 701, 710, 790, 863, 921, 1079, 1331, 1384, 1436, 1472, 1583, 1677, 1789, 1829, 1882, 1883]","[300, 399, 401, 403, 409, 428, 437, 480, 582, 675, 701, 710, 790, 863, 921, 1007, 1079, 1331, 1384, 1436, 1472, 1583, 1677, 1789, 1829, 1882, 1883]"
Val,6,6,50,20.41241452,50,20.41241452,11,11,"[173, 382, 431]","[173, 382, 431]"
Train,39,35,61.53846154,7.790302824,60,8.280786712,103,52,"[43, 182, 238, 264, 273, 353, 426, 484, 642, 894, 947, 948, 999, 1035, 1146, 1240, 1446, 1585, 1685, 1860, 1874]","[0, 43, 145, 182, 238, 264, 273, 353, 426, 484, 570, 642, 894, 947, 948, 999, 1035, 1146, 1240, 1446, 1585, 1685, 1860, 1874]"
Val,16,14,81.25,9.757809372,78.57142857,10.96642105,34,30,"[114, 115, 136, 142, 154, 191, 214, 240, 284, 326, 426]","[114, 115, 136, 142, 154, 191, 214, 240, 284, 326, 357, 418, 426]"
Train,38,32,60.52631579,7.929287278,56.25,8.7695095,63,48,"[147, 399, 452, 453, 461, 468, 504, 540, 651, 745, 951, 1090, 1190, 1365, 1379, 1393, 1416, 1678]","[75, 77, 147, 399, 452, 453, 461, 468, 504, 540, 651, 745, 951, 1090, 1141, 1190, 1281, 1365, 1379, 1393, 1416, 1515, 1678]"
Val,18,15,77.77777778,9.79907893,73.33333333,11.41798451,35,30,"[5, 39, 67, 110, 115, 215, 267, 273, 305, 354, 364]","[5, 39, 47, 67, 110, 115, 172, 215, 257, 267, 273, 305, 354, 364]"
Train,38,33,81.57894737,6.288607249,84.84848485,6.241559401,68,63,"[2, 35, 53, 151, 238, 239, 254, 367, 405, 434, 537, 538, 589, 718, 817, 841, 850, 876, 1121, 1226, 1330, 1379, 1505, 1522, 1540, 1792, 1810, 1835]","[2, 35, 53, 131, 151, 238, 239, 254, 367, 405, 434, 537, 538, 589, 718, 817, 841, 850, 876, 1022, 1121, 1226, 1330, 1379, 1505, 1522, 1540, 1748, 1792, 1810, 1835]"
Val,12,12,41.66666667,14.23187606,41.66666667,14.23187606,11,11,"[15, 78, 218, 281, 452]","[15, 78, 218, 281, 452]"
Train,37,30,78.37837838,6.76770479,76.66666667,7.72202238,67,57,"[61, 62, 113, 242, 341, 365, 400, 543, 641, 703, 729, 739, 1027, 1048, 1103, 1338, 1428, 1462, 1522, 1538, 1734, 1778, 1792]","[61, 62, 113, 242, 341, 365, 400, 540, 543, 641, 703, 729, 739, 1027, 1048, 1103, 1269, 1330, 1338, 1428, 1462, 1470, 1522, 1538, 1595, 1680, 1734, 1778, 1792]"
Val,11,9,63.63636364,14.50407337,66.66666667,15.71348403,22,21,"[76, 166, 190, 238, 243, 309]","[33, 76, 166, 190, 238, 243, 309]"
Train,37,31,67.56756757,7.695875641,61.29032258,8.748324477,58,48,"[169, 231, 257, 267, 555, 576, 631, 866, 956, 990, 1061, 1066, 1166, 1251, 1262, 1320, 1419, 1559, 1793]","[68, 169, 231, 257, 267, 555, 576, 631, 797, 858, 866, 956, 990, 998, 1061, 1066, 1123, 1166, 1208, 1251, 1262, 1320, 1419, 1559, 1793]"
