split,anomalies,anomalies_sc,agg_value,agg_error,agg_value_sc,agg_error_sc,agg_total_eq,agg_total_eq_sc,seismic_indices_sc,seismic_indices
Val,32,22,50,8.838834765,50,10.66003582,37,27,"[12, 16, 144, 184, 187, 241, 305, 314, 326, 352, 377]","[12, 16, 59, 105, 144, 184, 187, 241, 305, 314, 317, 320, 321, 326, 352, 377]"
Train,32,8,56.25,8.7695095,75,15.30931089,53,22,"[142, 143, 348, 416, 627, 1477]","[4, 14, 15, 39, 71, 72, 73, 95, 132, 142, 143, 348, 392, 416, 627, 632, 684, 1477]"
Val,35,25,60,8.280786712,64,9.6,65,62,"[62, 67, 119, 123, 137, 141, 144, 174, 188, 231, 281, 315, 383, 388, 411, 421]","[46, 62, 67, 119, 123, 135, 137, 141, 144, 174, 180, 188, 231, 281, 315, 319, 324, 383, 388, 411, 421]"
Train,31,13,51.61290323,8.975591531,69.23076923,12.80077376,37,15,"[90, 151, 207, 285, 373, 702, 1146, 1150, 1439]","[83, 90, 151, 207, 212, 264, 285, 373, 429, 430, 685, 702, 1146, 1150, 1439, 1454]"
Val,14,8,35.71428571,12.80602081,37.5,17.11632992,9,6,"[46, 54, 225]","[46, 54, 225, 412, 413]"
Train,32,14,56.25,8.7695095,78.57142857,10.96642105,32,21,"[0, 324, 768, 772, 1061, 1200, 1205, 1232, 1253, 1312, 1369]","[0, 51, 52, 309, 324, 643, 768, 772, 1061, 1184, 1200, 1205, 1232, 1253, 1273, 1312, 1318, 1369]"
Val,12,4,41.66666667,14.23187606,50,25,10,4,"[57, 214]","[57, 214, 282, 324, 325]"
Train,33,24,63.63636364,8.373930663,62.5,9.882117688,44,34,"[305, 356, 360, 649, 788, 793, 820, 858, 863, 900, 914, 957, 1147, 1404, 1525]","[305, 356, 360, 649, 772, 788, 791, 793, 820, 858, 861, 863, 900, 906, 914, 957, 1147, 1302, 1404, 1525, 1592]"
Val,9,7,77.77777778,13.85799032,71.42857143,17.07469442,17,15,"[226, 300, 345, 399, 428]","[226, 278, 300, 345, 399, 401, 428]"
Train,34,26,64.70588235,8.195653483,69.23076923,9.051513929,46,38,"[12, 16, 305, 435, 444, 449, 514, 519, 556, 570, 613, 647, 803, 880, 1060, 1278, 1285, 1470]","[12, 16, 305, 435, 444, 447, 449, 514, 517, 519, 556, 570, 613, 647, 803, 880, 1060, 1278, 1285, 1470, 1610, 1611]"
Val,24,21,70.83333333,9.278048067,71.42857143,9.858079419,82,33,"[43, 88, 200, 238, 264, 273, 325, 342, 353, 379, 399, 426, 427, 464, 484]","[0, 43, 88, 145, 200, 238, 264, 273, 325, 342, 353, 379, 399, 426, 427, 464, 484]"
Train,35,21,62.85714286,8.167345919,71.42857143,9.858079419,55,42,"[62, 67, 132, 137, 174, 188, 231, 421, 498, 678, 896, 903, 1563, 1706, 1711]","[46, 62, 65, 67, 132, 137, 174, 180, 188, 231, 419, 421, 498, 678, 896, 903, 1186, 1228, 1229, 1563, 1706, 1711]"
Val,13,10,76.92307692,11.68545424,80,12.64911064,23,19,"[23, 52, 97, 147, 399, 452, 453, 468]","[23, 52, 75, 97, 147, 372, 399, 452, 453, 468]"
Train,37,30,59.45945946,8.071502467,60,8.94427191,95,43,"[46, 366, 830, 1178, 1277, 1281, 1287, 1306, 1358, 1403, 1515, 1553, 1579, 1588, 1668, 1714, 1741, 1799]","[46, 366, 778, 783, 830, 1178, 1277, 1281, 1287, 1306, 1315, 1358, 1403, 1460, 1515, 1553, 1579, 1588, 1668, 1714, 1741, 1799]"
Val,27,25,77.77777778,8.000914442,76,8.541662602,49,45,"[2, 35, 39, 53, 150, 151, 204, 238, 239, 254, 278, 367, 393, 399, 405, 409, 434, 441, 458]","[2, 35, 39, 53, 150, 151, 204, 238, 239, 254, 278, 283, 367, 377, 393, 399, 405, 409, 434, 441, 458]"
Train,37,23,45.94594595,8.192885255,43.47826087,10.33665264,47,33,"[1, 246, 659, 802, 807, 886, 1120, 1316, 1478, 1572]","[1, 246, 282, 324, 325, 335, 659, 802, 804, 807, 886, 987, 1120, 1316, 1401, 1478, 1572]"
Val,12,11,66.66666667,13.60827635,72.72727273,13.42816265,17,17,"[61, 62, 113, 175, 242, 341, 365, 400]","[61, 62, 113, 175, 242, 341, 365, 400]"
Train,39,34,69.23076923,7.390530176,70.58823529,7.81424899,110,59,"[300, 399, 403, 409, 428, 480, 525, 637, 675, 701, 790, 850, 863, 921, 1079, 1331, 1384, 1385, 1436, 1583, 1677, 1867, 1882, 1883]","[300, 399, 401, 403, 409, 428, 437, 480, 525, 637, 675, 701, 790, 850, 863, 921, 1007, 1079, 1331, 1384, 1385, 1436, 1583, 1677, 1867, 1882, 1883]"
Val,5,4,80,17.88854382,75,21.65063509,12,11,"[173, 382, 431]","[111, 173, 382, 431]"
Train,39,34,66.66666667,7.548513561,64.70588235,8.195653483,106,51,"[43, 88, 238, 264, 353, 426, 484, 642, 824, 894, 947, 948, 999, 1035, 1146, 1240, 1585, 1651, 1685, 1799, 1860, 1874]","[0, 43, 88, 117, 238, 264, 353, 426, 484, 570, 642, 824, 894, 947, 948, 999, 1035, 1146, 1240, 1585, 1636, 1651, 1685, 1799, 1860, 1874]"
Val,13,12,84.61538462,10.00682516,83.33333333,10.75828707,26,23,"[114, 115, 136, 142, 154, 191, 240, 368, 426, 461]","[114, 115, 136, 142, 154, 191, 240, 357, 368, 426, 461]"
Train,38,32,63.15789474,7.825178333,59.375,8.68207452,54,45,"[147, 399, 452, 453, 504, 578, 651, 745, 935, 1090, 1156, 1190, 1304, 1379, 1393, 1404, 1487, 1678, 1798]","[75, 147, 372, 399, 452, 453, 504, 578, 651, 745, 935, 996, 1090, 1141, 1156, 1190, 1304, 1379, 1393, 1404, 1466, 1487, 1678, 1798]"
Val,18,16,72.22222222,10.55717986,68.75,11.58781014,32,28,"[5, 39, 67, 110, 115, 215, 273, 283, 305, 354, 364]","[5, 39, 67, 110, 115, 172, 215, 257, 273, 283, 305, 354, 364]"
Train,38,35,76.31578947,6.896755958,80,6.761234038,67,65,"[2, 35, 53, 70, 151, 238, 239, 254, 367, 405, 434, 537, 538, 589, 651, 718, 817, 841, 876, 1110, 1121, 1226, 1330, 1379, 1505, 1522, 1540, 1792]","[2, 35, 53, 70, 151, 238, 239, 254, 367, 405, 434, 537, 538, 589, 651, 718, 817, 841, 876, 1110, 1121, 1226, 1330, 1379, 1505, 1522, 1540, 1748, 1792]"
Val,13,13,46.15384615,13.82641591,46.15384615,13.82641591,12,12,"[28, 78, 218, 281, 287, 452]","[28, 78, 218, 281, 287, 452]"
Train,37,29,75.67567568,7.053386533,72.4137931,8.299609211,56,44,"[61, 62, 113, 242, 341, 400, 641, 703, 729, 739, 1027, 1048, 1103, 1338, 1373, 1428, 1462, 1490, 1533, 1768, 1792]","[61, 62, 113, 242, 341, 400, 491, 641, 703, 729, 739, 1027, 1048, 1103, 1269, 1338, 1373, 1428, 1462, 1470, 1490, 1533, 1534, 1589, 1595, 1680, 1768, 1792]"
Val,11,9,54.54545455,15.01314225,55.55555556,16.5634665,21,20,"[76, 190, 238, 243, 309]","[33, 76, 190, 238, 243, 309]"
Train,37,31,70.27027027,7.514159864,67.74193548,8.395897088,58,49,"[152, 169, 231, 267, 555, 576, 631, 866, 901, 956, 990, 1018, 1061, 1066, 1166, 1224, 1262, 1369, 1419, 1559, 1793]","[68, 152, 169, 231, 267, 555, 576, 631, 797, 858, 866, 901, 956, 990, 1018, 1061, 1066, 1123, 1166, 1208, 1224, 1262, 1369, 1419, 1559, 1793]"
Val,12,9,75,12.5,88.88888889,10.47565602,43,42,"[30, 100, 113, 331, 333, 420, 452, 453]","[30, 100, 113, 331, 333, 420, 452, 453, 454]"
Train,37,30,67.56756757,7.695875641,66.66666667,8.606629658,60,52,"[115, 136, 142, 191, 426, 461, 516, 540, 550, 626, 784, 822, 929, 979, 1061, 1119, 1353, 1587, 1640, 1706]","[115, 136, 142, 191, 357, 418, 426, 461, 516, 540, 550, 557, 626, 768, 784, 822, 929, 979, 1061, 1119, 1353, 1430, 1587, 1640, 1706]"
Val,11,11,54.54545455,15.01314225,54.54545455,15.01314225,20,20,"[63, 111, 320, 322, 345, 410]","[63, 111, 320, 322, 345, 410]"
Train,36,27,66.66666667,7.856742013,66.66666667,9.072184233,81,74,"[4, 5, 39, 52, 215, 273, 300, 311, 369, 418, 468, 608, 842, 1076, 1129, 1195, 1730, 1765]","[4, 5, 39, 46, 47, 52, 172, 215, 257, 273, 300, 311, 369, 418, 468, 608, 842, 919, 1076, 1129, 1195, 1730, 1762, 1765]"
