split,anomalies,anomalies_sc,agg_value,agg_error,agg_value_sc,agg_error_sc,agg_total_eq,agg_total_eq_sc,seismic_indices_sc,seismic_indices
Val,33,20,54.54545454545454,8.667841720414476,55.00000000000001,11.124297730643494,47,30,"[12, 16, 91, 126, 128, 144, 184, 241, 305, 314, 352]","[12, 16, 91, 105, 126, 128, 144, 184, 208, 241, 305, 314, 317, 320, 321, 324, 352, 357]"
Train,32,10,59.375,8.682074519880027,80.0,12.649110640673516,38,19,"[142, 296, 348, 509, 627, 705, 1122, 1477]","[4, 14, 39, 71, 72, 73, 95, 132, 142, 290, 296, 348, 392, 509, 627, 705, 1122, 1361, 1477]"
Val,29,20,72.41379310344827,8.299609211231937,75.0,9.682458365518542,60,54,"[62, 67, 94, 119, 137, 141, 174, 231, 281, 315, 356, 383, 388, 411, 421]","[45, 46, 47, 62, 67, 94, 119, 135, 137, 141, 174, 231, 281, 315, 319, 324, 356, 383, 388, 411, 421]"
Train,31,13,54.83870967741935,8.938114993337113,84.61538461538461,10.006825162892168,35,18,"[89, 90, 151, 285, 589, 702, 1057, 1128, 1146, 1150, 1439]","[83, 89, 90, 151, 212, 285, 430, 589, 702, 747, 941, 1057, 1128, 1146, 1150, 1439, 1454]"
Val,12,6,25.0,12.5,16.666666666666664,15.214515486254616,14,11,[29],"[29, 412, 413]"
Train,32,16,50.0,8.838834764831844,62.5,12.103072956898178,30,21,"[64, 324, 768, 772, 1061, 1205, 1232, 1312, 1369, 1559]","[52, 64, 324, 369, 563, 768, 772, 1061, 1184, 1185, 1205, 1232, 1273, 1312, 1369, 1559]"
Val,14,7,50.0,13.36306209562122,42.857142857142854,18.704390591656487,15,8,"[57, 246, 368]","[57, 84, 246, 282, 324, 325, 368]"
Train,33,26,66.66666666666666,8.206099398622182,65.38461538461539,9.330087000722768,56,50,"[212, 267, 305, 356, 360, 649, 788, 793, 820, 858, 863, 900, 914, 957, 1147, 1197, 1404]","[151, 212, 231, 267, 305, 356, 360, 649, 772, 788, 793, 820, 858, 861, 863, 900, 914, 957, 1045, 1147, 1197, 1404]"
Val,9,7,77.77777777777779,13.857990321384966,85.71428571428571,13.226001425322165,18,17,"[226, 300, 399, 403, 409, 428]","[226, 300, 399, 401, 403, 409, 428]"
Train,34,25,64.70588235294117,8.195653482579246,64.0,9.6,62,49,"[12, 16, 91, 444, 449, 502, 514, 519, 556, 570, 613, 803, 853, 880, 1060, 1285]","[12, 16, 59, 91, 444, 447, 449, 502, 514, 519, 556, 570, 613, 701, 801, 803, 853, 880, 1060, 1285, 1610, 1611]"
Val,25,21,72.0,8.97997772825746,71.42857142857143,9.858079419176489,80,30,"[43, 88, 200, 238, 264, 273, 325, 352, 353, 379, 396, 399, 426, 464, 484]","[0, 43, 88, 145, 200, 238, 264, 273, 325, 352, 353, 379, 396, 399, 426, 444, 464, 484]"
Train,35,23,68.57142857142857,7.846932140863945,60.86956521739131,10.176384751376007,64,42,"[67, 132, 137, 174, 188, 231, 421, 678, 903, 1150, 1563, 1706, 1711, 1717]","[46, 65, 67, 132, 137, 174, 188, 231, 319, 419, 421, 576, 678, 903, 1150, 1186, 1228, 1229, 1563, 1603, 1702, 1706, 1711, 1717]"
Val,12,9,83.33333333333334,10.75828707279838,77.77777777777779,13.857990321384966,31,18,"[52, 97, 123, 147, 399, 452, 468]","[52, 75, 77, 97, 123, 147, 372, 399, 452, 468]"
Train,37,31,59.45945945945946,8.071502466945956,61.29032258064516,8.74832447741257,89,39,"[46, 366, 480, 710, 916, 1178, 1277, 1281, 1306, 1358, 1515, 1553, 1579, 1588, 1668, 1711, 1714, 1741, 1799]","[46, 366, 480, 710, 778, 916, 1178, 1277, 1281, 1306, 1315, 1358, 1515, 1553, 1579, 1588, 1668, 1711, 1714, 1741, 1759, 1799]"
Val,30,27,80.0,7.302967433402214,77.77777777777779,8.00091444247884,62,56,"[2, 35, 39, 53, 150, 151, 204, 238, 239, 254, 278, 312, 357, 367, 393, 405, 409, 434, 441, 458, 465]","[2, 35, 39, 53, 131, 150, 151, 204, 238, 239, 254, 278, 283, 312, 357, 367, 377, 393, 405, 409, 434, 441, 458, 465]"
Train,37,22,67.56756756756756,7.695875641236478,68.18181818181817,9.930260198923898,69,47,"[236, 246, 368, 438, 659, 746, 802, 807, 813, 886, 930, 1120, 1316, 1478, 1572]","[223, 236, 246, 282, 324, 325, 335, 336, 368, 438, 659, 746, 802, 807, 813, 886, 930, 987, 1120, 1255, 1281, 1316, 1401, 1478, 1572]"
Val,10,9,80.0,12.649110640673516,77.77777777777779,13.857990321384966,9,8,"[56, 61, 62, 113, 242, 341, 400]","[56, 61, 62, 113, 242, 305, 341, 400]"
Train,39,35,74.35897435897436,6.992010767203376,71.42857142857143,7.636035483212125,135,72,"[300, 399, 403, 428, 480, 637, 675, 701, 710, 790, 863, 921, 1079, 1331, 1384, 1385, 1436, 1472, 1510, 1583, 1677, 1829, 1882, 1883, 1888]","[300, 399, 403, 428, 437, 480, 637, 675, 701, 710, 790, 863, 921, 1007, 1009, 1079, 1331, 1384, 1385, 1436, 1472, 1510, 1583, 1677, 1715, 1829, 1882, 1883, 1888]"
Val,7,7,71.42857142857143,17.074694419062766,71.42857142857143,17.074694419062766,14,14,"[14, 142, 173, 382, 431]","[14, 142, 173, 382, 431]"
