split,anomalies,anomalies_sc,agg_value,agg_error,agg_value_sc,agg_error_sc,agg_total_eq,agg_total_eq_sc,seismic_indices_sc,seismic_indices
Val,39,25,46.15384615,7.982684949,44,9.927738917,48,28,"[12, 16, 46, 91, 126, 144, 184, 187, 241, 305, 352]","[12, 16, 46, 91, 105, 126, 144, 184, 187, 208, 241, 305, 317, 320, 321, 324, 352, 357]"
Train,32,10,62.5,8.558164961,80,12.64911064,48,24,"[142, 143, 348, 510, 627, 705, 1337, 1477]","[4, 14, 71, 72, 73, 77, 95, 132, 142, 143, 290, 348, 392, 510, 627, 684, 705, 850, 1337, 1477]"
Val,32,22,68.75,8.193819126,72.72727273,9.49514487,67,59,"[67, 94, 119, 123, 137, 141, 144, 164, 174, 188, 231, 281, 383, 388, 411, 421]","[45, 46, 65, 67, 94, 119, 123, 135, 137, 141, 144, 164, 174, 188, 231, 281, 319, 324, 383, 388, 411, 421]"
Train,31,17,45.16129032,8.938114993,58.82352941,11.9364625,32,17,"[90, 151, 207, 285, 373, 442, 768, 1146, 1150, 1439]","[90, 151, 207, 264, 285, 373, 429, 430, 442, 768, 1146, 1150, 1439, 1454]"
Val,16,12,43.75,12.40195927,41.66666667,14.23187606,19,16,"[29, 46, 55, 85, 347]","[29, 46, 55, 85, 347, 412, 413]"
Train,32,17,46.875,8.821554524,52.94117647,12.10578248,31,24,"[679, 768, 772, 1061, 1205, 1312, 1326, 1369, 1559]","[52, 369, 679, 768, 772, 1061, 1183, 1184, 1205, 1273, 1312, 1318, 1326, 1369, 1559]"
Val,16,6,37.5,12.10307296,33.33333333,19.24500897,12,5,"[57, 239]","[57, 239, 282, 289, 324, 325]"
Train,33,23,72.72727273,7.752753322,69.56521739,9.594387554,63,51,"[267, 341, 356, 360, 488, 649, 793, 858, 863, 890, 900, 914, 957, 1147, 1197, 1404]","[231, 267, 341, 356, 360, 488, 649, 771, 772, 791, 793, 858, 861, 863, 890, 900, 906, 914, 957, 1147, 1197, 1302, 1404, 1592]"
Val,7,4,71.42857143,17.07469442,75,21.65063509,16,13,"[300, 399, 428]","[85, 300, 399, 401, 428]"
Train,34,23,67.64705882,8.023094084,65.2173913,9.931134621,67,46,"[12, 16, 91, 449, 514, 519, 546, 556, 570, 613, 803, 853, 880, 1060, 1285]","[12, 16, 91, 208, 428, 447, 449, 514, 517, 519, 546, 556, 570, 613, 803, 853, 880, 958, 1060, 1285, 1568, 1610, 1611]"
Val,26,22,69.23076923,9.051513929,68.18181818,9.930260199,80,30,"[43, 88, 200, 238, 264, 273, 325, 353, 379, 399, 426, 427, 464, 483, 484]","[0, 43, 88, 145, 200, 238, 264, 273, 325, 353, 379, 399, 426, 427, 444, 464, 483, 484]"
Train,35,22,77.14285714,7.097817182,72.72727273,9.49514487,74,53,"[67, 132, 137, 174, 188, 231, 421, 422, 471, 498, 678, 796, 903, 1563, 1706, 1711]","[46, 65, 67, 132, 135, 137, 174, 188, 231, 419, 421, 422, 471, 498, 576, 678, 796, 903, 1186, 1228, 1229, 1239, 1563, 1706, 1708, 1711, 1715]"
Val,17,14,82.35294118,9.245944094,78.57142857,10.96642105,39,26,"[52, 57, 93, 97, 147, 329, 399, 452, 453, 461, 468]","[52, 57, 75, 77, 93, 97, 147, 329, 372, 399, 452, 453, 461, 468]"
Train,37,30,56.75675676,8.144549227,53.33333333,9.108400681,96,44,"[46, 225, 366, 688, 830, 933, 1178, 1277, 1281, 1306, 1358, 1515, 1579, 1668, 1741, 1799]","[46, 225, 366, 688, 778, 830, 933, 1178, 1277, 1279, 1281, 1306, 1315, 1358, 1460, 1515, 1579, 1668, 1741, 1759, 1799]"
Val,30,27,76.66666667,7.72202238,74.07407407,8.433704334,61,55,"[2, 35, 39, 53, 150, 151, 204, 238, 239, 254, 278, 357, 367, 393, 405, 409, 434, 441, 458, 465]","[2, 35, 39, 53, 131, 150, 151, 204, 238, 239, 254, 278, 283, 357, 367, 377, 393, 405, 409, 434, 441, 458, 465]"
Train,37,22,62.16216216,7.973065828,50,10.66003582,58,35,"[246, 659, 746, 802, 807, 886, 902, 1120, 1316, 1478, 1572]","[24, 246, 282, 324, 325, 335, 336, 659, 746, 802, 804, 807, 886, 902, 987, 1120, 1141, 1255, 1281, 1316, 1401, 1478, 1572]"
Val,9,9,66.66666667,15.71348403,66.66666667,15.71348403,7,7,"[56, 61, 62, 113, 242, 341]","[56, 61, 62, 113, 242, 341]"
Train,39,34,79.48717949,6.4658992,79.41176471,6.934458071,90,77,"[300, 399, 403, 409, 428, 480, 619, 637, 675, 701, 790, 833, 863, 954, 1079, 1331, 1384, 1385, 1436, 1472, 1510, 1583, 1677, 1829, 1867, 1882, 1888]","[300, 399, 401, 403, 409, 428, 480, 582, 619, 637, 675, 701, 790, 833, 863, 954, 1007, 1009, 1079, 1331, 1384, 1385, 1436, 1472, 1510, 1583, 1677, 1829, 1867, 1882, 1888]"
Val,5,5,80,17.88854382,80,17.88854382,13,13,"[142, 173, 382, 431]","[142, 173, 382, 431]"
Train,39,33,66.66666667,7.548513561,63.63636364,8.373930663,111,55,"[43, 61, 129, 200, 238, 264, 353, 426, 642, 643, 894, 947, 948, 999, 1073, 1146, 1240, 1650, 1685, 1799, 1874]","[0, 43, 61, 129, 145, 200, 238, 264, 353, 426, 570, 642, 643, 894, 947, 948, 999, 1073, 1146, 1240, 1650, 1685, 1782, 1799, 1874, 1920]"
Val,14,12,78.57142857,10.96642105,75,12.5,29,21,"[115, 136, 142, 154, 191, 205, 240, 426, 432]","[115, 136, 142, 154, 191, 205, 221, 240, 357, 426, 432]"
Train,38,31,60.52631579,7.929287278,54.83870968,8.938114993,64,47,"[147, 399, 452, 453, 468, 504, 540, 578, 651, 745, 1090, 1155, 1190, 1304, 1379, 1614, 1714]","[75, 77, 147, 372, 399, 452, 453, 468, 504, 540, 578, 651, 745, 1090, 1155, 1190, 1287, 1304, 1379, 1460, 1466, 1614, 1714]"
Val,21,18,66.66666667,10.28689,61.11111111,11.49043856,38,33,"[5, 39, 67, 110, 115, 215, 273, 305, 320, 354, 364]","[5, 39, 47, 67, 110, 115, 172, 215, 257, 273, 305, 320, 354, 364]"
Train,38,34,89.47368421,4.978448963,91.17647059,4.864330768,84,78,"[2, 35, 53, 70, 150, 151, 238, 239, 254, 367, 405, 434, 538, 589, 718, 817, 841, 876, 1090, 1121, 1226, 1330, 1379, 1505, 1522, 1540, 1631, 1731, 1792, 1810, 1835]","[2, 35, 53, 70, 150, 151, 238, 239, 254, 283, 367, 405, 434, 538, 589, 718, 817, 841, 876, 1090, 1121, 1226, 1311, 1330, 1379, 1505, 1522, 1540, 1631, 1731, 1748, 1792, 1810, 1835]"
Val,15,15,40,12.64911064,40,12.64911064,12,12,"[15, 78, 181, 218, 261, 452]","[15, 78, 181, 218, 261, 452]"
Train,37,31,81.08108108,6.438831518,80.64516129,7.095828146,70,61,"[61, 62, 113, 242, 341, 365, 400, 639, 641, 703, 729, 739, 1027, 1048, 1103, 1338, 1427, 1428, 1462, 1533, 1538, 1696, 1723, 1778, 1792]","[61, 62, 113, 242, 341, 365, 400, 540, 639, 641, 703, 729, 739, 1027, 1048, 1103, 1269, 1338, 1427, 1428, 1462, 1470, 1533, 1538, 1595, 1680, 1696, 1723, 1778, 1792]"
Val,13,11,61.53846154,13.4932003,63.63636364,14.50407337,23,22,"[76, 166, 190, 238, 243, 309, 403]","[33, 76, 166, 190, 238, 243, 309, 403]"
Train,37,31,78.37837838,6.76770479,74.19354839,7.858983388,60,50,"[167, 169, 231, 267, 555, 576, 582, 631, 866, 901, 956, 990, 1061, 1066, 1166, 1224, 1262, 1306, 1310, 1419, 1522, 1559, 1793]","[68, 167, 169, 231, 267, 555, 576, 582, 631, 797, 858, 866, 901, 956, 990, 1061, 1066, 1123, 1166, 1208, 1224, 1262, 1306, 1310, 1419, 1522, 1559, 1648, 1793]"
Val,12,8,58.33333333,14.23187606,62.5,17.11632992,38,36,"[100, 333, 420, 452, 453]","[100, 120, 333, 420, 452, 453, 454]"
Train,37,31,64.86486486,7.848284014,61.29032258,8.748324477,58,50,"[115, 136, 142, 426, 461, 516, 550, 621, 784, 811, 822, 979, 1061, 1348, 1353, 1563, 1587, 1640, 1706]","[115, 136, 142, 357, 418, 426, 461, 516, 550, 621, 768, 784, 811, 822, 979, 1061, 1348, 1353, 1430, 1563, 1587, 1640, 1706, 1817]"
Val,8,8,37.5,17.11632992,37.5,17.11632992,7,7,"[320, 322, 410]","[320, 322, 410]"
Train,36,31,66.66666667,7.856742013,67.74193548,8.395897088,89,85,"[4, 5, 39, 110, 215, 273, 311, 369, 405, 468, 571, 608, 842, 1076, 1124, 1129, 1269, 1289, 1650, 1730, 1765]","[4, 5, 39, 110, 215, 257, 273, 311, 369, 405, 468, 571, 608, 842, 919, 1076, 1124, 1129, 1269, 1289, 1435, 1650, 1730, 1765]"
