split,anomalies,anomalies_sc,agg_value,agg_error,agg_value_sc,agg_error_sc,agg_total_eq,agg_total_eq_sc,seismic_indices_sc,seismic_indices
Val,43,28,46.51162790697674,7.606348725472868,46.42857142857143,9.424976123424065,49,32,"[12, 16, 46, 91, 126, 144, 184, 187, 241, 305, 314, 352, 377]","[12, 16, 46, 91, 105, 126, 144, 184, 187, 208, 241, 305, 314, 317, 320, 321, 324, 352, 357, 377]"
Train,32,8,68.75,8.19381912632931,100.0,11.692679333668567,54,21,"[142, 348, 416, 492, 627, 705, 1337, 1477]","[4, 14, 15, 71, 72, 73, 95, 132, 142, 290, 348, 392, 416, 492, 627, 684, 705, 849, 1239, 1337, 1441, 1477]"
Val,47,33,57.446808510638306,7.211906589779132,57.57575757575758,8.603395906609155,76,66,"[62, 67, 94, 119, 123, 137, 141, 144, 164, 174, 188, 231, 281, 315, 382, 383, 388, 411, 421]","[45, 46, 62, 65, 67, 70, 94, 119, 123, 137, 141, 144, 164, 174, 180, 188, 231, 281, 315, 319, 324, 361, 382, 383, 388, 411, 421]"
Train,31,16,61.29032258064516,8.74832447741257,87.5,8.267972847076846,55,33,"[0, 89, 90, 207, 285, 373, 442, 702, 768, 911, 1057, 1146, 1150, 1439]","[0, 89, 90, 207, 264, 285, 373, 429, 430, 442, 702, 768, 911, 1057, 1146, 1150, 1342, 1439, 1454]"
Val,12,8,41.66666666666667,14.231876063832773,37.5,17.116329922036442,8,5,"[46, 101, 391]","[46, 101, 391, 412, 413]"
Train,32,18,68.75,8.19381912632931,88.88888888888889,7.407407407407408,44,34,"[64, 324, 390, 679, 725, 750, 768, 772, 1061, 1200, 1205, 1232, 1312, 1326, 1369, 1559]","[51, 52, 64, 324, 390, 679, 725, 750, 768, 772, 1061, 1183, 1184, 1200, 1205, 1232, 1273, 1312, 1318, 1326, 1369, 1559]"
Val,17,6,41.17647058823529,11.936462498726879,16.666666666666664,15.214515486254616,12,3,[57],"[57, 84, 282, 289, 324, 325, 328]"
Train,33,24,78.78787878787878,7.116472642790657,79.16666666666666,8.289816934939807,68,55,"[127, 267, 285, 305, 338, 356, 360, 649, 788, 793, 820, 862, 863, 870, 900, 957, 1147, 1197, 1404]","[127, 267, 285, 305, 338, 356, 360, 649, 772, 788, 791, 793, 820, 861, 862, 863, 870, 900, 906, 957, 1145, 1147, 1197, 1302, 1404, 1592]"
Val,13,11,76.92307692307693,11.685454235580767,81.81818181818183,11.629129983033296,20,19,"[28, 46, 55, 226, 300, 329, 399, 428, 431]","[28, 46, 55, 226, 300, 329, 399, 401, 428, 431]"
Train,34,22,82.35294117647058,6.537869767367193,86.36363636363636,7.31650049984536,60,43,"[12, 16, 19, 33, 46, 91, 305, 449, 476, 519, 526, 556, 613, 803, 1060, 1285, 1351, 1522, 1525]","[12, 16, 19, 33, 46, 91, 305, 428, 447, 449, 476, 517, 519, 526, 556, 613, 803, 958, 1060, 1285, 1351, 1522, 1525, 1568, 1610, 1611, 1614, 1621]"
Val,23,20,65.21739130434783,9.931134621220187,65.0,10.66536450385077,79,28,"[43, 75, 88, 200, 238, 264, 353, 379, 399, 426, 427, 464, 484]","[0, 43, 75, 88, 200, 238, 264, 295, 353, 379, 399, 426, 427, 464, 484]"
Train,35,23,82.85714285714286,6.37048588249034,78.26086956521739,8.60061487037983,67,49,"[62, 63, 67, 94, 132, 136, 137, 144, 174, 231, 421, 678, 903, 969, 1342, 1563, 1650, 1706]","[46, 62, 63, 65, 67, 68, 94, 132, 135, 136, 137, 144, 174, 231, 330, 421, 576, 678, 903, 969, 1186, 1228, 1229, 1239, 1342, 1563, 1650, 1706, 1708]"
Val,16,12,87.5,8.267972847076846,83.33333333333334,10.75828707279838,38,24,"[23, 52, 97, 147, 232, 399, 419, 452, 453, 468]","[23, 52, 73, 75, 77, 97, 147, 232, 372, 399, 419, 452, 453, 468]"
