split,anomalies,anomalies_sc,agg_value,agg_error,agg_value_sc,agg_error_sc,agg_total_eq,agg_total_eq_sc,seismic_indices_sc,seismic_indices
Val,21,15,57.14285714,10.79898494,60,12.64911064,25,16,"[12, 16, 90, 128, 184, 305, 326, 352, 377]","[12, 16, 59, 90, 128, 184, 305, 320, 321, 326, 352, 377]"
Train,32,8,62.5,8.558164961,87.5,11.69267933,50,19,"[142, 143, 296, 348, 627, 1122, 1515]","[4, 14, 39, 71, 72, 73, 95, 132, 142, 143, 296, 348, 627, 632, 684, 849, 850, 1122, 1361, 1515]"
Val,22,9,54.54545455,10.61589469,55.55555556,16.5634665,25,10,"[119, 231, 286, 411, 421]","[24, 46, 65, 70, 119, 135, 180, 231, 286, 319, 411, 421]"
Train,31,13,45.16129032,8.938114993,61.53846154,13.4932003,24,11,"[89, 285, 442, 702, 1095, 1146, 1150, 1488]","[89, 285, 429, 430, 442, 687, 702, 941, 1095, 1146, 1150, 1193, 1228, 1488]"
Val,11,5,36.36363636,14.50407337,40,21.9089023,5,2,"[85, 307]","[85, 307, 412, 413]"
Train,32,15,50,8.838834765,53.33333333,12.88122377,33,11,"[324, 750, 768, 772, 1061, 1200, 1205, 1369]","[51, 52, 309, 324, 563, 750, 768, 772, 964, 1061, 1184, 1200, 1205, 1273, 1318, 1369]"
Val,14,4,71.42857143,12.07363221,75,21.65063509,23,6,"[65, 246, 368]","[65, 84, 246, 282, 289, 322, 324, 325, 368, 372]"
Train,33,16,57.57575758,8.603395907,56.25,12.40195927,35,14,"[212, 305, 313, 356, 360, 698, 788, 793, 1147]","[29, 31, 84, 85, 151, 212, 305, 313, 356, 360, 664, 698, 772, 788, 793, 906, 1045, 1147, 1592]"
Val,9,8,66.66666667,15.71348403,75,15.30931089,14,14,"[27, 73, 152, 300, 347, 409]","[27, 73, 152, 300, 347, 409]"
Train,34,12,52.94117647,8.560080884,50,14.43375673,35,11,"[16, 354, 668, 1285, 1532, 1654]","[16, 59, 94, 354, 406, 428, 447, 517, 562, 668, 1248, 1285, 1370, 1532, 1568, 1610, 1611, 1654]"
Val,16,13,75,10.82531755,69.23076923,12.80077376,28,23,"[43, 129, 200, 254, 297, 353, 399, 426, 484]","[41, 43, 129, 145, 200, 254, 295, 297, 353, 399, 426, 484]"
Train,35,20,65.71428571,8.023289714,65,10.6653645,58,34,"[76, 137, 231, 421, 678, 903, 1150, 1272, 1537, 1563, 1649, 1650, 1711]","[46, 76, 137, 180, 231, 421, 678, 866, 903, 928, 988, 1150, 1186, 1226, 1228, 1229, 1272, 1276, 1537, 1563, 1649, 1650, 1711]"
Val,8,5,75,15.30931089,80,17.88854382,15,11,"[97, 147, 399, 452]","[75, 97, 147, 372, 399, 452]"
Train,37,30,59.45945946,8.071502467,56.66666667,9.047201327,100,46,"[710, 830, 924, 1178, 1277, 1281, 1287, 1306, 1358, 1403, 1444, 1515, 1579, 1588, 1668, 1741, 1799]","[710, 778, 783, 830, 924, 963, 1178, 1277, 1279, 1281, 1287, 1306, 1315, 1358, 1403, 1444, 1515, 1579, 1588, 1668, 1741, 1799]"
Val,24,23,66.66666667,9.622504486,65.2173913,9.931134621,34,32,"[2, 35, 53, 150, 151, 238, 239, 254, 277, 278, 296, 367, 405, 434, 441]","[2, 35, 53, 131, 150, 151, 238, 239, 254, 277, 278, 296, 367, 405, 434, 441]"
Train,37,20,56.75675676,8.144549227,45,11.12429773,57,31,"[246, 368, 437, 659, 746, 807, 930, 1676, 1781]","[84, 246, 282, 322, 324, 325, 328, 335, 368, 372, 437, 659, 746, 798, 807, 930, 985, 987, 1676, 1681, 1781]"
Val,12,9,66.66666667,13.60827635,88.88888889,10.47565602,19,19,"[61, 62, 113, 242, 341, 365, 374, 400]","[61, 62, 113, 242, 341, 365, 374, 400]"
Train,39,34,76.92307692,6.746600149,73.52941176,7.56611405,77,70,"[27, 300, 363, 399, 403, 409, 428, 480, 525, 637, 675, 701, 710, 790, 863, 921, 1079, 1331, 1384, 1400, 1436, 1472, 1583, 1677, 1883]","[27, 85, 278, 300, 363, 399, 401, 403, 409, 428, 480, 525, 637, 675, 701, 710, 790, 863, 921, 1007, 1079, 1303, 1331, 1384, 1400, 1436, 1472, 1583, 1677, 1883]"
Val,9,8,66.66666667,15.71348403,62.5,17.11632992,15,14,"[14, 142, 173, 382, 431]","[14, 142, 173, 363, 382, 431]"
Train,39,35,71.79487179,7.205737677,68.57142857,7.846932141,108,55,"[43, 88, 238, 264, 273, 353, 399, 426, 484, 642, 894, 947, 999, 1035, 1146, 1240, 1446, 1456, 1585, 1651, 1685, 1799, 1847, 1874]","[0, 43, 88, 238, 264, 273, 353, 399, 426, 484, 570, 642, 894, 947, 999, 1035, 1146, 1240, 1446, 1456, 1585, 1651, 1685, 1782, 1799, 1819, 1847, 1874]"
Val,7,5,85.71428571,13.22600143,80,17.88854382,14,10,"[56, 114, 115, 426]","[56, 114, 115, 357, 418, 426]"
Train,38,29,63.15789474,7.825178333,58.62068966,9.145723911,45,36,"[147, 399, 452, 453, 454, 456, 504, 599, 651, 745, 1078, 1090, 1156, 1190, 1353, 1379, 1504]","[147, 399, 452, 453, 454, 456, 504, 599, 651, 745, 996, 997, 1078, 1090, 1141, 1156, 1190, 1287, 1324, 1353, 1379, 1460, 1504, 1515]"
Val,19,15,84.21052632,8.365467518,80,10.32795559,38,32,"[5, 35, 67, 84, 115, 171, 215, 263, 267, 273, 354, 364]","[5, 35, 46, 47, 67, 84, 115, 171, 172, 215, 257, 263, 267, 273, 354, 364]"
Train,38,31,76.31578947,6.896755958,77.41935484,7.509518648,63,56,"[2, 35, 53, 105, 150, 238, 239, 254, 296, 405, 434, 537, 577, 589, 718, 817, 850, 876, 1070, 1449, 1505, 1619, 1631, 1810]","[2, 35, 53, 105, 131, 150, 238, 239, 254, 296, 405, 434, 537, 577, 589, 718, 817, 850, 876, 1059, 1070, 1081, 1449, 1505, 1619, 1631, 1748, 1803, 1810]"
Val,12,12,50,14.43375673,50,14.43375673,9,9,"[3, 15, 28, 78, 160, 261]","[3, 15, 28, 78, 160, 261]"
Train,37,27,72.97297297,7.300948685,77.77777778,8.000914442,60,48,"[61, 101, 113, 175, 341, 365, 374, 530, 739, 786, 1026, 1027, 1141, 1338, 1373, 1428, 1538, 1686, 1690, 1734, 1743]","[61, 101, 113, 175, 341, 365, 374, 485, 530, 540, 739, 786, 1026, 1027, 1133, 1141, 1269, 1330, 1338, 1373, 1428, 1470, 1538, 1686, 1690, 1734, 1743]"
Val,4,3,50,25,66.66666667,27.2165527,3,3,"[190, 243]","[190, 243]"
Train,37,31,72.97297297,7.300948685,70.96774194,8.152485863,57,50,"[57, 58, 114, 320, 351, 496, 555, 866, 874, 901, 956, 1066, 1122, 1166, 1214, 1218, 1262, 1356, 1369, 1419, 1501, 1737]","[13, 57, 58, 114, 320, 351, 496, 555, 858, 866, 874, 901, 956, 997, 1066, 1122, 1123, 1166, 1208, 1214, 1218, 1262, 1356, 1369, 1419, 1501, 1737]"
Val,11,8,54.54545455,15.01314225,50,17.67766953,37,35,"[333, 420, 452, 453]","[122, 333, 420, 452, 453, 454]"
Train,37,28,81.08108108,6.438831518,82.14285714,7.237888244,59,48,"[114, 115, 229, 426, 434, 461, 516, 626, 726, 774, 778, 831, 839, 866, 904, 916, 929, 979, 1045, 1061, 1162, 1587, 1706]","[114, 115, 229, 357, 416, 418, 426, 434, 461, 516, 557, 558, 626, 683, 726, 768, 774, 778, 831, 839, 866, 904, 916, 929, 979, 1045, 1061, 1162, 1587, 1706]"
