split,anomalies,anomalies_sc,agg_value,agg_error,agg_value_sc,agg_error_sc,agg_total_eq,agg_total_eq_sc,seismic_indices_sc,seismic_indices
Val,32,22,50.0,8.838834764831844,50.0,10.660035817780521,37,27,"[12, 16, 144, 184, 187, 241, 305, 314, 326, 352, 377]","[12, 16, 59, 105, 144, 184, 187, 241, 305, 314, 317, 320, 321, 326, 352, 377]"
Train,32,8,56.25,8.769509500251425,75.0,15.309310892394862,53,22,"[142, 143, 348, 416, 627, 1477]","[4, 14, 15, 39, 71, 72, 73, 95, 132, 142, 143, 348, 392, 416, 627, 632, 684, 1477]"
Val,31,21,74.19354838709677,7.858983387512676,76.19047619047619,9.294286409033651,72,57,"[62, 67, 94, 119, 123, 137, 141, 144, 188, 231, 281, 315, 383, 388, 411, 421]","[46, 62, 65, 67, 70, 94, 119, 123, 135, 137, 141, 144, 180, 188, 231, 281, 315, 324, 383, 388, 411, 419, 421]"
Train,31,14,48.38709677419355,8.975591530841967,78.57142857142857,10.966421051124836,31,19,"[89, 90, 95, 285, 373, 404, 702, 1057, 1146, 1150, 1439]","[89, 90, 95, 212, 285, 373, 404, 685, 702, 941, 1057, 1146, 1150, 1439, 1454]"
Val,15,10,40.0,12.649110640673516,40.0,15.491933384829668,17,14,"[29, 46, 85, 366]","[29, 46, 85, 366, 412, 413]"
Train,32,15,50.0,8.838834764831844,66.66666666666666,12.171612389003691,31,18,"[0, 324, 679, 768, 772, 1061, 1200, 1205, 1232, 1369]","[0, 51, 52, 324, 441, 679, 768, 772, 1061, 1184, 1200, 1203, 1205, 1232, 1273, 1369]"
Val,10,5,40.0,15.491933384829668,20.0,17.888543819998322,9,3,[57],"[57, 282, 324, 325]"
Train,33,24,63.63636363636363,8.373930663124332,62.5,9.882117688026186,51,30,"[267, 305, 338, 356, 360, 649, 789, 793, 858, 863, 914, 957, 1147, 1257, 1404]","[267, 305, 338, 356, 360, 552, 649, 772, 789, 791, 793, 858, 863, 906, 914, 957, 1145, 1147, 1257, 1302, 1404]"
Val,11,7,72.72727272727273,13.428162652290842,71.42857142857143,17.074694419062766,20,16,"[34, 46, 300, 399, 428]","[34, 46, 85, 278, 300, 399, 401, 428]"
Train,34,20,55.88235294117647,8.515380416833713,55.00000000000001,11.124297730643494,38,22,"[12, 16, 449, 514, 519, 570, 613, 803, 913, 1060, 1285]","[12, 16, 59, 428, 447, 449, 514, 517, 519, 570, 613, 801, 803, 913, 958, 1060, 1285, 1610, 1611]"
