split,anomalies,anomalies_sc,agg_value,agg_error,agg_value_sc,agg_error_sc,agg_total_eq,agg_total_eq_sc,seismic_indices_sc,seismic_indices
Val,33,20,54.54545454545454,8.667841720414476,55.00000000000001,11.124297730643494,47,30,"[12, 16, 91, 126, 128, 144, 184, 241, 305, 314, 352]","[12, 16, 91, 105, 126, 128, 144, 184, 208, 241, 305, 314, 317, 320, 321, 324, 352, 357]"
Train,32,10,59.375,8.682074519880027,80.0,12.649110640673516,38,19,"[142, 296, 348, 509, 627, 705, 1122, 1477]","[4, 14, 39, 71, 72, 73, 95, 132, 142, 290, 296, 348, 392, 509, 627, 705, 1122, 1361, 1477]"
Val,32,22,65.625,8.396166117267452,68.18181818181817,9.930260198923898,60,50,"[67, 94, 115, 119, 137, 141, 144, 188, 231, 281, 315, 383, 388, 411, 421]","[46, 67, 94, 115, 119, 135, 137, 141, 144, 180, 188, 231, 281, 315, 319, 324, 383, 388, 411, 419, 421]"
Train,31,15,41.935483870967744,8.86268651399275,60.0,12.649110640673516,23,15,"[90, 151, 207, 285, 373, 702, 1146, 1150, 1439]","[90, 151, 207, 212, 264, 285, 373, 702, 819, 941, 1146, 1150, 1439]"
Val,10,5,30.0,14.491376746189438,20.0,17.888543819998322,14,11,[29],"[29, 412, 413]"
Train,32,14,46.875,8.821554523934543,71.42857142857143,12.07363221040738,37,21,"[64, 324, 768, 772, 1061, 1205, 1232, 1312, 1369, 1559]","[51, 52, 64, 324, 768, 772, 964, 1061, 1184, 1205, 1232, 1273, 1312, 1369, 1559]"
Val,18,7,50.0,11.785113019775793,57.14285714285714,18.704390591656487,19,11,"[57, 186, 246, 270]","[57, 186, 246, 270, 282, 289, 324, 325, 328]"
Train,33,20,69.6969696969697,8.000055652754638,65.0,10.66536450385077,56,30,"[267, 305, 356, 360, 649, 793, 820, 863, 914, 957, 1147, 1356, 1404]","[151, 267, 305, 356, 360, 403, 438, 552, 649, 772, 791, 793, 820, 861, 863, 906, 914, 957, 1147, 1302, 1356, 1404, 1592]"
Val,8,6,62.5,17.116329922036442,66.66666666666666,19.245008972987527,16,15,"[34, 300, 399, 428]","[34, 278, 300, 399, 428]"
Train,34,24,64.70588235294117,8.195653482579246,66.66666666666666,9.622504486493764,51,39,"[12, 16, 305, 449, 476, 514, 519, 526, 556, 570, 613, 803, 880, 1060, 1285, 1532]","[12, 16, 59, 305, 428, 447, 449, 476, 514, 519, 526, 556, 570, 613, 803, 880, 958, 1060, 1285, 1532, 1610, 1611]"
Val,25,21,68.0,9.32952303175248,66.66666666666666,10.286889997472795,81,26,"[43, 88, 200, 238, 264, 273, 325, 353, 379, 396, 399, 426, 464, 484]","[0, 43, 88, 146, 200, 238, 264, 273, 325, 353, 379, 396, 399, 426, 444, 464, 484]"
Train,35,24,65.71428571428571,8.0232897144853,66.66666666666666,9.622504486493764,54,43,"[67, 94, 132, 137, 174, 188, 231, 421, 678, 841, 903, 1150, 1563, 1704, 1711, 1717]","[46, 65, 67, 94, 132, 135, 137, 174, 180, 188, 231, 421, 678, 841, 903, 1150, 1186, 1228, 1229, 1563, 1704, 1711, 1717]"
Val,9,6,100.0,10.475656017578485,100.0,15.214515486254612,20,15,"[52, 147, 350, 399, 452, 468]","[52, 75, 147, 350, 371, 372, 399, 452, 468]"
Train,37,28,70.27027027027027,7.514159864153768,71.42857142857143,8.537347209531383,106,48,"[46, 119, 225, 830, 1178, 1277, 1281, 1287, 1306, 1358, 1403, 1515, 1553, 1579, 1588, 1668, 1711, 1714, 1741, 1799]","[46, 119, 222, 225, 778, 782, 830, 1156, 1178, 1277, 1281, 1287, 1306, 1315, 1358, 1403, 1461, 1515, 1553, 1579, 1588, 1668, 1711, 1714, 1741, 1799]"
Val,24,22,79.16666666666666,8.289816934939807,81.81818181818183,8.223036670302644,41,39,"[2, 35, 39, 53, 150, 151, 204, 238, 239, 254, 278, 312, 367, 393, 399, 405, 434, 441]","[2, 35, 39, 53, 150, 151, 204, 238, 239, 254, 278, 283, 312, 367, 393, 399, 405, 434, 441]"
Train,37,21,54.054054054054056,8.192885255111733,42.857142857142854,10.798984943120777,49,28,"[246, 659, 802, 807, 886, 930, 1120, 1316, 1478]","[246, 282, 324, 325, 335, 659, 717, 802, 804, 807, 811, 886, 930, 1120, 1132, 1316, 1401, 1434, 1471, 1478]"
Val,14,12,71.42857142857143,12.07363221040738,75.0,12.5,20,19,"[56, 61, 62, 113, 242, 341, 365, 374, 400]","[56, 61, 62, 113, 242, 305, 341, 365, 374, 400]"
Train,39,34,76.92307692307693,6.7466001485156095,76.47058823529412,7.274669910598146,121,69,"[27, 300, 399, 403, 409, 428, 480, 637, 675, 701, 710, 790, 833, 836, 863, 921, 1079, 1331, 1384, 1436, 1472, 1583, 1677, 1882, 1883, 1888]","[27, 278, 300, 399, 403, 409, 428, 437, 480, 637, 675, 701, 710, 790, 833, 836, 863, 921, 1007, 1079, 1303, 1331, 1384, 1436, 1472, 1583, 1677, 1882, 1883, 1888]"
Val,6,6,66.66666666666666,19.245008972987527,66.66666666666666,19.245008972987527,13,13,"[142, 173, 382, 431]","[142, 173, 382, 431]"
