split,anomalies,anomalies_sc,agg_value,agg_error,agg_value_sc,agg_error_sc,agg_total_eq,agg_total_eq_sc,seismic_indices_sc,seismic_indices
Val,40,25,47.5,7.895805848676877,44.0,9.927738916792686,49,28,"[12, 16, 46, 91, 126, 144, 184, 241, 305, 326, 352]","[12, 16, 46, 59, 91, 105, 126, 144, 184, 208, 241, 305, 317, 320, 321, 324, 326, 352, 357]"
Train,32,8,65.625,8.396166117267452,87.5,11.692679333668567,49,19,"[142, 150, 348, 416, 627, 705, 1477]","[4, 14, 71, 72, 73, 77, 95, 132, 142, 150, 290, 348, 392, 416, 627, 684, 705, 849, 850, 1441, 1477]"
Val,32,23,65.625,8.396166117267452,69.56521739130434,9.594387554215139,56,50,"[67, 94, 115, 119, 137, 141, 144, 231, 241, 281, 315, 382, 383, 388, 411, 421]","[46, 65, 67, 94, 115, 119, 135, 137, 141, 144, 231, 241, 281, 315, 319, 324, 382, 383, 388, 411, 421]"
Train,31,12,58.06451612903226,8.86268651399275,83.33333333333334,10.75828707279838,48,18,"[89, 151, 207, 285, 589, 702, 1057, 1146, 1150, 1439]","[83, 89, 151, 207, 270, 285, 429, 430, 589, 685, 702, 941, 1057, 1146, 1150, 1342, 1439, 1454]"
Val,11,5,36.36363636363637,14.504073367590284,20.0,17.888543819998322,17,11,[29],"[29, 230, 412, 413]"
Train,32,13,59.375,8.682074519880027,69.23076923076923,12.800773759043748,36,13,"[87, 324, 768, 772, 1061, 1232, 1326, 1369, 1490]","[52, 87, 309, 324, 369, 563, 768, 772, 815, 964, 1061, 1184, 1203, 1232, 1273, 1318, 1326, 1369, 1490]"
Val,15,7,46.666666666666664,12.881223774390612,57.14285714285714,18.704390591656487,16,10,"[57, 239, 246, 368]","[57, 239, 246, 282, 324, 325, 368]"
Train,33,23,63.63636363636363,8.373930663124332,65.21739130434783,9.931134621220187,45,36,"[127, 267, 356, 360, 649, 793, 820, 858, 863, 870, 900, 957, 1147, 1356, 1404]","[127, 231, 267, 356, 360, 649, 772, 791, 793, 820, 858, 861, 863, 870, 900, 906, 957, 1147, 1302, 1356, 1404]"
Val,12,9,83.33333333333334,10.75828707279838,88.88888888888889,10.475656017578485,21,19,"[300, 301, 309, 345, 399, 403, 409, 428]","[278, 300, 301, 309, 345, 399, 401, 403, 409, 428]"
Train,34,21,67.64705882352942,8.023094083513454,66.66666666666666,10.286889997472795,56,34,"[12, 16, 305, 449, 476, 514, 519, 556, 570, 613, 803, 1060, 1285, 1532]","[12, 16, 59, 208, 305, 428, 447, 449, 476, 514, 519, 556, 562, 570, 613, 803, 958, 980, 1060, 1285, 1532, 1610, 1611]"
Val,27,23,74.07407407407408,8.433704334123126,73.91304347826086,9.156053715170009,92,36,"[43, 76, 88, 200, 205, 238, 264, 273, 325, 353, 379, 399, 426, 427, 453, 464, 484]","[0, 43, 76, 88, 146, 200, 205, 238, 264, 273, 325, 353, 379, 399, 403, 426, 427, 453, 464, 484]"
Train,35,24,71.42857142857143,7.636035483212125,79.16666666666666,8.289816934939807,61,52,"[67, 76, 94, 132, 137, 144, 174, 188, 231, 421, 678, 903, 969, 1150, 1563, 1706, 1711, 1717, 1733]","[46, 67, 70, 76, 94, 132, 137, 144, 174, 180, 188, 231, 421, 678, 903, 928, 969, 1150, 1228, 1229, 1563, 1706, 1711, 1717, 1733]"
Val,9,8,88.88888888888889,10.475656017578485,87.5,11.692679333668567,17,15,"[97, 147, 308, 399, 452, 453, 456]","[75, 97, 147, 308, 399, 452, 453, 456]"
Train,37,27,59.45945945945946,8.071502466945956,62.96296296296296,9.293489539618284,102,50,"[345, 830, 905, 1030, 1155, 1178, 1225, 1277, 1281, 1287, 1306, 1358, 1444, 1515, 1579, 1668, 1741]","[345, 687, 778, 830, 905, 1030, 1155, 1178, 1225, 1277, 1281, 1287, 1306, 1315, 1356, 1358, 1444, 1460, 1515, 1579, 1668, 1741]"
Val,26,25,80.76923076923077,7.729201466043273,80.0,8.0,59,57,"[2, 35, 39, 46, 53, 114, 150, 151, 204, 238, 239, 254, 278, 296, 312, 367, 405, 434, 441, 465]","[2, 35, 39, 46, 53, 114, 131, 150, 151, 204, 238, 239, 254, 278, 296, 312, 367, 405, 434, 441, 465]"
Train,37,27,70.27027027027027,7.514159864153768,70.37037037037037,8.787718725951697,59,46,"[166, 186, 193, 236, 246, 368, 474, 479, 659, 688, 802, 807, 813, 879, 886, 930, 1316, 1478, 1745]","[166, 186, 193, 236, 246, 282, 324, 325, 335, 368, 474, 479, 659, 688, 802, 804, 807, 811, 813, 879, 886, 930, 1316, 1401, 1478, 1745]"
Val,11,11,81.81818181818183,11.629129983033296,81.81818181818183,11.629129983033296,19,19,"[56, 61, 62, 113, 242, 341, 365, 374, 400]","[56, 61, 62, 113, 242, 341, 365, 374, 400]"
Train,39,35,76.92307692307693,6.7466001485156095,74.28571428571429,7.387642348897154,126,66,"[27, 226, 300, 399, 403, 409, 428, 480, 675, 701, 710, 790, 836, 863, 921, 1079, 1331, 1384, 1436, 1472, 1583, 1677, 1829, 1867, 1882, 1883]","[27, 226, 300, 399, 403, 409, 428, 437, 480, 675, 701, 710, 790, 836, 863, 881, 921, 1007, 1009, 1079, 1331, 1384, 1436, 1472, 1583, 1677, 1829, 1867, 1882, 1883]"
Val,12,11,75.0,12.5,72.72727272727273,13.428162652290842,30,29,"[14, 42, 142, 162, 173, 372, 382, 431]","[14, 42, 142, 162, 173, 363, 372, 382, 431]"
Train,39,31,71.7948717948718,7.205737677223015,67.74193548387096,8.395897088010118,125,60,"[43, 88, 129, 238, 353, 484, 947, 963, 999, 1073, 1146, 1240, 1392, 1451, 1456, 1650, 1651, 1685, 1799, 1874, 1888]","[0, 43, 88, 129, 238, 353, 444, 484, 570, 572, 947, 963, 999, 1073, 1146, 1240, 1392, 1451, 1456, 1492, 1636, 1650, 1651, 1685, 1782, 1799, 1874, 1888]"
Val,13,12,76.92307692307693,11.685454235580767,75.0,12.5,22,19,"[115, 136, 142, 170, 191, 240, 426, 434, 461]","[115, 136, 142, 170, 191, 240, 357, 426, 434, 461]"
Train,38,33,63.1578947368421,7.8251783334213485,60.60606060606061,8.505811700208934,61,47,"[147, 399, 452, 453, 456, 504, 578, 651, 745, 935, 1090, 1155, 1190, 1304, 1379, 1393, 1616, 1714, 1761, 1798]","[75, 77, 147, 399, 452, 453, 456, 504, 578, 651, 745, 935, 1090, 1155, 1190, 1287, 1304, 1379, 1393, 1515, 1616, 1714, 1761, 1798]"
Val,23,18,73.91304347826086,9.156053715170009,66.66666666666666,11.111111111111112,36,29,"[5, 39, 67, 110, 115, 215, 220, 267, 273, 279, 354, 364]","[5, 39, 46, 47, 67, 110, 111, 115, 172, 215, 220, 257, 267, 273, 279, 354, 364]"
Train,38,34,86.8421052631579,5.48361022017428,88.23529411764706,5.525508450751319,77,72,"[2, 35, 53, 70, 150, 151, 204, 238, 239, 254, 296, 405, 434, 537, 538, 718, 817, 841, 850, 876, 1090, 1121, 1226, 1379, 1505, 1522, 1540, 1792, 1810, 1819]","[2, 35, 53, 70, 131, 150, 151, 204, 238, 239, 254, 296, 405, 434, 537, 538, 718, 817, 841, 850, 876, 1090, 1121, 1226, 1379, 1505, 1522, 1540, 1748, 1792, 1803, 1810, 1819]"
Val,15,14,60.0,12.649110640673516,57.14285714285714,13.226001425322165,18,14,"[9, 28, 78, 144, 160, 181, 281, 452]","[9, 28, 78, 144, 160, 181, 236, 281, 452]"
Train,37,29,86.48648648648648,5.620272917946338,89.65517241379311,5.6552304164538,70,58,"[61, 62, 175, 242, 341, 530, 641, 703, 729, 739, 1027, 1260, 1338, 1344, 1346, 1373, 1427, 1428, 1452, 1462, 1490, 1638, 1696, 1734, 1784, 1789]","[61, 62, 175, 242, 341, 525, 530, 540, 641, 703, 729, 739, 1027, 1260, 1269, 1330, 1338, 1344, 1346, 1373, 1427, 1428, 1452, 1462, 1490, 1595, 1638, 1680, 1696, 1734, 1784, 1789]"
Val,6,5,50.0,20.41241452319315,60.0,21.908902300206645,11,11,"[190, 238, 309]","[190, 238, 309]"
Train,37,29,83.78378378378379,6.059738539651173,82.75862068965517,7.01445003745666,65,51,"[57, 58, 163, 169, 267, 379, 554, 555, 576, 669, 866, 901, 956, 1066, 1214, 1218, 1224, 1262, 1271, 1356, 1369, 1419, 1737, 1793]","[57, 58, 68, 163, 169, 267, 379, 554, 555, 576, 669, 797, 858, 866, 901, 956, 997, 1066, 1123, 1208, 1214, 1218, 1224, 1262, 1271, 1356, 1369, 1419, 1577, 1737, 1793]"
Val,11,9,63.63636363636363,14.504073367590284,66.66666666666666,15.713484026367725,40,39,"[113, 299, 333, 433, 452, 453]","[113, 299, 333, 433, 452, 453, 454]"
Train,37,30,81.08108108108108,6.438831518199857,83.33333333333334,6.804138174397716,66,55,"[114, 115, 116, 170, 229, 426, 461, 516, 540, 626, 634, 726, 785, 794, 822, 831, 916, 929, 979, 1146, 1162, 1297, 1353, 1587, 1706]","[114, 115, 116, 170, 229, 357, 418, 426, 461, 516, 540, 626, 634, 677, 726, 768, 785, 794, 822, 831, 916, 929, 979, 1137, 1146, 1162, 1297, 1353, 1587, 1706]"
