split,anomalies,anomalies_sc,agg_value,agg_error,agg_value_sc,agg_error_sc,agg_total_eq,agg_total_eq_sc,seismic_indices_sc,seismic_indices
Val,43,28,46.51162790697674,7.606348725472868,46.42857142857143,9.424976123424065,49,32,"[12, 16, 46, 91, 126, 144, 184, 187, 241, 305, 314, 352, 377]","[12, 16, 46, 91, 105, 126, 144, 184, 187, 208, 241, 305, 314, 317, 320, 321, 324, 352, 357, 377]"
Train,32,8,68.75,8.19381912632931,100.0,11.692679333668567,54,21,"[142, 348, 416, 492, 627, 705, 1337, 1477]","[4, 14, 15, 71, 72, 73, 95, 132, 142, 290, 348, 392, 416, 492, 627, 684, 705, 849, 1239, 1337, 1441, 1477]"
Val,35,27,65.71428571428571,8.0232897144853,70.37037037037037,8.787718725951697,72,66,"[62, 67, 115, 119, 123, 137, 141, 144, 174, 188, 231, 281, 315, 382, 383, 388, 411, 421, 427]","[46, 62, 65, 67, 115, 119, 123, 135, 137, 141, 144, 174, 188, 231, 281, 315, 324, 382, 383, 388, 411, 421, 427]"
Train,31,15,48.38709677419355,8.975591530841967,66.66666666666666,12.171612389003691,32,16,"[90, 151, 207, 285, 373, 378, 702, 1146, 1150, 1439]","[83, 90, 151, 207, 212, 264, 285, 373, 378, 430, 702, 1146, 1150, 1439, 1454]"
Val,13,8,30.76923076923077,12.800773759043748,25.0,15.309310892394862,16,13,"[29, 54]","[29, 54, 412, 413]"
Train,32,18,53.125,8.821554523934543,66.66666666666666,11.111111111111112,36,29,"[26, 64, 324, 679, 768, 772, 1061, 1232, 1312, 1326, 1369, 1559]","[26, 52, 64, 324, 369, 563, 679, 768, 772, 1061, 1184, 1232, 1273, 1312, 1326, 1369, 1559]"
Val,17,6,41.17647058823529,11.936462498726879,33.33333333333333,19.245008972987527,14,6,"[57, 246]","[57, 246, 282, 289, 324, 325, 328]"
Train,33,21,69.6969696969697,8.000055652754638,66.66666666666666,10.286889997472795,55,36,"[267, 305, 356, 360, 649, 739, 820, 858, 863, 900, 914, 957, 1147, 1404]","[151, 267, 305, 356, 360, 403, 552, 649, 739, 772, 791, 820, 858, 861, 863, 900, 906, 914, 957, 1147, 1302, 1404, 1592]"
Val,12,9,75.0,12.5,77.77777777777779,13.857990321384966,20,18,"[34, 55, 226, 300, 345, 399, 428]","[34, 55, 226, 278, 300, 345, 399, 401, 428]"
Train,34,20,70.58823529411765,7.814248990059665,75.0,9.682458365518542,52,35,"[12, 16, 91, 305, 449, 514, 519, 546, 556, 570, 613, 803, 1060, 1251, 1285]","[12, 16, 59, 91, 305, 428, 447, 449, 514, 519, 546, 556, 562, 570, 613, 801, 803, 958, 1060, 1251, 1285, 1568, 1610, 1611]"
Val,22,19,77.27272727272727,8.934606739851096,78.94736842105263,9.352877017248828,78,29,"[43, 88, 140, 200, 264, 273, 325, 353, 379, 396, 399, 426, 427, 464, 484]","[0, 43, 88, 140, 145, 200, 264, 273, 325, 353, 379, 396, 399, 426, 427, 464, 484]"
Train,35,23,65.71428571428571,8.0232897144853,73.91304347826086,9.156053715170009,62,52,"[67, 123, 132, 137, 144, 174, 188, 231, 421, 472, 498, 586, 678, 903, 1150, 1563, 1711]","[46, 67, 123, 132, 137, 144, 174, 188, 231, 421, 472, 498, 586, 678, 903, 1150, 1186, 1226, 1228, 1229, 1239, 1563, 1711]"
Val,11,8,90.9090909090909,8.667841720414476,87.5,11.692679333668567,31,18,"[52, 97, 147, 350, 399, 452, 468]","[52, 75, 77, 97, 147, 350, 372, 399, 452, 468]"
Train,37,30,62.16216216216216,7.973065827541162,63.33333333333333,8.798147953257402,100,46,"[41, 46, 366, 678, 830, 951, 1178, 1277, 1281, 1306, 1358, 1403, 1515, 1579, 1588, 1668, 1714, 1741, 1799]","[41, 46, 366, 678, 778, 783, 830, 951, 1178, 1277, 1281, 1306, 1315, 1358, 1403, 1515, 1579, 1588, 1610, 1668, 1714, 1741, 1799]"
