split,anomalies,anomalies_sc,agg_value,agg_error,agg_value_sc,agg_error_sc,agg_total_eq,agg_total_eq_sc,seismic_indices_sc,seismic_indices
Val,39,24,43.58974358974359,7.94033618863734,41.66666666666667,10.063456073742664,45,25,"[12, 16, 46, 126, 144, 184, 187, 241, 305, 352]","[12, 16, 46, 105, 126, 144, 184, 187, 208, 241, 305, 317, 320, 321, 324, 352, 357]"
Train,32,8,53.125,8.821554523934543,62.5,17.116329922036442,42,18,"[142, 348, 416, 627, 1477]","[4, 14, 71, 72, 73, 77, 95, 132, 142, 348, 392, 416, 627, 684, 850, 1105, 1477]"
Val,37,24,67.56756756756756,7.695875641236478,70.83333333333334,9.278048066588465,71,61,"[67, 94, 119, 123, 137, 138, 141, 144, 164, 174, 188, 231, 281, 383, 388, 411, 421]","[45, 46, 47, 65, 67, 70, 94, 119, 123, 135, 137, 138, 141, 144, 164, 174, 180, 188, 231, 281, 324, 383, 388, 411, 421]"
Train,31,14,51.61290322580645,8.975591530841967,71.42857142857143,12.07363221040738,34,17,"[90, 151, 207, 285, 442, 589, 768, 1146, 1150, 1439]","[90, 151, 207, 264, 285, 429, 430, 442, 589, 747, 768, 1021, 1146, 1150, 1439, 1454]"
Val,12,7,50.0,14.433756729740644,42.857142857142854,18.704390591656487,19,13,"[29, 46, 347]","[29, 46, 230, 347, 412, 413]"
Train,32,16,65.625,8.396166117267452,75.0,10.825317547305483,44,25,"[11, 64, 768, 772, 1061, 1205, 1232, 1302, 1312, 1326, 1369, 1559]","[11, 51, 52, 64, 643, 768, 772, 1061, 1076, 1183, 1184, 1185, 1205, 1232, 1273, 1302, 1312, 1318, 1326, 1369, 1559]"
Val,21,9,33.33333333333333,10.286889997472795,22.22222222222222,13.857990321384966,13,5,"[57, 239]","[57, 239, 282, 289, 324, 325, 328]"
Train,33,25,69.6969696969697,8.000055652754638,68.0,9.32952303175248,62,51,"[267, 341, 356, 360, 649, 793, 820, 858, 863, 890, 900, 914, 957, 1147, 1197, 1224, 1404]","[231, 267, 277, 341, 356, 360, 649, 791, 793, 820, 858, 861, 863, 890, 900, 906, 914, 957, 1045, 1147, 1197, 1224, 1404]"
Val,13,12,84.61538461538461,10.006825162892168,83.33333333333334,10.75828707279838,23,22,"[34, 46, 55, 78, 300, 345, 399, 403, 409, 428]","[34, 46, 55, 78, 300, 345, 399, 401, 403, 409, 428]"
Train,34,26,64.70588235294117,8.195653482579246,65.38461538461539,9.330087000722768,58,48,"[12, 16, 46, 91, 305, 449, 514, 519, 556, 570, 613, 803, 853, 880, 1060, 1253, 1285]","[12, 16, 46, 91, 305, 447, 449, 514, 519, 556, 562, 570, 613, 803, 853, 880, 958, 1060, 1253, 1285, 1610, 1611]"
Val,33,25,69.6969696969697,8.000055652754638,68.0,9.32952303175248,95,35,"[43, 61, 88, 200, 238, 254, 264, 273, 325, 353, 379, 396, 399, 426, 464, 483, 484]","[0, 43, 61, 88, 145, 146, 200, 238, 254, 264, 273, 288, 295, 325, 353, 379, 396, 399, 426, 444, 464, 483, 484]"
Train,35,24,74.28571428571429,7.387642348897154,70.83333333333334,9.278048066588465,73,56,"[67, 132, 137, 144, 164, 174, 188, 231, 421, 471, 498, 678, 903, 1563, 1704, 1706, 1711]","[65, 67, 132, 135, 137, 144, 164, 174, 180, 188, 231, 419, 421, 471, 498, 576, 678, 903, 1228, 1229, 1239, 1563, 1704, 1706, 1708, 1711]"
Val,12,8,91.66666666666666,7.978559231302819,87.5,11.692679333668567,34,19,"[52, 97, 147, 232, 399, 452, 468]","[52, 75, 77, 97, 147, 232, 371, 372, 399, 452, 468]"
Train,37,32,62.16216216216216,7.973065827541162,59.375,8.682074519880027,96,43,"[46, 178, 366, 688, 1104, 1178, 1277, 1281, 1306, 1358, 1515, 1553, 1579, 1588, 1668, 1711, 1714, 1741, 1799]","[46, 178, 366, 688, 778, 783, 1104, 1178, 1277, 1279, 1281, 1306, 1315, 1358, 1515, 1553, 1579, 1588, 1668, 1711, 1714, 1741, 1799]"
Val,30,27,80.0,7.302967433402214,77.77777777777779,8.00091444247884,64,58,"[2, 35, 39, 53, 150, 151, 204, 238, 239, 254, 278, 351, 357, 367, 393, 405, 409, 427, 441, 458, 465]","[2, 35, 39, 53, 131, 150, 151, 204, 238, 239, 254, 278, 283, 351, 357, 367, 377, 393, 405, 409, 427, 441, 458, 465]"
Train,37,22,59.45945945945946,8.071502466945956,59.09090909090909,10.482356110715555,59,41,"[246, 659, 744, 746, 802, 807, 813, 886, 1120, 1176, 1316, 1478, 1572]","[246, 282, 324, 325, 335, 659, 744, 746, 802, 804, 807, 813, 886, 987, 1120, 1141, 1176, 1255, 1316, 1401, 1478, 1572]"
Val,9,8,77.77777777777779,13.857990321384966,87.5,11.692679333668567,8,8,"[56, 61, 62, 113, 242, 341, 400]","[56, 61, 62, 113, 242, 341, 400]"
