Naming,RST_Median,RST_99.7,Q_all,Q_tr_all,z_va_all,z_tr_all,z_tr_err32_all,z_va_err32_all,z_tr_err68_all,z_va_err68_all,avg_train_all,err_train_all,avg_val_all,err_val_all,mode,tw
tw48-30dBG_A,61.5,71.0,1.6669061085703356,1.0365454168499235,0.47247085171668524,0.5154309402267109,0.18810282501290107,-0.4061911132455704,0.9112400066367461,1.4154687345696804,65.0936623724874,2.03850097790166,65.17339679436455,3.233810890524155,all,48
tw48-30dBG_B,61.5,71.0,1.7740792734679534,1.5250186694520684,0.23787157637144268,0.9393603505518731,0.0830498802449205,0.10108148615851253,1.6457642410621194,1.1482943099629623,67.8549621527625,1.9868729957734454,62.282218108688696,3.2312318914237887,all,48
tw48-30dBG_C,61.5,71.0,1.7653671752327866,1.954188357582562,0.5502298918971392,1.3867863642880793,0.6013849247106213,-0.4607823533249642,2.4939590159575307,1.278927777270496,70.717695071585,1.9246820704953682,64.68529977647624,3.6004058168339528,all,48
tw48-30dBG_D,61.5,71.0,1.4374835263402403,2.288740282067442,0.44232737800879357,1.5039564607381655,0.7768493958205167,0.13479551583440616,1.7870604831186039,1.1948672137227994,70.92948775360388,1.928197539738416,64.8393583983015,3.3448104490702466,all,48
tw48-30dBG_E,61.5,71.0,1.3289529016836674,4.258948490007948,0.16232794367874243,2.6937962894572323,1.4972157196453995,-0.1721595913804747,2.612616086256882,0.5600980937556634,75.36377520183574,1.814240525314802,62.15541974365504,3.148752474141914,all,48
tw48-30dBG_In-A,61.5,71.0,1.2378912405436135,0.973108083141978,0.22179892713636723,0.2284910482009755,-0.4765830573299397,-0.33182285062928324,0.5232253640076245,0.9214530459215555,62.8623333610093,2.004655852660873,62.387277796420506,3.4965163434491693,all,48
tw48-30dBG_In-B,61.5,71.0,1.5716166459388965,1.4423794093950992,0.2584551630965958,0.5333200290936487,-0.017069812912609027,-0.7187406610633679,0.8986774356787628,0.9085796831930633,64.81726899819708,1.9593798098177042,63.22791791541791,3.428546249801813,all,48
tw48-30dBG_In-C,61.5,71.0,1.4714071436234062,1.9139236261060135,-0.006673148942278967,1.1911021227455119,0.22746611156340713,-0.364537211724569,1.7865052634586445,0.6364643708482248,69.138077487602,1.9016809022995205,60.84322825163342,3.2073324503173186,all,48
tw48-30dBG_In-D,61.5,71.0,1.353088747227386,2.3741757340985723,0.42599789627459095,1.4505111644647624,0.3663606371840424,-0.07157669491770519,1.941121528391986,0.6177187571279908,70.10579715405629,1.8689016732053088,64.15834569195238,3.085798215544783,all,48
tw48-30dBG_In-E,61.5,71.0,1.6140246650541656,2.1152190854582154,0.2386476994690077,1.240745077559322,0.11684747893443544,-0.3917562883050954,1.834921864490056,0.6768892393731,69.11973594966955,1.888195867258503,61.89948920637217,3.3574543881419725,all,48
