Naming,RST_Median,RST_99.7,Q_all,Q_tr_all,z_va_all,z_tr_all,avg_train_all,err_train_all,avg_val_all,err_val_all,z_tr_err32_all,z_va_err32_all,z_tr_err68_all,z_va_err68_all,mode,tw,label_name
sw5_tw48-30dBG_A,11.5,19,1.110771232,1.555678143,0.317472763,1.233596959,20.2543252,1.696526137,16.42590946,2.831878686,0.759358804,0.033179519,1.924402753,0.690392759,all,48,SW05x05_WG_TW48
sw5_tw48-30dBG_B,11.5,19,1.076723886,1.378225407,-0.00711397,1.006002203,18.60725948,1.644311765,13.17704469,2.721194156,0.347254022,-0.529250203,1.635073731,0.621512423,all,48,SW05x05_WG_TW48
sw5_tw48-30dBG_C,11.5,19,1.226822605,1.457794954,0.242805547,1.072643263,19.07935533,1.653735102,15.39396236,2.579742171,0.383280383,-0.339794954,1.610178105,1.151214354,all,48,SW05x05_WG_TW48
sw5_tw48-30dBG_D,11.5,19,0.903610347,1.600003429,0.121843503,1.065644906,19.38536022,1.650474747,14.26135248,2.548159987,0.404929913,-0.220420523,1.818179716,0.708909531,all,48,SW05x05_WG_TW48
sw5_tw48-30dBG_E,11.5,19,0.859690253,2.265601531,0.617635187,2.14228787,27.58079157,1.903976953,17.37897651,2.267117516,1.914210751,0.530151568,2.477416298,1.046681176,all,48,SW05x05_WG_TW48
sw5_tw48-30dBG_In-A,11.5,19,0.970805556,1.110518105,0.023584533,0.863139376,17.29981011,1.565929521,14.04955774,2.313988932,0.771016885,-0.420560111,1.194719698,0.671984003,all,48,SW05x05_WG_TW48
sw5_tw48-30dBG_In-B,11.5,19,0.699309814,1.562423178,0.259934343,1.173108481,19.89033969,1.628226875,14.95702441,2.645510408,0.573589062,-0.04224837,1.818179716,0.83457007,all,48,SW05x05_WG_TW48
sw5_tw48-30dBG_In-C,11.5,19,0.892874863,1.518527432,0.327788956,1.183944319,19.94717882,1.641046433,16.85039174,2.609237109,1.141886087,-0.010960533,1.581146875,0.783578828,all,48,SW05x05_WG_TW48
sw5_tw48-30dBG_In-D,11.5,19,0.931862779,1.574101255,0.305193508,1.085306883,19.5059462,1.613117428,16.22303804,2.403240866,0.786388242,-0.037123106,1.85903473,0.75107391,all,48,SW05x05_WG_TW48
sw5_tw48-30dBG_In-E,11.5,19,1.002647849,1.934904972,0.129271638,1.69338582,23.90212426,1.751364791,14.16575021,2.160133904,1.406967553,-0.158113883,2.137477025,0.64709659,all,48,SW05x05_WG_TW48
tw48-30dBG_A,17,24.0015,1.027071557,1.140235072,0.334487821,0.674086255,22.17238284,1.764461547,21.86529499,2.868123662,0.601915277,-0.127748743,1.038412441,0.970463468,all,48,SW10x10_gap_TW48
tw48-30dBG_B,17,24.0015,0.942556061,1.272008065,0.513574672,0.943485189,24.06756129,1.816833765,22.8714983,2.944532222,0.486839311,-0.030983867,1.149327695,0.833690854,all,48,SW10x10_gap_TW48
tw48-30dBG_C,17,24.0015,1.019116834,1.469509007,0.624120144,1.350874639,27.14385268,1.905783054,25.39500891,3.403007477,1.276865146,0.232686037,1.53655446,1.040378944,all,48,SW10x10_gap_TW48
tw48-30dBG_D,17,24.0015,0.913286119,1.380171552,0.540655746,1.178279187,25.8007187,1.868113184,23.58736294,2.98262568,0.820311897,0.207100633,1.409983137,1.000546787,all,48,SW10x10_gap_TW48
tw48-30dBG_E,17,24.0015,1.317851413,1.620775518,0.527049796,1.385873166,27.61365824,1.903247393,23.03415396,2.526977616,1.179480501,0.320508949,1.970786224,0.885893871,all,48,SW10x10_gap_TW48
tw48-30dBG_In-A,17,24.0015,0.769227508,1.055788222,0.381980797,0.693561445,22.16785975,1.717379007,21.38717425,2.600432662,0.28361279,-0.082833052,0.929613993,0.593820549,all,48,SW10x10_gap_TW48
tw48-30dBG_In-B,17,24.0015,1.10574064,1.206963886,0.329658366,0.769696824,22.98975204,1.739162949,22.14245918,2.738856187,0.582163458,-0.20702284,1.276046178,0.539442644,all,48,SW10x10_gap_TW48
tw48-30dBG_In-C,17,24.0015,1.000470895,1.387247444,0.109752533,1.067637852,25.13949856,1.792147485,18.60502345,2.612087775,0.721318019,-0.344613813,1.694098869,0.681468917,all,48,SW10x10_gap_TW48
tw48-30dBG_In-D,17,24.0015,1.140989334,1.541817892,0.454638439,1.129372736,25.83371389,1.80073311,23.65980833,2.786913977,0.539879113,0.076918759,1.79234983,0.761622155,all,48,SW10x10_gap_TW48
