Naming,RST_Median,RST_99.7,Q_all,Q_tr_all,z_va_all,z_tr_all,avg_train_all,err_train_all,avg_val_all,err_val_all,z_tr_err32_all,z_va_err32_all,z_tr_err68_all,z_va_err68_all,mode,tw,label_name
sw22_tw12-30dBG_A,22,30.5,1.230801068,1.135009647,0.577251946,0.564807885,26.64401836,1.875022422,30.79477641,3.354891768,0.133894683,-0.16303401,0.990194913,1.227014447,all,12,SW22x22_WOG_TW12
sw22_tw12-30dBG_B,22,30.5,1.460509194,1.080740813,0.510259316,0.197596166,24.14522971,1.814814418,32.00958294,3.252575662,-0.257038357,-0.044974538,0.69246782,1.591725055,all,12,SW22x22_WOG_TW12
sw22_tw12-30dBG_C,22,30.5,1.225570527,0.985154722,0.437646958,0.661662993,27.08411291,1.89802247,29.2772458,3.306243155,0.359478024,-0.085763544,0.688544358,0.797348277,all,12,SW22x22_WOG_TW12
sw22_tw12-30dBG_D,22,30.5,1.210281988,1.217184231,0.591860396,0.722326578,27.82064436,1.903102266,31.46060264,3.229494611,0.241180659,0.24,1.203083826,1.185048069,all,12,SW22x22_WOG_TW12
sw22_tw12-30dBG_E,22,30.5,1.428625948,2.452304994,0.625065075,1.979297668,37.83916235,2.025815168,31.03037387,2.945705781,0.903068204,0.716536111,2.561215479,1.192103208,all,12,SW22x22_WOG_TW12
sw22_tw12-30dBG_In-A,22,30.5,0.926099962,0.974043417,0.427463174,0.107715709,23.40075264,1.75091886,27.85748851,2.969945105,-0.073377135,0.016035675,0.342010151,0.579673255,all,12,SW22x22_WOG_TW12
sw22_tw12-30dBG_In-B,22,30.5,1.140409059,1.004681045,0.095599222,0.659906503,27.16186232,1.845558957,25.43359931,2.788724671,0.289312196,-0.513218851,0.85381389,0.99539615,all,12,SW22x22_WOG_TW12
sw22_tw12-30dBG_In-C,22,30.5,1.066998498,1.311727632,0.330329319,0.831718373,28.59711076,1.858615922,26.78481104,2.972458942,0.282519129,-0.271572666,0.988744829,1.064324758,all,12,SW22x22_WOG_TW12
sw22_tw12-30dBG_In-D,22,30.5,1.19869761,1.727537104,0.369211641,1.354476061,32.86915027,1.928776264,27.44471114,3.152647049,0.824931755,0.092851626,1.914652661,0.89971965,all,12,SW22x22_WOG_TW12
sw22_tw12-30dBG_In-E,22,30.5,1.368574237,1.50003089,0.466806168,1.196824795,31.44902637,1.918461102,28.79736702,2.926394396,0.465858888,-0.238046236,1.390721254,1.432869766,all,12,SW22x22_WOG_TW12
tw24-30dBG_A,36,45,1.511838786,2.213674819,0.974047238,1.39095229,47.37749794,2.068467123,49.70687766,3.689416264,1.437666243,0.536258381,2.062376036,1.572225909,all,24,SW22x22_WOG_TW24
tw24-30dBG_B,36,45,1.610364576,1.472725618,1.071646032,1.170529913,45.58451758,2.122756735,49.86343966,3.468955492,0.823261479,0.49291576,1.660255666,1.774565967,all,24,SW22x22_WOG_TW24
tw24-30dBG_C,36,45,1.552717581,1.867175758,0.90097372,1.232935093,46.31217806,2.093787298,48.15879078,3.438282552,1.11292374,0.75248078,1.799989823,1.425130382,all,24,SW22x22_WOG_TW24
tw24-30dBG_D,36,45,1.637124181,1.920195929,0.749144076,1.668484225,49.5980515,2.12975202,46.70625831,3.272778929,1.234593706,0.072526114,2.372082645,1.571763072,all,24,SW22x22_WOG_TW24
tw24-30dBG_E,36,45,1.727116325,2.92133955,0.718969903,2.437921164,55.34188038,2.074591328,45.00772411,3.170300258,2.106293147,0.355558709,3.279839132,1.435972414,all,24,SW22x22_WOG_TW24
tw24-30dBG_In-A,36,45,1.453515558,1.320363809,0.587953168,0.805682343,42.64247572,2.038574989,44.79743347,3.302995906,0.664224637,0.089451103,1.2255756,1.407017224,all,24,SW22x22_WOG_TW24
tw24-30dBG_In-B,36,45,1.368563297,1.887177293,0.770951495,1.321339609,46.62878945,2.040538557,46.72570975,3.409872419,0.689618305,-0.154669056,1.780904139,1.55243274,all,24,SW22x22_WOG_TW24
tw24-30dBG_In-C,36,45,1.450293213,2.04330879,0.55043226,1.618920124,48.97112503,2.056467749,43.70345917,3.29029653,0.813536429,0.065207248,2.240538597,1.197407783,all,24,SW22x22_WOG_TW24
tw24-30dBG_In-D,36,45,1.383221506,2.92478277,0.880718206,2.166785794,52.4323823,2.015984653,47.01850077,3.239300624,0.939382653,0.590534766,2.424642027,1.225356436,all,24,SW22x22_WOG_TW24
tw24-30dBG_In-E,36,45,1.592695592,2.398615802,0.633016516,2.152747622,53.44426056,2.064070857,44.19635969,3.047401069,1.781615756,-0.252656784,2.570452425,1.166459425,all,24,SW22x22_WOG_TW24
tw48-30dBG_A,55,64.5015,1.603146951,2.058187724,0.580345188,1.483903337,0.969415072,0.027545867,1.883093393,1.586654888,65.56585461,2.005672791,60.65540553,3.382303778,all,48,SW22x22_WOG_TW48
tw48-30dBG_B,55,64.5015,1.588039241,1.620921607,0.931966793,1.20506415,0.995292793,0.274083753,1.591041606,1.637738851,64.00126652,2.045375771,64.96279646,3.285514928,all,48,SW22x22_WOG_TW48
tw48-30dBG_C,55,64.5015,1.918813067,2.231382837,1.03693554,1.709221709,1.219155218,0.689688919,2.029833706,1.936428462,67.03941254,1.999173581,65.37848346,3.337975277,all,48,SW22x22_WOG_TW48
tw48-30dBG_D,55,64.5015,1.568515061,2.800605059,0.770513068,1.951723807,1.070447018,0.354388116,2.719786407,1.488363189,67.70781567,1.954479997,62.59703369,3.344382636,all,48,SW22x22_WOG_TW48
tw48-30dBG_E,55,64.5015,2.038967329,4.002085063,1.26875151,3.592936352,2.609089538,0.6702578,4.470986173,2.207402886,77.59445519,1.768751751,66.37523106,2.951503339,all,48,SW22x22_WOG_TW48
tw48-30dBG_In-A,55,64.5015,1.365234566,2.016543803,0.781258072,1.397934773,0.50187317,0.152689778,2.356957192,1.231227359,64.84685053,1.960984398,63.7885908,3.564286508,all,48,SW22x22_WOG_TW48
tw48-30dBG_In-B,55,64.5015,1.998323152,2.190249279,0.940717583,1.594145199,0.761775146,-0.366119298,2.206963643,1.547779801,66.14274974,1.942079237,63.56509963,3.291780463,all,48,SW22x22_WOG_TW48
tw48-30dBG_In-C,55,64.5015,1.554592072,3.050478678,0.706465784,2.142018931,1.305172853,0.016344727,2.495536843,1.223040157,68.59664999,1.878004805,62.0609434,3.458733189,all,48,SW22x22_WOG_TW48
tw48-30dBG_In-D,55,64.5015,1.844882488,3.06950859,1.144518195,2.510356753,1.220870561,0.290350308,3.374456066,2.104835802,71.63319346,1.854948869,66.11530183,3.017081592,all,48,SW22x22_WOG_TW48
tw48-30dBG_In-E,55,64.5015,1.790158545,3.219711514,0.930945285,2.514214296,1.609554943,0.252143589,3.229983696,1.697393469,71.19061762,1.845168494,64.16625464,3.056696578,all,48,SW22x22_WOG_TW48
sw22_tw6-30dBG_A,13,19.5,1.046969196,1.403126836,0.163127709,0.057451573,15.00189704,1.515248899,15.71990509,2.652134128,-0.000615595,0.043752955,0.848468012,0.720758134,all,6,SW22x22_WOG_TW6
sw22_tw6-30dBG_B,13,19.5,0.938614805,1.168736207,0.065763509,-0.038930907,14.02226111,1.473537615,15.60568761,2.737915362,-0.26404999,-0.175061439,0.742507165,0.823950753,all,6,SW22x22_WOG_TW6
sw22_tw6-30dBG_C,13,19.5,1.168431148,0.942022625,-0.209052173,0.132301703,14.62537269,1.505390278,13.63517843,2.53905807,-0.464221735,-0.663127907,0.848468012,0.395301355,all,6,SW22x22_WOG_TW6
sw22_tw6-30dBG_D,13,19.5,0.951004215,1.188909951,0.505983338,0.719239249,18.46449031,1.6542595,19.38550538,2.751173119,0.058829524,0.043752955,1.417797115,0.604715973,all,6,SW22x22_WOG_TW6
sw22_tw6-30dBG_E,13,19.5,1.220702537,1.185833746,0.135326561,0.531663475,17.44906922,1.617489591,15.68902264,2.292535985,0.004365568,-0.21914987,0.919253579,0.989696474,all,6,SW22x22_WOG_TW6
sw22_tw6-30dBG_In-A,13,19.5,0.890158959,0.689507,0.134117592,-0.214654606,12.29355217,1.37091679,15.40044344,2.385053476,-0.468218403,0.095168695,0.041308766,0.568750614,all,6,SW22x22_WOG_TW6
sw22_tw6-30dBG_In-B,13,19.5,0.978484903,1.112381936,0.153171481,0.282400724,15.78634462,1.507948369,16.33345531,2.569741607,0.069879909,-0.12249804,0.531613495,0.492026015,all,6,SW22x22_WOG_TW6
sw22_tw6-30dBG_In-C,13,19.5,0.864471616,1.000690088,-0.022070005,0.345013175,15.93043886,1.514901314,13.68554412,2.415964921,-0.098626917,-0.234447344,0.850535434,0.354451263,all,6,SW22x22_WOG_TW6
sw22_tw6-30dBG_In-D,13,19.5,1.055723132,0.975756283,0.332088395,0.534334631,16.9014486,1.552435921,18.31190233,2.754618404,0.141648104,0.239856099,0.873485469,0.854911025,all,6,SW22x22_WOG_TW6
sw22_tw6-30dBG_In-E,13,19.5,1.020004174,1.312277676,0.432294991,0.072458036,14.93635207,1.476950609,17.7774031,2.39960724,-0.154187594,-0.00714175,0.850535434,1.095184751,all,6,SW22x22_WOG_TW6
